,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8
0,"[524, 171, 146, 180]",0.18,0.0,0.03,0.0,0.19,0.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[532, 171, 143, 171]",0.1,0.0,0.06,0.0,0.15,0.0,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[577, 121, 143, 177]",0.08,0.0,0.06,0.0,0.16,0.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[600, 144, 144, 176]",0.1,0.0,0.03,0.0,0.09,0.0,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[587, 142, 134, 176]",0.53,0.0,0.13,0.01,0.17,0.0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[740, 115, 143, 176]",0.17,0.01,0.28,0.0,0.16,0.03,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[1162, 489, 22, 24]",0.06,0.0,0.0,0.03,0.63,0.0,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[273, 656, 17, 20]",0.02,0.0,0.11,0.01,0.82,0.0,0.03,"[1011, 479, 28, 30]",0.19,0.0,0.04,0.58,0.14,0.01,0.04,"[347, 501, 38, 39]",0.44,0.0,0.08,0.01,0.26,0.02,0.18,"[1182, 496, 22, 27]",0.05,0.0,0.01,0.04,0.47,0.0,0.43,"[160, 354, 25, 34]",0.21,0.0,0.03,0.52,0.12,0.01,0.12,"[54, 415, 26, 29]",0.03,0.0,0.03,0.77,0.16,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,
8,"[1203, 501, 25, 24]",0.03,0.0,0.01,0.0,0.85,0.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[61, 215, 49, 63]",0.2,0.0,0.08,0.23,0.21,0.14,0.14,"[1144, 248, 33, 41]",0.39,0.0,0.05,0.27,0.1,0.06,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"[649, 127, 141, 175]",0.3,0.0,0.11,0.0,0.08,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"[648, 223, 132, 143]",0.15,0.0,0.43,0.0,0.4,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"[636, 226, 130, 143]",0.23,0.0,0.42,0.0,0.34,0.0,0.01,"[0, 580, 112, 158]",0.18,0.0,0.07,0.0,0.68,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"[682, 113, 145, 188]",0.08,0.0,0.2,0.0,0.12,0.01,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"[643, 138, 143, 173]",0.05,0.0,0.09,0.0,0.18,0.0,0.68,"[0, 591, 111, 153]",0.35,0.0,0.09,0.04,0.39,0.0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"[643, 126, 136, 176]",0.24,0.0,0.22,0.06,0.13,0.0,0.36,"[0, 597, 111, 150]",0.24,0.0,0.1,0.26,0.27,0.01,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"[633, 135, 130, 170]",0.24,0.0,0.06,0.0,0.13,0.0,0.57,"[51, 647, 39, 43]",0.12,0.0,0.1,0.37,0.14,0.04,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"[679, 115, 144, 180]",0.14,0.0,0.22,0.0,0.09,0.01,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"[653, 136, 136, 170]",0.18,0.0,0.17,0.0,0.19,0.0,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"[650, 123, 142, 179]",0.14,0.0,0.07,0.0,0.08,0.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"[664, 119, 140, 179]",0.04,0.0,0.04,0.0,0.07,0.01,0.85,"[748, 313, 57, 69]",0.18,0.01,0.07,0.14,0.31,0.01,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
