,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5
0,"[929, 170, 94, 103]",0.15,0.0,0.09,0.0,0.02,0.01,0.72,"[455, 155, 89, 113]",0.75,0.0,0.09,0.01,0.07,0.01,0.07,"[5, 282, 33, 42]",0.18,0.0,0.12,0.11,0.36,0.0,0.23,,,,,,,,,,,,,,,,,,,,,,,,
1,"[914, 172, 88, 94]",0.19,0.0,0.06,0.02,0.35,0.0,0.38,"[451, 152, 89, 112]",0.25,0.0,0.42,0.05,0.11,0.0,0.17,"[3, 284, 34, 44]",0.04,0.0,0.07,0.32,0.11,0.0,0.46,,,,,,,,,,,,,,,,,,,,,,,,
2,"[926, 169, 89, 98]",0.12,0.0,0.05,0.0,0.05,0.0,0.77,"[461, 168, 91, 118]",0.64,0.0,0.2,0.0,0.12,0.01,0.03,"[366, 251, 46, 58]",0.02,0.0,0.17,0.03,0.77,0.0,0.02,"[270, 261, 46, 57]",0.08,0.0,0.04,0.13,0.67,0.0,0.08,,,,,,,,,,,,,,,,
3,"[921, 168, 93, 104]",0.13,0.0,0.09,0.01,0.06,0.01,0.7,"[444, 164, 91, 118]",0.65,0.0,0.08,0.01,0.2,0.03,0.03,"[275, 259, 52, 61]",0.08,0.0,0.21,0.12,0.54,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,
4,"[439, 167, 87, 111]",0.3,0.0,0.32,0.01,0.33,0.0,0.05,"[919, 170, 93, 103]",0.18,0.0,0.11,0.0,0.05,0.01,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[921, 171, 95, 104]",0.13,0.0,0.16,0.01,0.07,0.01,0.62,"[439, 161, 90, 112]",0.3,0.0,0.23,0.0,0.36,0.02,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[924, 172, 94, 102]",0.09,0.0,0.12,0.0,0.06,0.0,0.72,"[450, 162, 92, 121]",0.78,0.0,0.13,0.02,0.04,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[922, 172, 95, 104]",0.08,0.0,0.09,0.0,0.07,0.01,0.75,"[455, 160, 86, 113]",0.68,0.0,0.05,0.0,0.12,0.01,0.13,"[347, 270, 35, 42]",0.69,0.0,0.19,0.04,0.06,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,
8,"[924, 170, 95, 105]",0.1,0.0,0.06,0.0,0.05,0.01,0.78,"[243, 252, 56, 69]",0.14,0.0,0.16,0.21,0.36,0.01,0.12,"[459, 172, 89, 118]",0.22,0.0,0.24,0.01,0.45,0.01,0.07,"[760, 405, 31, 36]",0.34,0.0,0.03,0.16,0.32,0.0,0.15,"[355, 274, 30, 35]",0.45,0.0,0.3,0.11,0.11,0.0,0.02,,,,,,,,
9,"[928, 175, 87, 98]",0.07,0.0,0.02,0.0,0.03,0.0,0.87,"[228, 251, 60, 76]",0.15,0.0,0.19,0.19,0.4,0.01,0.07,"[447, 164, 88, 115]",0.85,0.0,0.09,0.01,0.02,0.01,0.02,"[757, 407, 29, 34]",0.27,0.0,0.04,0.17,0.33,0.01,0.18,,,,,,,,,,,,,,,,
10,"[928, 171, 96, 104]",0.12,0.0,0.09,0.0,0.05,0.01,0.73,"[459, 164, 87, 107]",0.46,0.0,0.15,0.03,0.3,0.02,0.05,"[238, 258, 56, 69]",0.28,0.0,0.07,0.04,0.6,0.0,0.02,"[758, 405, 29, 35]",0.13,0.0,0.05,0.28,0.29,0.01,0.24,,,,,,,,,,,,,,,,
11,"[925, 171, 94, 102]",0.14,0.0,0.06,0.0,0.05,0.01,0.73,"[243, 255, 56, 71]",0.51,0.0,0.12,0.03,0.28,0.0,0.05,"[454, 163, 91, 124]",0.61,0.0,0.18,0.0,0.09,0.08,0.04,"[755, 401, 32, 39]",0.22,0.01,0.06,0.23,0.34,0.01,0.14,,,,,,,,,,,,,,,,
12,"[438, 168, 90, 116]",0.52,0.0,0.12,0.01,0.25,0.0,0.1,"[925, 173, 88, 100]",0.15,0.0,0.04,0.0,0.07,0.0,0.73,"[248, 257, 57, 72]",0.53,0.0,0.05,0.02,0.3,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,
13,"[927, 171, 93, 103]",0.21,0.0,0.11,0.0,0.08,0.01,0.58,"[444, 165, 92, 118]",0.4,0.0,0.08,0.14,0.12,0.01,0.25,"[13, 289, 35, 41]",0.2,0.0,0.22,0.05,0.49,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,
14,"[929, 171, 94, 103]",0.18,0.0,0.1,0.01,0.05,0.01,0.65,"[450, 167, 90, 115]",0.47,0.0,0.06,0.13,0.13,0.01,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"[930, 171, 94, 103]",0.14,0.0,0.1,0.01,0.06,0.01,0.68,"[461, 180, 92, 118]",0.31,0.0,0.11,0.07,0.29,0.01,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
