,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2
0,"[674, 121, 74, 104]",0.26,0.0,0.04,0.06,0.46,0.0,0.18,,,,,,,,,,,,,,,,
1,"[673, 125, 76, 104]",0.23,0.0,0.11,0.02,0.5,0.01,0.14,,,,,,,,,,,,,,,,
2,"[707, 122, 81, 109]",0.21,0.02,0.19,0.02,0.46,0.03,0.06,,,,,,,,,,,,,,,,
3,"[707, 118, 80, 106]",0.24,0.0,0.28,0.0,0.41,0.01,0.05,"[459, 127, 134, 164]",0.03,0.0,0.02,0.32,0.38,0.0,0.25,,,,,,,,
4,"[678, 120, 76, 105]",0.04,0.0,0.01,0.8,0.06,0.0,0.09,,,,,,,,,,,,,,,,
5,"[682, 119, 77, 106]",0.03,0.0,0.02,0.82,0.09,0.01,0.03,,,,,,,,,,,,,,,,
6,"[691, 118, 78, 105]",0.13,0.0,0.07,0.01,0.46,0.01,0.32,"[459, 126, 135, 163]",0.04,0.0,0.03,0.33,0.44,0.0,0.17,,,,,,,,
7,"[674, 120, 78, 109]",0.11,0.0,0.02,0.62,0.18,0.0,0.06,,,,,,,,,,,,,,,,
8,"[696, 107, 83, 110]",0.07,0.0,0.02,0.5,0.12,0.01,0.27,"[462, 128, 133, 162]",0.04,0.0,0.02,0.29,0.46,0.0,0.19,,,,,,,,
9,"[697, 118, 82, 105]",0.07,0.0,0.17,0.02,0.47,0.01,0.27,,,,,,,,,,,,,,,,
10,"[672, 136, 76, 105]",0.59,0.01,0.04,0.03,0.27,0.0,0.05,,,,,,,,,,,,,,,,
11,"[701, 129, 80, 104]",0.05,0.0,0.05,0.04,0.41,0.01,0.43,,,,,,,,,,,,,,,,
12,"[708, 132, 75, 97]",0.25,0.0,0.15,0.02,0.45,0.01,0.12,,,,,,,,,,,,,,,,
13,"[694, 126, 76, 103]",0.22,0.0,0.04,0.01,0.59,0.0,0.14,,,,,,,,,,,,,,,,
14,"[702, 146, 80, 98]",0.03,0.0,0.01,0.0,0.94,0.0,0.02,,,,,,,,,,,,,,,,
15,"[679, 132, 79, 109]",0.17,0.0,0.31,0.06,0.36,0.03,0.08,"[458, 129, 135, 171]",0.03,0.0,0.04,0.27,0.51,0.0,0.15,,,,,,,,
16,"[703, 146, 80, 99]",0.02,0.0,0.01,0.0,0.89,0.0,0.09,"[463, 129, 133, 163]",0.03,0.0,0.02,0.22,0.36,0.0,0.37,,,,,,,,
17,"[702, 144, 79, 100]",0.16,0.0,0.02,0.0,0.67,0.0,0.15,"[461, 129, 135, 161]",0.05,0.0,0.02,0.21,0.52,0.0,0.2,,,,,,,,
18,"[683, 141, 82, 103]",0.15,0.0,0.02,0.03,0.39,0.01,0.4,,,,,,,,,,,,,,,,
19,"[679, 142, 82, 107]",0.03,0.01,0.04,0.45,0.17,0.01,0.29,,,,,,,,,,,,,,,,
20,"[692, 136, 79, 108]",0.62,0.01,0.04,0.03,0.23,0.0,0.06,"[460, 131, 134, 169]",0.06,0.0,0.05,0.27,0.41,0.0,0.21,,,,,,,,
21,"[690, 137, 81, 108]",0.79,0.01,0.04,0.07,0.06,0.01,0.01,"[458, 129, 135, 170]",0.03,0.0,0.02,0.48,0.33,0.0,0.14,,,,,,,,
22,"[702, 138, 81, 105]",0.38,0.02,0.17,0.1,0.16,0.04,0.13,,,,,,,,,,,,,,,,
23,"[688, 133, 77, 103]",0.07,0.0,0.04,0.0,0.45,0.0,0.44,,,,,,,,,,,,,,,,
24,"[689, 122, 80, 103]",0.13,0.0,0.14,0.01,0.23,0.01,0.48,"[460, 127, 135, 165]",0.03,0.0,0.03,0.26,0.41,0.0,0.28,,,,,,,,
25,"[704, 130, 80, 104]",0.11,0.0,0.23,0.0,0.38,0.03,0.25,"[460, 128, 134, 163]",0.04,0.0,0.04,0.17,0.54,0.0,0.21,,,,,,,,
26,"[680, 133, 79, 106]",0.14,0.01,0.2,0.01,0.55,0.01,0.08,,,,,,,,,,,,,,,,
27,"[682, 126, 82, 106]",0.23,0.0,0.02,0.1,0.48,0.01,0.17,"[461, 130, 136, 166]",0.04,0.0,0.01,0.26,0.37,0.0,0.32,,,,,,,,
28,"[690, 127, 84, 103]",0.14,0.0,0.05,0.57,0.19,0.02,0.04,,,,,,,,,,,,,,,,
29,"[677, 136, 74, 101]",0.34,0.0,0.06,0.02,0.47,0.01,0.11,,,,,,,,,,,,,,,,
30,"[679, 133, 77, 106]",0.46,0.0,0.02,0.34,0.09,0.0,0.09,,,,,,,,,,,,,,,,
31,"[714, 144, 79, 104]",0.1,0.0,0.04,0.81,0.02,0.03,0.0,,,,,,,,,,,,,,,,
32,"[680, 146, 78, 103]",0.74,0.0,0.03,0.03,0.17,0.01,0.02,,,,,,,,,,,,,,,,
33,"[699, 139, 83, 105]",0.07,0.0,0.03,0.77,0.05,0.02,0.05,,,,,,,,,,,,,,,,
34,"[708, 146, 76, 98]",0.16,0.01,0.12,0.01,0.65,0.02,0.04,,,,,,,,,,,,,,,,
