,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1
0,"[201, 101, 126, 147]",0.12,0.0,0.12,0.07,0.13,0.0,0.55,,,,,,,,
1,"[357, 126, 106, 134]",0.15,0.0,0.06,0.13,0.48,0.0,0.17,,,,,,,,
2,"[465, 65, 116, 146]",0.35,0.0,0.23,0.03,0.09,0.01,0.29,,,,,,,,
3,"[293, 64, 113, 137]",0.1,0.0,0.27,0.15,0.09,0.24,0.14,,,,,,,,
4,"[192, 82, 75, 87]",0.16,0.0,0.26,0.02,0.51,0.0,0.05,,,,,,,,
5,"[202, 244, 87, 109]",0.12,0.02,0.24,0.06,0.49,0.0,0.07,,,,,,,,
6,"[259, 84, 103, 128]",0.25,0.0,0.48,0.0,0.15,0.0,0.12,,,,,,,,
7,"[184, 83, 98, 125]",0.04,0.0,0.45,0.01,0.09,0.2,0.22,,,,,,,,
8,"[164, 85, 107, 130]",0.05,0.0,0.15,0.12,0.13,0.0,0.55,,,,,,,,
9,"[287, 82, 106, 132]",0.09,0.0,0.27,0.2,0.06,0.01,0.36,,,,,,,,
10,"[262, 79, 114, 140]",0.07,0.0,0.52,0.12,0.14,0.0,0.14,,,,,,,,
11,"[397, 104, 97, 124]",0.12,0.0,0.34,0.09,0.1,0.03,0.32,,,,,,,,
12,"[310, 128, 106, 134]",0.05,0.0,0.36,0.05,0.12,0.08,0.34,,,,,,,,
13,"[194, 88, 98, 124]",0.16,0.0,0.23,0.02,0.14,0.01,0.43,,,,,,,,
14,"[246, 82, 99, 124]",0.31,0.0,0.2,0.0,0.09,0.06,0.33,,,,,,,,
15,"[361, 125, 96, 121]",0.43,0.01,0.14,0.01,0.05,0.1,0.26,,,,,,,,
16,"[406, 88, 106, 124]",0.21,0.0,0.12,0.0,0.17,0.0,0.49,,,,,,,,
17,"[216, 96, 110, 137]",0.05,0.0,0.05,0.03,0.3,0.0,0.57,,,,,,,,
18,"[268, 96, 104, 126]",0.2,0.02,0.37,0.04,0.05,0.03,0.29,,,,,,,,
19,"[263, 96, 109, 128]",0.16,0.0,0.08,0.04,0.17,0.04,0.51,,,,,,,,
20,"[320, 93, 103, 128]",0.18,0.0,0.52,0.04,0.04,0.1,0.12,,,,,,,,
21,"[339, 98, 102, 121]",0.05,0.0,0.19,0.12,0.09,0.02,0.54,,,,,,,,
22,"[210, 81, 112, 146]",0.11,0.0,0.63,0.01,0.06,0.01,0.18,,,,,,,,
23,"[232, 89, 102, 130]",0.22,0.0,0.12,0.02,0.23,0.0,0.4,,,,,,,,
24,"[487, 114, 104, 126]",0.03,0.0,0.01,0.01,0.01,0.0,0.93,,,,,,,,
25,"[323, 119, 102, 126]",0.18,0.0,0.01,0.02,0.06,0.0,0.72,,,,,,,,
26,"[252, 107, 100, 121]",0.09,0.01,0.68,0.02,0.05,0.01,0.14,,,,,,,,
27,"[227, 95, 103, 125]",0.03,0.0,0.47,0.2,0.08,0.01,0.21,,,,,,,,
28,"[4, 241, 88, 112]",0.23,0.0,0.36,0.04,0.15,0.0,0.2,,,,,,,,
29,"[505, 231, 92, 117]",0.1,0.0,0.49,0.03,0.28,0.01,0.08,,,,,,,,
30,"[271, 115, 105, 125]",0.23,0.0,0.02,0.02,0.3,0.0,0.43,,,,,,,,
31,"[212, 90, 108, 132]",0.18,0.0,0.66,0.01,0.05,0.0,0.11,,,,,,,,
32,"[298, 88, 101, 127]",0.23,0.0,0.38,0.01,0.1,0.01,0.26,,,,,,,,
33,"[249, 78, 98, 131]",0.02,0.0,0.5,0.03,0.22,0.01,0.23,,,,,,,,
34,"[200, 77, 104, 133]",0.07,0.0,0.81,0.0,0.07,0.02,0.03,,,,,,,,
35,"[245, 53, 99, 120]",0.19,0.0,0.15,0.02,0.13,0.03,0.47,,,,,,,,
36,"[219, 69, 99, 126]",0.03,0.0,0.12,0.46,0.02,0.01,0.36,,,,,,,,
37,"[259, 78, 106, 132]",0.19,0.0,0.05,0.01,0.17,0.0,0.58,,,,,,,,
38,"[267, 93, 102, 122]",0.03,0.0,0.77,0.01,0.08,0.01,0.1,,,,,,,,
39,"[363, 109, 101, 131]",0.3,0.0,0.18,0.01,0.09,0.03,0.39,,,,,,,,
40,"[91, 240, 99, 118]",0.23,0.0,0.11,0.01,0.39,0.01,0.24,,,,,,,,
41,"[464, 69, 107, 125]",0.32,0.0,0.05,0.0,0.13,0.01,0.48,,,,,,,,
42,"[215, 107, 103, 127]",0.18,0.0,0.28,0.06,0.19,0.0,0.28,,,,,,,,
43,"[324, 122, 104, 127]",0.03,0.0,0.12,0.01,0.33,0.0,0.5,,,,,,,,
44,"[260, 98, 110, 138]",0.07,0.01,0.52,0.06,0.12,0.14,0.07,,,,,,,,
45,"[398, 90, 101, 128]",0.24,0.02,0.32,0.0,0.15,0.01,0.26,,,,,,,,
46,"[365, 90, 105, 130]",0.1,0.0,0.71,0.01,0.09,0.01,0.07,,,,,,,,
47,"[337, 94, 107, 132]",0.15,0.0,0.72,0.02,0.04,0.01,0.06,,,,,,,,
48,"[382, 95, 109, 135]",0.11,0.0,0.44,0.01,0.12,0.02,0.29,,,,,,,,
49,"[311, 72, 104, 128]",0.06,0.0,0.15,0.0,0.06,0.0,0.73,,,,,,,,
50,"[397, 91, 102, 127]",0.2,0.0,0.33,0.0,0.27,0.03,0.16,,,,,,,,
51,"[513, 109, 108, 135]",0.65,0.0,0.09,0.0,0.18,0.0,0.08,,,,,,,,
52,"[372, 46, 105, 126]",0.08,0.0,0.25,0.0,0.08,0.01,0.58,,,,,,,,
