,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4
0,"[412, 193, 96, 122]",0.03,0.0,0.36,0.0,0.48,0.0,0.13,"[937, 173, 96, 126]",0.42,0.0,0.07,0.01,0.24,0.0,0.26,,,,,,,,,,,,,,,,,,,,,,,,
1,"[933, 168, 103, 131]",0.24,0.0,0.05,0.01,0.22,0.04,0.44,"[433, 183, 99, 123]",0.04,0.0,0.3,0.0,0.25,0.01,0.4,,,,,,,,,,,,,,,,,,,,,,,,
2,"[937, 172, 100, 128]",0.55,0.0,0.04,0.01,0.25,0.01,0.14,"[422, 197, 102, 125]",0.27,0.01,0.14,0.03,0.26,0.04,0.24,,,,,,,,,,,,,,,,,,,,,,,,
3,"[429, 187, 96, 124]",0.15,0.0,0.19,0.0,0.48,0.01,0.16,"[943, 174, 101, 131]",0.69,0.0,0.03,0.0,0.21,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,
4,"[936, 175, 106, 129]",0.55,0.0,0.04,0.0,0.2,0.0,0.2,"[413, 181, 102, 133]",0.12,0.0,0.12,0.0,0.7,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,
5,"[932, 180, 101, 128]",0.49,0.0,0.07,0.0,0.26,0.0,0.17,"[406, 200, 93, 124]",0.17,0.0,0.19,0.05,0.21,0.1,0.29,,,,,,,,,,,,,,,,,,,,,,,,
6,"[421, 194, 94, 126]",0.16,0.0,0.14,0.01,0.35,0.09,0.25,"[945, 178, 96, 122]",0.7,0.0,0.04,0.0,0.18,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,
7,"[420, 187, 101, 130]",0.09,0.0,0.3,0.0,0.5,0.02,0.09,"[943, 174, 98, 123]",0.44,0.0,0.18,0.0,0.24,0.01,0.14,,,,,,,,,,,,,,,,,,,,,,,,
8,"[945, 173, 105, 133]",0.36,0.0,0.08,0.0,0.37,0.0,0.19,"[390, 208, 100, 122]",0.36,0.0,0.12,0.0,0.43,0.02,0.06,,,,,,,,,,,,,,,,,,,,,,,,
9,"[412, 196, 93, 122]",0.22,0.0,0.27,0.01,0.27,0.04,0.18,"[948, 177, 102, 130]",0.59,0.0,0.06,0.0,0.27,0.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,
10,"[422, 188, 99, 121]",0.09,0.0,0.22,0.0,0.54,0.01,0.14,"[948, 174, 108, 135]",0.5,0.0,0.03,0.0,0.26,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,
11,"[951, 175, 104, 130]",0.17,0.0,0.1,0.0,0.57,0.0,0.15,"[412, 193, 98, 125]",0.36,0.0,0.21,0.03,0.29,0.01,0.11,,,,,,,,,,,,,,,,,,,,,,,,
12,"[950, 174, 106, 135]",0.27,0.0,0.05,0.0,0.4,0.0,0.28,"[418, 202, 98, 126]",0.26,0.0,0.11,0.01,0.28,0.02,0.33,,,,,,,,,,,,,,,,,,,,,,,,
13,"[425, 185, 97, 124]",0.19,0.0,0.2,0.0,0.57,0.0,0.03,"[955, 179, 103, 127]",0.38,0.0,0.06,0.01,0.28,0.01,0.26,,,,,,,,,,,,,,,,,,,,,,,,
14,"[955, 169, 105, 134]",0.23,0.0,0.03,0.01,0.22,0.0,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"[430, 193, 96, 121]",0.08,0.0,0.25,0.0,0.49,0.01,0.16,"[950, 175, 102, 129]",0.36,0.0,0.04,0.0,0.31,0.0,0.29,,,,,,,,,,,,,,,,,,,,,,,,
16,"[426, 176, 103, 127]",0.32,0.0,0.16,0.0,0.39,0.0,0.13,"[948, 174, 107, 132]",0.21,0.0,0.05,0.0,0.52,0.0,0.22,,,,,,,,,,,,,,,,,,,,,,,,
17,"[953, 176, 103, 129]",0.37,0.0,0.02,0.0,0.39,0.0,0.22,"[427, 205, 87, 109]",0.2,0.0,0.38,0.0,0.34,0.02,0.06,,,,,,,,,,,,,,,,,,,,,,,,
18,"[413, 201, 96, 125]",0.23,0.0,0.12,0.01,0.55,0.01,0.08,"[951, 174, 106, 132]",0.17,0.0,0.04,0.0,0.41,0.0,0.38,,,,,,,,,,,,,,,,,,,,,,,,
19,"[954, 176, 103, 128]",0.55,0.0,0.04,0.0,0.27,0.0,0.15,"[429, 188, 98, 128]",0.28,0.0,0.12,0.0,0.39,0.01,0.19,,,,,,,,,,,,,,,,,,,,,,,,
20,"[429, 206, 101, 126]",0.06,0.0,0.68,0.0,0.22,0.03,0.01,"[957, 174, 99, 124]",0.32,0.0,0.03,0.0,0.18,0.0,0.46,,,,,,,,,,,,,,,,,,,,,,,,
21,"[958, 174, 99, 124]",0.34,0.0,0.07,0.0,0.23,0.0,0.35,"[417, 195, 97, 127]",0.42,0.02,0.18,0.01,0.21,0.03,0.13,,,,,,,,,,,,,,,,,,,,,,,,
22,"[962, 172, 100, 128]",0.44,0.0,0.05,0.0,0.18,0.0,0.33,"[418, 201, 90, 118]",0.06,0.0,0.05,0.01,0.63,0.01,0.24,"[477, 351, 217, 253]",0.77,0.03,0.04,0.11,0.04,0.0,0.0,,,,,,,,,,,,,,,,
23,"[948, 177, 103, 132]",0.53,0.0,0.05,0.0,0.25,0.0,0.16,"[427, 196, 96, 124]",0.03,0.0,0.44,0.0,0.45,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,
24,"[945, 178, 103, 132]",0.65,0.0,0.07,0.0,0.21,0.0,0.06,"[414, 194, 92, 122]",0.29,0.0,0.28,0.02,0.25,0.01,0.15,,,,,,,,,,,,,,,,,,,,,,,,
25,"[950, 176, 104, 129]",0.58,0.0,0.03,0.0,0.29,0.0,0.1,"[1215, 220, 27, 34]",0.37,0.0,0.12,0.27,0.2,0.02,0.02,"[417, 185, 99, 126]",0.42,0.03,0.22,0.0,0.22,0.01,0.1,,,,,,,,,,,,,,,,
