,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3
0,"[735, 169, 102, 128]",0.13,0.0,0.0,0.09,0.09,0.0,0.69,,,,,,,,,,,,,,,,,,,,,,,,
1,"[691, 100, 117, 150]",0.08,0.0,0.0,0.02,0.06,0.0,0.84,,,,,,,,,,,,,,,,,,,,,,,,
2,"[675, 98, 127, 160]",0.2,0.0,0.03,0.0,0.22,0.0,0.55,,,,,,,,,,,,,,,,,,,,,,,,
3,"[698, 91, 123, 158]",0.08,0.0,0.01,0.27,0.08,0.0,0.56,,,,,,,,,,,,,,,,,,,,,,,,
4,"[695, 96, 112, 145]",0.03,0.0,0.01,0.52,0.05,0.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,
5,"[708, 72, 106, 152]",0.07,0.0,0.03,0.22,0.18,0.0,0.51,,,,,,,,,,,,,,,,,,,,,,,,
6,"[725, 88, 118, 152]",0.23,0.02,0.02,0.1,0.18,0.0,0.45,,,,,,,,,,,,,,,,,,,,,,,,
7,"[636, 117, 106, 149]",0.31,0.02,0.06,0.03,0.11,0.0,0.47,,,,,,,,,,,,,,,,,,,,,,,,
8,"[708, 73, 122, 160]",0.15,0.0,0.02,0.01,0.11,0.0,0.71,,,,,,,,,,,,,,,,,,,,,,,,
9,"[586, 113, 89, 116]",0.05,0.0,0.0,0.01,0.06,0.0,0.87,"[1168, 194, 89, 106]",0.11,0.0,0.01,0.52,0.05,0.0,0.3,,,,,,,,,,,,,,,,
10,"[876, 186, 85, 99]",0.35,0.0,0.23,0.1,0.13,0.01,0.17,"[368, 118, 85, 107]",0.05,0.0,0.03,0.0,0.14,0.0,0.77,,,,,,,,,,,,,,,,
11,"[317, 40, 80, 102]",0.03,0.0,0.01,0.22,0.1,0.0,0.64,"[810, 90, 79, 98]",0.13,0.0,0.16,0.32,0.24,0.0,0.15,,,,,,,,,,,,,,,,
12,"[312, 100, 84, 110]",0.2,0.0,0.01,0.0,0.15,0.0,0.64,"[826, 161, 80, 97]",0.35,0.0,0.1,0.03,0.09,0.01,0.42,,,,,,,,,,,,,,,,
13,"[320, 119, 87, 119]",0.21,0.0,0.01,0.02,0.02,0.0,0.75,"[811, 181, 76, 96]",0.4,0.0,0.07,0.08,0.23,0.0,0.23,,,,,,,,,,,,,,,,
14,"[851, 176, 79, 96]",0.24,0.0,0.03,0.01,0.59,0.0,0.13,"[336, 126, 73, 98]",0.15,0.0,0.02,0.17,0.1,0.0,0.56,,,,,,,,,,,,,,,,
15,"[338, 111, 81, 109]",0.01,0.0,0.0,0.93,0.0,0.0,0.06,"[278, 600, 22, 21]",0.1,0.05,0.12,0.5,0.09,0.0,0.13,,,,,,,,,,,,,,,,
16,"[846, 171, 81, 99]",0.28,0.0,0.07,0.02,0.33,0.0,0.31,"[340, 122, 73, 97]",0.01,0.0,0.01,0.27,0.05,0.0,0.66,,,,,,,,,,,,,,,,
17,"[343, 112, 76, 102]",0.0,0.0,0.0,0.94,0.01,0.0,0.05,"[850, 175, 79, 99]",0.28,0.0,0.02,0.0,0.17,0.0,0.53,,,,,,,,,,,,,,,,
18,"[854, 173, 81, 100]",0.34,0.0,0.02,0.05,0.06,0.0,0.52,"[326, 115, 79, 105]",0.04,0.0,0.0,0.38,0.08,0.0,0.5,,,,,,,,,,,,,,,,
