,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3
0,"[425, 243, 101, 129]",0.42,0.02,0.2,0.0,0.34,0.0,0.02,"[922, 239, 94, 122]",0.2,0.0,0.03,0.0,0.43,0.0,0.33,"[1063, 292, 30, 38]",0.28,0.0,0.16,0.23,0.25,0.03,0.05,,,,,,,,
1,"[415, 248, 96, 119]",0.14,0.12,0.39,0.0,0.31,0.02,0.02,"[1056, 296, 29, 36]",0.23,0.0,0.31,0.26,0.14,0.01,0.04,"[921, 244, 97, 119]",0.23,0.0,0.05,0.0,0.57,0.0,0.14,,,,,,,,
2,"[421, 237, 99, 126]",0.28,0.02,0.19,0.0,0.42,0.01,0.1,"[938, 234, 105, 126]",0.22,0.0,0.05,0.01,0.22,0.0,0.5,,,,,,,,,,,,,,,,
3,"[426, 238, 97, 122]",0.06,0.01,0.59,0.0,0.24,0.01,0.1,"[955, 228, 103, 130]",0.26,0.0,0.02,0.02,0.28,0.0,0.42,,,,,,,,,,,,,,,,
4,"[960, 224, 115, 135]",0.33,0.0,0.02,0.01,0.32,0.0,0.31,"[430, 248, 95, 124]",0.59,0.0,0.12,0.0,0.16,0.0,0.12,,,,,,,,,,,,,,,,
5,"[960, 224, 114, 137]",0.57,0.0,0.04,0.0,0.18,0.0,0.21,"[426, 243, 94, 121]",0.82,0.0,0.08,0.0,0.07,0.0,0.03,,,,,,,,,,,,,,,,
6,"[433, 246, 96, 122]",0.78,0.01,0.08,0.0,0.09,0.01,0.03,"[966, 224, 100, 131]",0.33,0.0,0.02,0.02,0.33,0.0,0.31,,,,,,,,,,,,,,,,
7,"[437, 244, 98, 126]",0.77,0.05,0.06,0.0,0.1,0.01,0.01,"[958, 226, 108, 134]",0.32,0.0,0.06,0.0,0.25,0.01,0.35,,,,,,,,,,,,,,,,
8,"[957, 227, 107, 133]",0.14,0.0,0.1,0.0,0.45,0.01,0.3,"[436, 245, 97, 122]",0.3,0.05,0.16,0.0,0.29,0.02,0.17,"[910, 301, 34, 42]",0.57,0.0,0.17,0.03,0.19,0.01,0.03,,,,,,,,
9,"[435, 245, 95, 123]",0.82,0.01,0.06,0.0,0.09,0.0,0.02,"[956, 225, 110, 134]",0.21,0.0,0.02,0.0,0.2,0.0,0.57,"[870, 303, 36, 43]",0.41,0.0,0.15,0.21,0.14,0.01,0.08,"[303, 282, 132, 149]",0.22,0.0,0.02,0.64,0.03,0.0,0.08
10,"[957, 226, 109, 135]",0.19,0.0,0.02,0.0,0.28,0.0,0.5,"[423, 246, 95, 122]",0.5,0.0,0.26,0.0,0.15,0.0,0.08,"[831, 303, 37, 44]",0.47,0.0,0.07,0.22,0.13,0.0,0.11,,,,,,,,
11,"[957, 228, 107, 129]",0.28,0.0,0.03,0.01,0.14,0.01,0.53,"[411, 252, 94, 121]",0.5,0.0,0.06,0.0,0.14,0.0,0.3,"[810, 305, 36, 45]",0.39,0.0,0.17,0.23,0.13,0.03,0.05,,,,,,,,
12,"[946, 219, 109, 138]",0.17,0.0,0.06,0.01,0.14,0.07,0.55,"[433, 249, 99, 125]",0.36,0.09,0.26,0.0,0.28,0.01,0.01,,,,,,,,,,,,,,,,
13,"[954, 223, 109, 134]",0.07,0.0,0.05,0.02,0.15,0.01,0.69,"[421, 243, 99, 128]",0.81,0.0,0.08,0.0,0.08,0.01,0.03,"[752, 306, 38, 47]",0.78,0.0,0.06,0.07,0.06,0.0,0.03,,,,,,,,
14,"[954, 224, 109, 133]",0.16,0.0,0.07,0.03,0.16,0.0,0.57,"[447, 241, 93, 121]",0.73,0.01,0.19,0.0,0.03,0.02,0.01,"[698, 307, 39, 50]",0.55,0.0,0.04,0.26,0.08,0.01,0.06,,,,,,,,
15,"[952, 225, 110, 136]",0.09,0.0,0.03,0.01,0.12,0.0,0.75,"[430, 252, 96, 121]",0.11,0.0,0.49,0.0,0.17,0.13,0.09,"[677, 310, 38, 46]",0.51,0.0,0.05,0.21,0.13,0.0,0.09,,,,,,,,
