,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5
287,"[597, 183, 120, 150]",0.07,0.0,0.12,0.03,0.08,0.01,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,"[602, 183, 125, 154]",0.21,0.0,0.04,0.0,0.11,0.01,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,"[599, 188, 122, 153]",0.06,0.0,0.02,0.03,0.05,0.01,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,"[601, 200, 118, 149]",0.28,0.0,0.02,0.0,0.12,0.01,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,"[609, 200, 117, 148]",0.24,0.0,0.08,0.01,0.13,0.02,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,"[607, 196, 118, 153]",0.42,0.0,0.08,0.06,0.08,0.04,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,"[606, 179, 121, 153]",0.32,0.0,0.06,0.01,0.06,0.01,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,"[602, 185, 121, 152]",0.28,0.01,0.06,0.04,0.06,0.01,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,"[604, 192, 118, 149]",0.3,0.0,0.07,0.02,0.09,0.04,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,"[603, 193, 116, 148]",0.18,0.0,0.04,0.07,0.09,0.02,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,"[597, 189, 122, 152]",0.21,0.0,0.02,0.02,0.12,0.01,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,"[597, 195, 118, 146]",0.05,0.0,0.04,0.03,0.06,0.01,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,"[583, 186, 120, 149]",0.18,0.0,0.03,0.0,0.12,0.01,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,"[588, 190, 121, 152]",0.1,0.0,0.04,0.0,0.14,0.01,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,"[590, 191, 119, 147]",0.11,0.0,0.09,0.01,0.07,0.0,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,"[597, 185, 120, 149]",0.11,0.0,0.08,0.0,0.12,0.01,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,"[594, 189, 124, 152]",0.27,0.0,0.05,0.0,0.13,0.01,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,"[595, 187, 121, 152]",0.17,0.0,0.18,0.0,0.17,0.01,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,"[599, 194, 115, 144]",0.1,0.0,0.14,0.0,0.12,0.0,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,"[598, 189, 122, 151]",0.08,0.0,0.11,0.0,0.1,0.01,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,"[601, 196, 120, 147]",0.08,0.0,0.08,0.01,0.07,0.01,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,"[602, 192, 119, 152]",0.24,0.0,0.19,0.02,0.21,0.02,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,"[601, 188, 121, 154]",0.32,0.0,0.26,0.02,0.14,0.03,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,"[601, 194, 118, 147]",0.06,0.0,0.09,0.0,0.09,0.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,"[597, 192, 119, 149]",0.14,0.0,0.1,0.0,0.14,0.01,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,"[597, 194, 119, 151]",0.08,0.0,0.08,0.14,0.12,0.01,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,"[603, 195, 117, 144]",0.13,0.0,0.13,0.0,0.15,0.02,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,"[599, 195, 118, 150]",0.11,0.0,0.1,0.06,0.11,0.01,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,"[599, 195, 120, 149]",0.05,0.0,0.03,0.01,0.08,0.01,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,"[596, 193, 119, 151]",0.12,0.0,0.16,0.1,0.14,0.01,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,"[584, 186, 124, 146]",0.1,0.0,0.1,0.02,0.15,0.0,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,"[581, 193, 122, 146]",0.18,0.0,0.04,0.01,0.1,0.01,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,"[586, 198, 118, 148]",0.04,0.0,0.06,0.02,0.1,0.0,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,"[590, 191, 119, 151]",0.18,0.0,0.27,0.03,0.15,0.07,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,"[590, 194, 122, 156]",0.13,0.0,0.17,0.13,0.13,0.03,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,"[592, 197, 118, 146]",0.14,0.0,0.06,0.0,0.1,0.0,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,"[594, 196, 117, 147]",0.16,0.0,0.27,0.02,0.11,0.02,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,"[594, 195, 119, 147]",0.07,0.0,0.12,0.02,0.1,0.01,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,"[594, 200, 118, 146]",0.16,0.0,0.09,0.0,0.11,0.01,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,"[592, 195, 119, 149]",0.24,0.0,0.33,0.01,0.08,0.05,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,"[594, 189, 123, 153]",0.1,0.0,0.1,0.02,0.13,0.0,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,"[594, 192, 121, 150]",0.26,0.0,0.09,0.0,0.14,0.02,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,"[593, 193, 120, 152]",0.2,0.0,0.13,0.0,0.15,0.03,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,"[592, 196, 119, 150]",0.06,0.0,0.1,0.05,0.15,0.01,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,"[593, 195, 118, 148]",0.05,0.0,0.07,0.09,0.07,0.01,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,"[593, 195, 120, 150]",0.14,0.0,0.15,0.0,0.18,0.01,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,"[589, 197, 120, 150]",0.06,0.0,0.05,0.01,0.1,0.0,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,"[587, 194, 118, 146]",0.09,0.0,0.09,0.17,0.09,0.03,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,"[586, 197, 117, 144]",0.04,0.0,0.03,0.06,0.07,0.0,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
