,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8,box9,angry9,disgust9,fear9,happy9,sad9,surprise9,neutral9,box10,angry10,disgust10,fear10,happy10,sad10,surprise10,neutral10,box11,angry11,disgust11,fear11,happy11,sad11,surprise11,neutral11,box12,angry12,disgust12,fear12,happy12,sad12,surprise12,neutral12,box13,angry13,disgust13,fear13,happy13,sad13,surprise13,neutral13,box14,angry14,disgust14,fear14,happy14,sad14,surprise14,neutral14
167,"[171, 491, 143, 197]",0.17,0.0,0.05,0.03,0.45,0.1,0.19,"[881, 450, 121, 157]",0.38,0.01,0.06,0.06,0.27,0.08,0.13,"[1086, 383, 93, 117]",0.58,0.0,0.03,0.04,0.17,0.14,0.03,"[72, 310, 80, 97]",0.5,0.01,0.04,0.04,0.35,0.02,0.04,"[713, 319, 76, 93]",0.53,0.0,0.04,0.06,0.26,0.06,0.05,"[625, 293, 63, 74]",0.35,0.0,0.09,0.11,0.35,0.04,0.05,"[589, 253, 37, 48]",0.27,0.01,0.06,0.04,0.44,0.12,0.05,"[1198, 234, 33, 41]",0.52,0.04,0.06,0.05,0.3,0.02,0.01,"[360, 237, 33, 41]",0.5,0.01,0.06,0.05,0.29,0.07,0.02,"[497, 225, 24, 30]",0.52,0.01,0.04,0.02,0.37,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,"[184, 497, 150, 199]",0.17,0.0,0.05,0.04,0.41,0.06,0.27,"[902, 467, 113, 138]",0.45,0.01,0.03,0.05,0.19,0.12,0.15,"[199, 389, 98, 117]",0.2,0.0,0.05,0.09,0.58,0.02,0.07,"[1090, 388, 91, 115]",0.44,0.0,0.03,0.04,0.24,0.19,0.05,"[79, 312, 82, 98]",0.42,0.0,0.05,0.05,0.41,0.03,0.05,"[728, 323, 70, 86]",0.6,0.0,0.03,0.04,0.22,0.07,0.03,"[637, 300, 58, 70]",0.38,0.0,0.08,0.09,0.37,0.03,0.05,"[445, 296, 50, 68]",0.64,0.01,0.03,0.04,0.16,0.1,0.02,"[1067, 295, 43, 52]",0.59,0.0,0.04,0.08,0.22,0.05,0.02,"[851, 264, 41, 54]",0.3,0.0,0.09,0.13,0.35,0.05,0.07,"[597, 257, 37, 47]",0.15,0.0,0.06,0.05,0.57,0.09,0.07,"[1205, 237, 34, 42]",0.56,0.03,0.05,0.01,0.32,0.02,0.01,"[369, 240, 32, 40]",0.46,0.01,0.07,0.03,0.29,0.11,0.02,"[505, 230, 23, 30]",0.51,0.01,0.02,0.02,0.39,0.04,0.01,,,,,,,,
169,"[179, 496, 146, 203]",0.17,0.0,0.07,0.03,0.43,0.13,0.18,"[899, 469, 115, 140]",0.46,0.01,0.03,0.04,0.22,0.12,0.11,"[79, 316, 84, 102]",0.4,0.01,0.06,0.07,0.38,0.03,0.06,"[724, 329, 72, 86]",0.63,0.0,0.03,0.05,0.19,0.06,0.03,"[444, 301, 49, 66]",0.66,0.01,0.03,0.04,0.15,0.1,0.02,"[531, 274, 37, 46]",0.46,0.0,0.05,0.09,0.31,0.06,0.03,"[1206, 239, 33, 40]",0.54,0.05,0.06,0.03,0.31,0.01,0.01,"[738, 275, 32, 39]",0.18,0.0,0.08,0.04,0.65,0.01,0.05,"[1183, 261, 29, 35]",0.55,0.01,0.03,0.03,0.34,0.03,0.01,"[369, 247, 29, 36]",0.45,0.01,0.06,0.03,0.38,0.06,0.01,"[503, 234, 24, 30]",0.47,0.0,0.04,0.02,0.42,0.04,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,"[190, 505, 144, 195]",0.22,0.01,0.05,0.03,0.47,0.07,0.15,"[905, 449, 124, 166]",0.33,0.01,0.09,0.06,0.33,0.1,0.09,"[85, 319, 94, 113]",0.48,0.0,0.07,0.13,0.21,0.06,0.04,"[1103, 390, 89, 111]",0.47,0.01,0.03,0.04,0.26,0.13,0.07,"[358, 372, 71, 90]",0.44,0.0,0.03,0.08,0.4,0.03,0.02,"[733, 329, 72, 87]",0.63,0.0,0.03,0.05,0.2,0.06,0.03,"[650, 304, 57, 67]",0.39,0.0,0.04,0.15,0.33,0.04,0.04,"[459, 304, 43, 54]",0.55,0.02,0.03,0.08,0.19,0.11,0.02,"[609, 262, 36, 47]",0.2,0.01,0.06,0.04,0.55,0.1,0.05,"[914, 262, 36, 45]",0.46,0.01,0.04,0.08,0.31,0.08,0.02,"[1223, 239, 32, 39]",0.47,0.06,0.11,0.03,0.29,0.03,0.02,"[66, 225, 26, 34]",0.71,0.01,0.02,0.03,0.17,0.06,0.01,"[513, 234, 24, 31]",0.47,0.0,0.05,0.02,0.41,0.04,0.01,,,,,,,,,,,,,,,,
171,"[191, 506, 144, 199]",0.16,0.0,0.05,0.02,0.52,0.04,0.2,"[915, 466, 117, 143]",0.4,0.01,0.03,0.07,0.28,0.09,0.12,"[209, 399, 95, 118]",0.46,0.0,0.07,0.07,0.35,0.03,0.02,"[1109, 393, 85, 108]",0.51,0.01,0.03,0.04,0.24,0.12,0.06,"[96, 323, 82, 98]",0.56,0.01,0.03,0.04,0.3,0.02,0.04,"[737, 329, 76, 92]",0.6,0.0,0.03,0.04,0.25,0.04,0.03,"[652, 302, 64, 79]",0.3,0.01,0.07,0.11,0.43,0.03,0.05,"[464, 301, 52, 66]",0.72,0.01,0.02,0.04,0.13,0.07,0.02,"[616, 263, 35, 47]",0.22,0.01,0.06,0.04,0.49,0.13,0.05,"[1166, 266, 33, 41]",0.41,0.04,0.04,0.12,0.29,0.06,0.03,"[388, 252, 30, 38]",0.5,0.0,0.05,0.06,0.31,0.06,0.02,"[523, 237, 20, 26]",0.55,0.01,0.05,0.03,0.31,0.04,0.02,,,,,,,,,,,,,,,,,,,,,,,,
172,"[509, 99, 144, 181]",0.32,0.0,0.09,0.02,0.13,0.03,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,"[563, 97, 147, 174]",0.13,0.0,0.42,0.02,0.04,0.28,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,"[591, 103, 140, 169]",0.12,0.0,0.06,0.01,0.05,0.02,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,"[600, 101, 142, 177]",0.16,0.0,0.14,0.0,0.16,0.01,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,"[565, 106, 144, 185]",0.11,0.0,0.1,0.01,0.03,0.05,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,"[538, 98, 151, 179]",0.03,0.0,0.02,0.01,0.02,0.02,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"[562, 101, 141, 169]",0.02,0.0,0.01,0.01,0.01,0.0,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,"[570, 108, 141, 172]",0.05,0.0,0.01,0.01,0.02,0.02,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"[569, 107, 142, 181]",0.02,0.0,0.01,0.01,0.01,0.01,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,"[561, 111, 143, 179]",0.06,0.0,0.08,0.06,0.07,0.5,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,"[552, 108, 147, 182]",0.05,0.0,0.07,0.04,0.02,0.08,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,"[555, 105, 143, 171]",0.08,0.0,0.04,0.01,0.02,0.09,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
