,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2
0,"[1119, 373, 58, 75]",0.06,0.0,0.01,0.31,0.03,0.0,0.58,"[690, 170, 108, 135]",0.14,0.0,0.03,0.0,0.76,0.0,0.07,,,,,,,,
1,"[643, 165, 108, 135]",0.09,0.0,0.05,0.0,0.73,0.0,0.13,"[1093, 366, 55, 70]",0.09,0.0,0.02,0.28,0.24,0.0,0.37,,,,,,,,
2,"[685, 158, 105, 133]",0.05,0.0,0.05,0.0,0.71,0.0,0.19,"[1110, 366, 54, 78]",0.19,0.0,0.14,0.09,0.22,0.01,0.34,,,,,,,,
3,"[690, 154, 110, 139]",0.11,0.0,0.03,0.0,0.75,0.0,0.12,"[494, 121, 128, 164]",0.43,0.0,0.04,0.37,0.11,0.01,0.03,"[1098, 376, 53, 74]",0.19,0.0,0.05,0.02,0.43,0.0,0.3
4,"[685, 160, 107, 135]",0.09,0.0,0.04,0.0,0.68,0.0,0.19,"[1085, 368, 57, 73]",0.08,0.0,0.08,0.12,0.32,0.01,0.39,,,,,,,,
5,"[632, 167, 103, 130]",0.17,0.0,0.04,0.0,0.58,0.0,0.21,"[1099, 365, 56, 76]",0.37,0.0,0.09,0.13,0.15,0.03,0.22,,,,,,,,
6,"[542, 123, 135, 162]",0.0,0.0,0.0,0.99,0.0,0.0,0.0,"[1095, 371, 56, 73]",0.18,0.0,0.04,0.39,0.16,0.0,0.23,"[695, 156, 113, 142]",0.08,0.0,0.08,0.0,0.65,0.0,0.18
7,"[550, 118, 134, 157]",0.13,0.0,0.01,0.06,0.09,0.0,0.72,"[706, 158, 107, 138]",0.12,0.0,0.05,0.0,0.58,0.0,0.25,"[1115, 365, 56, 82]",0.14,0.0,0.42,0.0,0.18,0.16,0.1
8,"[549, 114, 132, 157]",0.24,0.0,0.05,0.13,0.22,0.02,0.34,"[1119, 366, 56, 79]",0.1,0.0,0.36,0.01,0.26,0.16,0.11,"[691, 165, 100, 129]",0.18,0.0,0.09,0.0,0.5,0.0,0.23
9,"[573, 116, 129, 157]",0.36,0.01,0.05,0.07,0.31,0.02,0.18,"[1107, 367, 57, 72]",0.13,0.0,0.04,0.22,0.4,0.0,0.2,,,,,,,,
10,"[1107, 364, 56, 75]",0.12,0.0,0.02,0.21,0.14,0.02,0.49,"[583, 122, 132, 164]",0.21,0.01,0.04,0.16,0.16,0.01,0.41,,,,,,,,
11,"[1109, 379, 55, 71]",0.18,0.02,0.05,0.05,0.48,0.0,0.23,"[570, 126, 132, 159]",0.12,0.0,0.07,0.05,0.55,0.01,0.2,"[715, 166, 101, 131]",0.1,0.0,0.05,0.0,0.78,0.0,0.07
12,"[1112, 377, 54, 69]",0.27,0.01,0.05,0.07,0.23,0.0,0.38,"[574, 130, 131, 167]",0.08,0.01,0.01,0.72,0.03,0.02,0.12,,,,,,,,
13,"[555, 124, 133, 161]",0.01,0.0,0.0,0.97,0.0,0.0,0.01,"[1107, 365, 58, 79]",0.22,0.0,0.05,0.01,0.46,0.03,0.23,,,,,,,,
14,"[561, 131, 133, 163]",0.13,0.0,0.17,0.39,0.24,0.02,0.05,"[1107, 371, 57, 78]",0.34,0.0,0.15,0.13,0.18,0.04,0.15,,,,,,,,
15,"[1111, 368, 58, 78]",0.11,0.0,0.12,0.3,0.19,0.02,0.25,,,,,,,,,,,,,,,,
16,"[1121, 380, 58, 81]",0.19,0.0,0.21,0.0,0.17,0.03,0.41,"[532, 113, 128, 155]",0.31,0.01,0.09,0.01,0.56,0.01,0.01,,,,,,,,
17,"[568, 126, 128, 160]",0.38,0.0,0.11,0.03,0.43,0.01,0.04,"[1092, 378, 54, 75]",0.05,0.0,0.18,0.01,0.24,0.01,0.51,,,,,,,,
18,"[1112, 360, 57, 78]",0.11,0.0,0.11,0.67,0.07,0.02,0.03,"[548, 131, 131, 165]",0.14,0.0,0.04,0.0,0.2,0.0,0.61,,,,,,,,
19,"[1105, 365, 56, 74]",0.21,0.0,0.04,0.38,0.12,0.0,0.25,"[651, 161, 105, 139]",0.07,0.0,0.11,0.01,0.59,0.0,0.22,,,,,,,,
20,"[1104, 365, 57, 77]",0.1,0.0,0.18,0.25,0.09,0.02,0.36,"[538, 118, 130, 164]",0.33,0.01,0.03,0.07,0.11,0.01,0.44,,,,,,,,
21,"[535, 114, 129, 157]",0.0,0.0,0.0,0.99,0.0,0.0,0.01,"[1099, 352, 57, 73]",0.1,0.0,0.11,0.17,0.24,0.01,0.37,,,,,,,,
22,"[1111, 362, 57, 76]",0.03,0.0,0.06,0.67,0.1,0.01,0.12,"[569, 116, 129, 158]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,
23,"[558, 116, 131, 163]",0.11,0.0,0.03,0.11,0.71,0.0,0.04,"[1103, 367, 54, 74]",0.03,0.0,0.02,0.04,0.22,0.0,0.69,,,,,,,,
24,"[551, 120, 132, 158]",0.13,0.0,0.01,0.07,0.09,0.0,0.69,"[1083, 370, 60, 76]",0.03,0.0,0.12,0.13,0.23,0.0,0.5,,,,,,,,
25,"[1115, 364, 56, 77]",0.06,0.0,0.17,0.06,0.49,0.01,0.22,"[548, 112, 134, 162]",0.4,0.0,0.06,0.02,0.21,0.01,0.31,,,,,,,,
26,"[538, 111, 123, 148]",0.3,0.0,0.05,0.0,0.12,0.01,0.52,"[1108, 365, 57, 77]",0.13,0.0,0.14,0.04,0.55,0.0,0.14,,,,,,,,
27,"[1115, 361, 56, 79]",0.05,0.0,0.06,0.13,0.27,0.01,0.48,"[536, 113, 131, 156]",0.28,0.0,0.1,0.01,0.14,0.07,0.4,,,,,,,,
28,"[1103, 369, 56, 78]",0.04,0.0,0.21,0.0,0.46,0.0,0.29,"[581, 115, 130, 166]",0.15,0.0,0.3,0.21,0.18,0.01,0.15,,,,,,,,
29,"[1109, 366, 54, 68]",0.05,0.0,0.06,0.1,0.19,0.0,0.6,"[541, 124, 132, 156]",0.41,0.0,0.04,0.02,0.28,0.0,0.25,,,,,,,,
30,"[541, 118, 131, 158]",0.4,0.0,0.14,0.01,0.24,0.02,0.19,"[1103, 365, 56, 76]",0.12,0.0,0.07,0.01,0.59,0.01,0.19,,,,,,,,
31,"[541, 113, 127, 155]",0.15,0.0,0.1,0.02,0.25,0.02,0.47,,,,,,,,,,,,,,,,
32,"[1132, 384, 57, 76]",0.06,0.0,0.08,0.0,0.79,0.0,0.07,,,,,,,,,,,,,,,,
33,"[1094, 370, 56, 68]",0.03,0.0,0.02,0.34,0.25,0.0,0.36,"[629, 162, 107, 136]",0.44,0.0,0.04,0.0,0.46,0.0,0.07,,,,,,,,
34,"[550, 127, 128, 156]",0.37,0.0,0.09,0.01,0.27,0.02,0.23,"[1113, 365, 54, 72]",0.12,0.0,0.21,0.01,0.39,0.01,0.25,,,,,,,,
35,"[555, 121, 127, 149]",0.47,0.0,0.25,0.02,0.13,0.01,0.12,"[1106, 367, 56, 76]",0.25,0.0,0.26,0.0,0.36,0.0,0.13,,,,,,,,
36,"[1119, 374, 54, 69]",0.03,0.0,0.17,0.0,0.57,0.0,0.23,"[550, 122, 129, 159]",0.46,0.04,0.11,0.01,0.22,0.0,0.17,,,,,,,,
37,"[1122, 372, 53, 76]",0.05,0.0,0.11,0.01,0.47,0.02,0.35,"[540, 118, 135, 164]",0.2,0.03,0.05,0.22,0.09,0.02,0.4,,,,,,,,
38,"[516, 117, 137, 167]",0.15,0.0,0.12,0.1,0.5,0.01,0.13,"[701, 169, 106, 129]",0.43,0.0,0.06,0.0,0.39,0.0,0.12,"[1101, 369, 55, 76]",0.11,0.0,0.07,0.01,0.32,0.01,0.48
39,"[1101, 365, 54, 72]",0.08,0.0,0.03,0.11,0.45,0.0,0.34,"[529, 128, 132, 160]",0.35,0.02,0.11,0.08,0.4,0.01,0.03,"[676, 165, 101, 130]",0.06,0.0,0.11,0.0,0.66,0.0,0.17
40,"[1104, 368, 55, 73]",0.11,0.0,0.04,0.02,0.12,0.03,0.69,"[675, 159, 108, 139]",0.13,0.0,0.04,0.0,0.71,0.0,0.12,,,,,,,,
41,"[530, 117, 132, 158]",0.05,0.01,0.12,0.01,0.81,0.0,0.0,"[1106, 370, 55, 74]",0.01,0.0,0.01,0.09,0.06,0.0,0.82,"[682, 162, 107, 138]",0.12,0.0,0.06,0.0,0.48,0.0,0.33
42,"[534, 114, 127, 149]",0.26,0.0,0.08,0.01,0.43,0.03,0.18,"[665, 164, 101, 129]",0.06,0.0,0.07,0.0,0.6,0.0,0.28,"[1109, 368, 56, 80]",0.28,0.0,0.17,0.02,0.22,0.04,0.28
43,"[1095, 382, 58, 77]",0.04,0.0,0.03,0.02,0.09,0.0,0.82,"[529, 113, 132, 158]",0.19,0.0,0.04,0.01,0.26,0.01,0.5,"[687, 164, 104, 134]",0.18,0.0,0.07,0.0,0.25,0.0,0.5
44,"[675, 166, 106, 132]",0.18,0.0,0.06,0.0,0.46,0.0,0.3,"[1100, 376, 55, 78]",0.07,0.0,0.02,0.14,0.08,0.0,0.7,,,,,,,,
45,"[534, 116, 134, 158]",0.12,0.0,0.01,0.08,0.09,0.0,0.7,"[681, 162, 106, 135]",0.12,0.0,0.04,0.0,0.64,0.0,0.19,"[1088, 364, 57, 74]",0.09,0.0,0.04,0.34,0.29,0.01,0.23
46,"[1102, 366, 58, 82]",0.21,0.0,0.17,0.0,0.44,0.02,0.16,"[670, 164, 103, 133]",0.09,0.0,0.04,0.0,0.73,0.0,0.14,,,,,,,,
47,"[1129, 377, 54, 71]",0.11,0.0,0.01,0.1,0.14,0.0,0.63,"[661, 164, 104, 133]",0.16,0.0,0.07,0.0,0.66,0.0,0.11,,,,,,,,
48,"[1091, 369, 54, 73]",0.05,0.0,0.05,0.01,0.66,0.0,0.24,"[495, 123, 124, 158]",0.19,0.0,0.05,0.01,0.17,0.0,0.58,"[672, 160, 107, 135]",0.22,0.0,0.03,0.0,0.62,0.0,0.14
49,"[532, 117, 129, 154]",0.27,0.0,0.18,0.11,0.14,0.04,0.26,"[1098, 365, 55, 75]",0.06,0.0,0.35,0.01,0.35,0.06,0.17,"[678, 163, 105, 131]",0.23,0.0,0.09,0.0,0.47,0.0,0.2
50,"[521, 118, 131, 158]",0.24,0.0,0.06,0.0,0.21,0.02,0.46,"[678, 159, 110, 139]",0.11,0.0,0.04,0.0,0.38,0.0,0.47,"[1106, 367, 54, 68]",0.23,0.0,0.02,0.03,0.27,0.0,0.45
51,"[509, 128, 132, 161]",0.25,0.0,0.05,0.0,0.28,0.01,0.41,"[1104, 368, 57, 74]",0.02,0.0,0.01,0.06,0.17,0.0,0.73,,,,,,,,
52,"[538, 113, 120, 149]",0.08,0.0,0.14,0.02,0.73,0.01,0.01,"[1112, 366, 56, 77]",0.04,0.0,0.17,0.0,0.66,0.01,0.11,"[680, 162, 106, 134]",0.09,0.0,0.04,0.0,0.63,0.0,0.24
53,"[553, 125, 130, 159]",0.26,0.01,0.16,0.04,0.37,0.03,0.13,"[1109, 368, 56, 77]",0.11,0.0,0.17,0.0,0.5,0.03,0.19,"[687, 161, 102, 137]",0.19,0.0,0.08,0.0,0.56,0.0,0.17
54,"[546, 119, 134, 165]",0.31,0.02,0.1,0.01,0.48,0.01,0.08,"[1102, 365, 55, 74]",0.11,0.0,0.13,0.0,0.7,0.0,0.06,"[680, 167, 100, 129]",0.16,0.0,0.05,0.0,0.58,0.0,0.21
55,"[537, 113, 132, 160]",0.37,0.0,0.07,0.01,0.47,0.02,0.06,"[678, 165, 105, 134]",0.16,0.0,0.07,0.0,0.49,0.0,0.28,"[1098, 366, 55, 67]",0.13,0.0,0.09,0.06,0.42,0.03,0.28
56,"[532, 119, 133, 163]",0.07,0.03,0.04,0.0,0.84,0.0,0.01,"[680, 161, 109, 138]",0.25,0.0,0.04,0.0,0.5,0.0,0.21,"[1089, 374, 56, 79]",0.14,0.0,0.04,0.01,0.3,0.04,0.47
