,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8,box9,angry9,disgust9,fear9,happy9,sad9,surprise9,neutral9,box10,angry10,disgust10,fear10,happy10,sad10,surprise10,neutral10,box11,angry11,disgust11,fear11,happy11,sad11,surprise11,neutral11,box12,angry12,disgust12,fear12,happy12,sad12,surprise12,neutral12,box13,angry13,disgust13,fear13,happy13,sad13,surprise13,neutral13
12,"[491, 264, 33, 37]",0.02,0.0,0.12,0.21,0.43,0.01,0.21,"[224, 110, 29, 36]",0.1,0.0,0.25,0.23,0.32,0.02,0.08,"[286, 101, 27, 36]",0.07,0.0,0.06,0.05,0.12,0.0,0.69,"[443, 91, 22, 32]",0.16,0.0,0.1,0.13,0.11,0.46,0.05,"[401, 95, 22, 31]",0.02,0.0,0.23,0.12,0.48,0.02,0.13,"[55, 94, 23, 26]",0.31,0.0,0.01,0.43,0.05,0.01,0.18,"[555, 101, 21, 26]",0.17,0.01,0.42,0.02,0.34,0.01,0.03,"[370, 78, 19, 24]",0.2,0.0,0.03,0.11,0.43,0.0,0.23,"[110, 47, 16, 19]",0.12,0.0,0.04,0.5,0.24,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"[490, 264, 35, 38]",0.04,0.0,0.17,0.19,0.33,0.01,0.25,"[287, 102, 26, 35]",0.13,0.0,0.09,0.19,0.07,0.01,0.51,"[442, 90, 25, 33]",0.2,0.0,0.21,0.17,0.15,0.23,0.04,"[401, 96, 23, 30]",0.04,0.0,0.22,0.28,0.36,0.01,0.1,"[55, 94, 23, 26]",0.3,0.0,0.01,0.43,0.05,0.01,0.19,"[557, 101, 21, 27]",0.2,0.0,0.31,0.06,0.36,0.0,0.07,"[369, 77, 21, 25]",0.2,0.0,0.04,0.05,0.37,0.0,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"[323, 58, 55, 65]",0.46,0.0,0.01,0.0,0.08,0.0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"[318, 62, 53, 63]",0.65,0.0,0.03,0.0,0.08,0.0,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"[321, 54, 53, 63]",0.38,0.0,0.0,0.01,0.02,0.0,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"[330, 57, 56, 70]",0.26,0.0,0.01,0.41,0.01,0.01,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"[330, 63, 52, 64]",0.6,0.0,0.04,0.09,0.15,0.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"[350, 57, 54, 65]",0.87,0.0,0.01,0.0,0.01,0.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"[347, 59, 52, 63]",0.78,0.0,0.01,0.01,0.03,0.0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"[347, 67, 52, 61]",0.64,0.0,0.02,0.03,0.24,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"[327, 65, 50, 61]",0.58,0.02,0.11,0.05,0.1,0.01,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"[326, 93, 47, 55]",0.12,0.0,0.0,0.67,0.04,0.0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
