,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4
0,"[449, 120, 176, 228]",0.89,0.01,0.03,0.0,0.05,0.0,0.02,"[874, 174, 22, 29]",0.71,0.0,0.02,0.0,0.1,0.0,0.18,,,,,,,,,,,,,,,,,,,,,,,,
1,"[461, 137, 192, 244]",0.78,0.03,0.09,0.0,0.07,0.0,0.03,"[874, 174, 23, 29]",0.55,0.0,0.01,0.01,0.13,0.0,0.3,"[875, 318, 28, 37]",0.3,0.0,0.04,0.02,0.23,0.02,0.39,,,,,,,,,,,,,,,,
2,"[873, 174, 22, 29]",0.78,0.0,0.02,0.0,0.07,0.0,0.13,"[451, 134, 183, 238]",0.49,0.18,0.03,0.0,0.12,0.0,0.17,,,,,,,,,,,,,,,,,,,,,,,,
3,"[416, 110, 179, 230]",0.12,0.0,0.17,0.06,0.19,0.0,0.47,"[874, 173, 22, 30]",0.7,0.0,0.01,0.0,0.13,0.0,0.17,,,,,,,,,,,,,,,,,,,,,,,,
4,"[470, 144, 185, 235]",0.61,0.04,0.03,0.0,0.08,0.0,0.24,"[873, 174, 21, 28]",0.56,0.0,0.02,0.0,0.28,0.0,0.14,,,,,,,,,,,,,,,,,,,,,,,,
5,"[873, 175, 21, 27]",0.54,0.0,0.05,0.0,0.08,0.0,0.33,"[458, 127, 185, 245]",0.8,0.01,0.04,0.0,0.04,0.0,0.11,"[286, 305, 23, 24]",0.03,0.0,0.49,0.0,0.26,0.0,0.21,"[875, 318, 28, 37]",0.18,0.0,0.03,0.02,0.24,0.01,0.51,,,,,,,,
6,"[441, 123, 187, 236]",0.2,0.0,0.09,0.0,0.22,0.0,0.49,"[873, 174, 23, 29]",0.67,0.0,0.03,0.0,0.14,0.0,0.16,"[287, 306, 22, 25]",0.03,0.0,0.2,0.01,0.48,0.02,0.26,"[875, 318, 28, 37]",0.19,0.0,0.06,0.01,0.31,0.02,0.41,"[122, 509, 152, 172]",0.23,0.0,0.41,0.06,0.15,0.03,0.12
7,"[398, 140, 192, 245]",0.02,0.0,0.01,0.0,0.07,0.0,0.89,"[873, 174, 24, 29]",0.68,0.0,0.01,0.0,0.11,0.0,0.19,,,,,,,,,,,,,,,,,,,,,,,,
8,"[873, 173, 23, 30]",0.78,0.0,0.01,0.0,0.08,0.0,0.13,"[429, 132, 185, 238]",0.09,0.0,0.03,0.0,0.19,0.0,0.68,,,,,,,,,,,,,,,,,,,,,,,,
9,"[397, 141, 190, 244]",0.0,0.0,0.01,0.0,0.02,0.0,0.97,"[873, 174, 24, 29]",0.47,0.0,0.03,0.0,0.16,0.0,0.34,"[875, 318, 28, 37]",0.23,0.0,0.04,0.02,0.18,0.03,0.51,,,,,,,,,,,,,,,,
10,"[442, 152, 187, 243]",0.18,0.0,0.06,0.0,0.31,0.0,0.44,"[873, 174, 24, 29]",0.5,0.0,0.02,0.0,0.09,0.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,
11,"[874, 174, 23, 29]",0.5,0.0,0.01,0.0,0.17,0.0,0.32,"[467, 110, 185, 246]",0.13,0.0,0.1,0.0,0.25,0.0,0.52,,,,,,,,,,,,,,,,,,,,,,,,
