,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1
0,"[522, 150, 341, 459]",0.63,0.02,0.17,0.03,0.09,0.0,0.06,,,,,,,,
1,"[429, 91, 229, 289]",0.25,0.04,0.3,0.0,0.28,0.01,0.12,,,,,,,,
2,"[562, 80, 212, 282]",0.28,0.0,0.1,0.01,0.08,0.04,0.49,,,,,,,,
3,"[566, 73, 222, 283]",0.34,0.0,0.03,0.0,0.04,0.0,0.58,,,,,,,,
4,"[570, 100, 223, 294]",0.18,0.02,0.15,0.0,0.36,0.01,0.29,,,,,,,,
5,"[510, 157, 236, 287]",0.06,0.0,0.67,0.0,0.15,0.05,0.07,,,,,,,,
6,"[514, 88, 219, 273]",0.07,0.01,0.14,0.0,0.29,0.0,0.49,,,,,,,,
7,"[671, 77, 220, 287]",0.01,0.0,0.05,0.01,0.03,0.0,0.9,,,,,,,,
8,"[606, 80, 220, 277]",0.06,0.02,0.02,0.01,0.08,0.0,0.81,,,,,,,,
9,"[557, 82, 224, 287]",0.28,0.0,0.04,0.0,0.14,0.0,0.54,,,,,,,,
10,"[519, 113, 334, 434]",0.25,0.0,0.06,0.0,0.06,0.01,0.62,,,,,,,,
11,"[467, 116, 336, 437]",0.18,0.13,0.02,0.0,0.07,0.0,0.59,,,,,,,,
12,"[439, 109, 347, 452]",0.15,0.0,0.21,0.08,0.15,0.0,0.39,,,,,,,,
13,"[428, 98, 332, 431]",0.07,0.0,0.11,0.01,0.03,0.02,0.75,,,,,,,,
14,"[575, 80, 223, 291]",0.01,0.0,0.05,0.0,0.09,0.0,0.85,,,,,,,,
15,"[609, 79, 224, 287]",0.15,0.06,0.05,0.0,0.11,0.0,0.64,,,,,,,,
16,"[626, 68, 222, 282]",0.04,0.01,0.05,0.85,0.0,0.04,0.01,,,,,,,,
17,"[548, 96, 214, 274]",0.39,0.0,0.05,0.0,0.04,0.02,0.5,,,,,,,,
18,"[468, 100, 219, 291]",0.7,0.04,0.06,0.05,0.09,0.0,0.06,,,,,,,,
19,"[534, 82, 223, 290]",0.03,0.02,0.02,0.0,0.07,0.01,0.85,,,,,,,,
20,"[628, 94, 215, 292]",0.04,0.0,0.25,0.0,0.08,0.09,0.55,,,,,,,,
21,"[448, 123, 235, 275]",0.1,0.0,0.09,0.0,0.33,0.06,0.42,,,,,,,,
22,"[707, 98, 212, 280]",0.18,0.02,0.27,0.0,0.27,0.0,0.25,,,,,,,,
23,"[540, 94, 225, 277]",0.05,0.01,0.04,0.01,0.08,0.0,0.81,,,,,,,,
24,"[551, 68, 219, 263]",0.11,0.0,0.14,0.0,0.03,0.09,0.63,"[245, 383, 109, 129]",0.14,0.0,0.16,0.2,0.06,0.02,0.41
