,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2
48,"[321, 83, 197, 264]",0.17,0.0,0.08,0.05,0.02,0.07,0.59,,,,,,,,,,,,,,,,
49,"[332, 93, 196, 256]",0.04,0.0,0.03,0.01,0.02,0.01,0.89,,,,,,,,,,,,,,,,
50,"[325, 76, 195, 258]",0.03,0.0,0.19,0.09,0.02,0.08,0.58,,,,,,,,,,,,,,,,
51,"[302, 84, 197, 257]",0.1,0.0,0.39,0.06,0.03,0.09,0.35,"[410, 404, 40, 57]",0.14,0.0,0.27,0.02,0.37,0.05,0.15,,,,,,,,
52,"[320, 76, 191, 245]",0.04,0.0,0.07,0.03,0.02,0.04,0.8,,,,,,,,,,,,,,,,
53,"[289, 78, 191, 255]",0.22,0.01,0.12,0.04,0.05,0.04,0.52,,,,,,,,,,,,,,,,
54,"[316, 84, 188, 257]",0.08,0.0,0.09,0.1,0.08,0.02,0.64,,,,,,,,,,,,,,,,
55,"[298, 88, 193, 261]",0.17,0.0,0.12,0.12,0.08,0.01,0.49,,,,,,,,,,,,,,,,
56,"[278, 65, 198, 257]",0.21,0.01,0.28,0.12,0.06,0.09,0.24,,,,,,,,,,,,,,,,
57,"[227, 73, 196, 264]",0.24,0.0,0.05,0.05,0.05,0.01,0.6,,,,,,,,,,,,,,,,
58,"[275, 82, 199, 265]",0.43,0.0,0.12,0.05,0.06,0.01,0.32,,,,,,,,,,,,,,,,
59,"[278, 84, 195, 261]",0.22,0.0,0.07,0.01,0.05,0.04,0.6,,,,,,,,,,,,,,,,
60,"[288, 88, 194, 256]",0.12,0.0,0.05,0.03,0.03,0.01,0.75,"[617, 416, 123, 176]",0.08,0.03,0.09,0.17,0.27,0.02,0.35,,,,,,,,
61,"[290, 74, 196, 251]",0.06,0.0,0.12,0.01,0.04,0.07,0.7,"[630, 358, 99, 149]",0.08,0.0,0.06,0.25,0.25,0.07,0.28,,,,,,,,
62,"[320, 66, 197, 268]",0.04,0.0,0.29,0.04,0.09,0.11,0.42,,,,,,,,,,,,,,,,
