,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8
218,"[675, 128, 145, 209]",0.09,0.0,0.11,0.02,0.04,0.03,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,"[684, 115, 143, 210]",0.13,0.0,0.13,0.05,0.04,0.03,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,"[408, 372, 27, 34]",0.2,0.0,0.07,0.05,0.44,0.0,0.24,"[275, 370, 26, 33]",0.2,0.0,0.13,0.4,0.21,0.02,0.04,"[33, 373, 27, 32]",0.76,0.0,0.06,0.03,0.08,0.0,0.07,"[886, 369, 24, 30]",0.19,0.01,0.06,0.07,0.61,0.0,0.06,"[157, 364, 24, 30]",0.31,0.01,0.17,0.03,0.32,0.02,0.15,"[522, 371, 23, 30]",0.33,0.0,0.15,0.04,0.3,0.01,0.18,"[1160, 371, 20, 27]",0.28,0.07,0.11,0.05,0.38,0.02,0.09,"[764, 366, 20, 27]",0.4,0.0,0.09,0.07,0.16,0.09,0.19,,,,,,,,
221,"[32, 372, 28, 33]",0.72,0.0,0.07,0.02,0.11,0.0,0.07,"[408, 373, 26, 33]",0.23,0.0,0.12,0.11,0.36,0.02,0.17,"[886, 369, 25, 31]",0.22,0.01,0.1,0.11,0.41,0.01,0.14,"[275, 371, 24, 31]",0.19,0.0,0.11,0.31,0.33,0.0,0.05,"[522, 371, 22, 30]",0.54,0.0,0.1,0.01,0.23,0.0,0.11,"[1161, 368, 21, 28]",0.13,0.06,0.1,0.06,0.45,0.04,0.16,"[765, 366, 20, 27]",0.37,0.0,0.06,0.1,0.1,0.07,0.3,"[161, 373, 21, 25]",0.34,0.01,0.33,0.02,0.26,0.02,0.03,,,,,,,,
222,"[32, 372, 28, 34]",0.75,0.0,0.08,0.03,0.08,0.0,0.06,"[408, 374, 26, 33]",0.16,0.0,0.15,0.07,0.46,0.01,0.13,"[275, 371, 25, 32]",0.2,0.0,0.17,0.3,0.29,0.01,0.03,"[888, 370, 24, 30]",0.29,0.02,0.09,0.11,0.4,0.02,0.07,"[655, 360, 23, 30]",0.6,0.0,0.25,0.01,0.07,0.01,0.05,"[523, 373, 21, 28]",0.46,0.0,0.13,0.01,0.3,0.0,0.09,"[764, 366, 21, 27]",0.28,0.0,0.11,0.1,0.14,0.08,0.29,"[162, 372, 21, 26]",0.32,0.01,0.29,0.01,0.34,0.02,0.01,"[1152, 367, 18, 26]",0.36,0.02,0.07,0.09,0.33,0.0,0.12
223,"[33, 373, 27, 33]",0.59,0.0,0.02,0.08,0.09,0.0,0.22,"[274, 370, 27, 33]",0.38,0.0,0.13,0.18,0.23,0.02,0.06,"[408, 374, 25, 33]",0.1,0.0,0.13,0.03,0.59,0.01,0.15,"[885, 372, 24, 29]",0.27,0.01,0.04,0.09,0.51,0.01,0.07,"[522, 372, 22, 29]",0.42,0.0,0.09,0.01,0.36,0.01,0.11,"[649, 362, 21, 27]",0.55,0.0,0.07,0.01,0.19,0.01,0.18,"[765, 366, 21, 26]",0.35,0.0,0.07,0.06,0.14,0.11,0.27,"[163, 373, 20, 25]",0.31,0.01,0.23,0.0,0.43,0.01,0.01,"[1153, 368, 18, 25]",0.21,0.0,0.07,0.05,0.63,0.0,0.04
224,"[33, 373, 26, 32]",0.7,0.0,0.02,0.09,0.07,0.0,0.11,"[883, 371, 26, 32]",0.16,0.01,0.05,0.09,0.58,0.0,0.1,"[276, 371, 24, 32]",0.4,0.0,0.17,0.09,0.3,0.01,0.03,"[408, 374, 25, 32]",0.18,0.0,0.17,0.04,0.45,0.03,0.14,"[1015, 367, 24, 31]",0.52,0.0,0.16,0.04,0.18,0.01,0.09,"[522, 373, 23, 28]",0.52,0.0,0.13,0.03,0.22,0.01,0.08,"[765, 365, 21, 27]",0.2,0.0,0.11,0.09,0.15,0.09,0.37,"[1160, 373, 21, 26]",0.41,0.02,0.1,0.05,0.15,0.15,0.11,"[164, 372, 21, 25]",0.27,0.0,0.17,0.01,0.52,0.02,0.01
225,"[32, 373, 26, 33]",0.66,0.0,0.02,0.12,0.06,0.0,0.14,"[276, 371, 26, 31]",0.48,0.01,0.14,0.08,0.23,0.01,0.05,"[885, 371, 26, 32]",0.22,0.01,0.05,0.05,0.59,0.01,0.08,"[408, 374, 25, 32]",0.2,0.0,0.16,0.04,0.43,0.05,0.12,"[522, 372, 22, 30]",0.38,0.0,0.22,0.04,0.25,0.02,0.09,"[765, 365, 21, 28]",0.25,0.0,0.05,0.09,0.12,0.05,0.44,"[164, 373, 20, 25]",0.19,0.01,0.12,0.0,0.66,0.01,0.02,"[1161, 372, 20, 26]",0.47,0.02,0.1,0.01,0.22,0.12,0.06,,,,,,,,
226,"[880, 370, 27, 35]",0.22,0.0,0.07,0.03,0.52,0.01,0.14,"[407, 373, 26, 33]",0.2,0.0,0.11,0.03,0.5,0.02,0.14,"[277, 372, 23, 29]",0.4,0.0,0.15,0.18,0.23,0.0,0.04,"[522, 373, 22, 29]",0.49,0.0,0.19,0.04,0.21,0.02,0.05,"[765, 365, 21, 28]",0.26,0.0,0.06,0.09,0.11,0.03,0.45,"[163, 372, 20, 26]",0.15,0.0,0.15,0.01,0.65,0.02,0.02,"[1164, 376, 20, 25]",0.13,0.0,0.15,0.02,0.54,0.1,0.05,,,,,,,,,,,,,,,,
227,"[407, 374, 26, 33]",0.17,0.0,0.1,0.2,0.28,0.03,0.22,"[275, 371, 25, 31]",0.27,0.0,0.14,0.16,0.38,0.0,0.05,"[1014, 368, 24, 29]",0.44,0.0,0.18,0.05,0.29,0.0,0.04,"[522, 373, 22, 29]",0.51,0.0,0.07,0.05,0.28,0.01,0.08,"[766, 366, 21, 28]",0.45,0.0,0.02,0.06,0.12,0.02,0.32,"[1163, 377, 19, 24]",0.15,0.0,0.12,0.13,0.17,0.32,0.12,,,,,,,,,,,,,,,,,,,,,,,,
228,"[30, 368, 29, 34]",0.34,0.0,0.22,0.04,0.24,0.01,0.14,"[407, 375, 26, 32]",0.15,0.0,0.09,0.27,0.26,0.03,0.21,"[522, 372, 22, 30]",0.67,0.0,0.09,0.04,0.14,0.01,0.06,"[160, 372, 22, 26]",0.23,0.0,0.2,0.01,0.53,0.01,0.02,"[766, 366, 21, 27]",0.38,0.0,0.03,0.07,0.13,0.03,0.36,"[1162, 372, 20, 28]",0.06,0.0,0.12,0.19,0.24,0.16,0.23,,,,,,,,,,,,,,,,,,,,,,,,
229,"[406, 375, 26, 32]",0.16,0.0,0.15,0.14,0.39,0.02,0.14,"[651, 360, 24, 30]",0.6,0.0,0.22,0.02,0.1,0.04,0.02,"[522, 372, 21, 30]",0.7,0.0,0.08,0.03,0.14,0.01,0.04,"[766, 366, 21, 27]",0.26,0.0,0.03,0.07,0.14,0.03,0.48,"[1161, 374, 20, 27]",0.18,0.0,0.2,0.03,0.22,0.19,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,"[631, 125, 143, 189]",0.39,0.0,0.18,0.01,0.06,0.02,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,"[647, 117, 153, 197]",0.26,0.0,0.5,0.0,0.16,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,"[644, 125, 151, 189]",0.16,0.02,0.34,0.0,0.17,0.24,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
