,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8,box9,angry9,disgust9,fear9,happy9,sad9,surprise9,neutral9,box10,angry10,disgust10,fear10,happy10,sad10,surprise10,neutral10,box11,angry11,disgust11,fear11,happy11,sad11,surprise11,neutral11,box12,angry12,disgust12,fear12,happy12,sad12,surprise12,neutral12,box13,angry13,disgust13,fear13,happy13,sad13,surprise13,neutral13
0,"[320, 62, 54, 67]",0.59,0.0,0.04,0.24,0.08,0.01,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[287, 100, 25, 36]",0.12,0.0,0.05,0.04,0.12,0.0,0.66,"[226, 110, 23, 34]",0.32,0.0,0.13,0.11,0.34,0.02,0.08,"[481, 88, 24, 33]",0.18,0.0,0.1,0.01,0.47,0.01,0.23,"[371, 76, 21, 24]",0.16,0.0,0.04,0.42,0.24,0.0,0.14,"[555, 99, 24, 30]",0.44,0.0,0.07,0.35,0.08,0.0,0.05,"[248, 78, 24, 28]",0.32,0.0,0.04,0.04,0.25,0.0,0.35,"[1, 72, 19, 23]",0.03,0.0,0.03,0.38,0.39,0.0,0.18,"[109, 67, 26, 32]",0.53,0.01,0.02,0.03,0.24,0.0,0.16,"[222, 326, 18, 25]",0.03,0.0,0.07,0.03,0.1,0.03,0.73,"[400, 92, 27, 37]",0.01,0.0,0.06,0.55,0.07,0.01,0.3,"[57, 95, 17, 20]",0.25,0.0,0.02,0.05,0.27,0.0,0.41,"[270, 4, 14, 20]",0.05,0.0,0.31,0.02,0.2,0.01,0.41,,,,,,,,,,,,,,,,
2,"[286, 101, 26, 36]",0.11,0.0,0.07,0.1,0.06,0.0,0.66,"[369, 78, 19, 24]",0.22,0.0,0.03,0.13,0.27,0.0,0.35,"[441, 90, 24, 33]",0.15,0.0,0.13,0.07,0.26,0.16,0.23,"[480, 89, 24, 33]",0.3,0.0,0.1,0.01,0.34,0.01,0.23,"[108, 68, 25, 30]",0.78,0.0,0.01,0.03,0.11,0.0,0.07,"[600, 78, 34, 42]",0.04,0.0,0.05,0.04,0.39,0.05,0.43,"[396, 2, 15, 18]",0.09,0.0,0.13,0.34,0.1,0.0,0.34,"[89, 71, 16, 22]",0.27,0.01,0.05,0.18,0.32,0.0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[333, 54, 54, 63]",0.21,0.0,0.01,0.0,0.07,0.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[461, 142, 54, 66]",0.13,0.0,0.01,0.01,0.12,0.0,0.73,"[83, 112, 44, 56]",0.3,0.0,0.22,0.05,0.2,0.03,0.2,"[523, 121, 65, 81]",0.4,0.0,0.01,0.03,0.06,0.0,0.48,"[10, 97, 47, 58]",0.5,0.0,0.07,0.07,0.16,0.01,0.19,"[315, 62, 46, 60]",0.19,0.0,0.01,0.0,0.65,0.0,0.15,"[506, 71, 44, 56]",0.07,0.0,0.04,0.35,0.38,0.02,0.13,"[545, 51, 49, 62]",0.1,0.0,0.07,0.01,0.37,0.01,0.44,"[118, 132, 44, 59]",0.26,0.0,0.31,0.05,0.19,0.01,0.17,"[148, 27, 39, 46]",0.39,0.01,0.01,0.02,0.02,0.0,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[461, 142, 55, 67]",0.15,0.0,0.01,0.01,0.12,0.0,0.72,"[527, 123, 58, 75]",0.71,0.0,0.01,0.0,0.09,0.0,0.18,"[10, 96, 47, 59]",0.28,0.0,0.07,0.07,0.21,0.01,0.36,"[83, 111, 43, 56]",0.36,0.0,0.11,0.07,0.16,0.1,0.18,"[314, 66, 44, 54]",0.32,0.0,0.02,0.01,0.3,0.0,0.35,"[545, 51, 46, 60]",0.06,0.0,0.06,0.01,0.3,0.01,0.56,"[140, 25, 41, 48]",0.49,0.0,0.04,0.02,0.12,0.0,0.33,"[506, 70, 44, 56]",0.05,0.0,0.03,0.36,0.39,0.01,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[318, 59, 53, 63]",0.38,0.0,0.04,0.01,0.18,0.0,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[307, 60, 55, 67]",0.31,0.0,0.03,0.36,0.04,0.01,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[326, 56, 53, 64]",0.28,0.0,0.02,0.17,0.07,0.02,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[135, 113, 22, 28]",0.09,0.0,0.06,0.59,0.06,0.03,0.17,"[351, 117, 26, 39]",0.6,0.0,0.11,0.08,0.08,0.02,0.11,"[482, 138, 32, 41]",0.21,0.0,0.02,0.03,0.53,0.01,0.21,"[40, 139, 39, 45]",0.66,0.0,0.0,0.08,0.15,0.0,0.11,"[194, 136, 37, 48]",0.14,0.0,0.02,0.18,0.05,0.01,0.61,"[31, 104, 21, 27]",0.29,0.0,0.08,0.17,0.26,0.09,0.11,"[543, 147, 28, 36]",0.92,0.0,0.04,0.01,0.02,0.0,0.01,"[303, 106, 16, 21]",0.19,0.0,0.15,0.01,0.6,0.02,0.03,"[164, 113, 24, 30]",0.27,0.0,0.23,0.1,0.3,0.01,0.09,"[386, 155, 21, 28]",0.23,0.0,0.15,0.02,0.37,0.04,0.2,"[427, 99, 18, 22]",0.29,0.0,0.04,0.03,0.47,0.0,0.16,"[92, 133, 27, 37]",0.07,0.0,0.05,0.04,0.28,0.01,0.55,"[272, 118, 22, 29]",0.88,0.0,0.03,0.03,0.03,0.01,0.02,"[451, 147, 22, 28]",0.1,0.0,0.24,0.24,0.35,0.02,0.06
