,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5
0,"[929, 170, 94, 103]",0.15,0.0,0.09,0.0,0.02,0.01,0.72,"[455, 155, 89, 113]",0.75,0.0,0.09,0.01,0.07,0.01,0.07,"[5, 282, 33, 42]",0.18,0.0,0.12,0.11,0.36,0.0,0.23,,,,,,,,,,,,,,,,,,,,,,,,
1,"[924, 168, 93, 103]",0.12,0.0,0.08,0.01,0.06,0.01,0.73,"[449, 167, 88, 113]",0.52,0.0,0.13,0.0,0.34,0.0,0.01,"[273, 258, 51, 63]",0.09,0.0,0.25,0.1,0.55,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,
2,"[921, 171, 95, 104]",0.13,0.0,0.16,0.01,0.07,0.01,0.62,"[439, 161, 90, 112]",0.3,0.0,0.23,0.0,0.36,0.02,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[924, 173, 95, 102]",0.08,0.0,0.05,0.0,0.06,0.01,0.8,"[455, 166, 91, 110]",0.23,0.0,0.24,0.0,0.33,0.01,0.18,"[252, 253, 53, 68]",0.2,0.0,0.02,0.34,0.22,0.01,0.21,,,,,,,,,,,,,,,,,,,,,,,,
4,"[928, 171, 96, 104]",0.12,0.0,0.09,0.0,0.05,0.01,0.73,"[459, 164, 87, 107]",0.46,0.0,0.15,0.03,0.3,0.02,0.05,"[238, 258, 56, 69]",0.28,0.0,0.07,0.04,0.6,0.0,0.02,"[758, 405, 29, 35]",0.13,0.0,0.05,0.28,0.29,0.01,0.24,,,,,,,,,,,,,,,,
5,"[927, 172, 95, 104]",0.1,0.0,0.14,0.01,0.08,0.01,0.66,"[426, 168, 84, 107]",0.47,0.0,0.2,0.04,0.21,0.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[930, 171, 94, 103]",0.14,0.0,0.1,0.01,0.06,0.01,0.68,"[461, 180, 92, 118]",0.31,0.0,0.11,0.07,0.29,0.01,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[928, 171, 95, 103]",0.06,0.0,0.1,0.01,0.07,0.01,0.75,"[451, 166, 91, 119]",0.66,0.0,0.01,0.12,0.06,0.04,0.1,"[116, 255, 58, 71]",0.66,0.01,0.03,0.07,0.21,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,
8,"[929, 174, 88, 100]",0.16,0.0,0.07,0.0,0.05,0.0,0.71,"[439, 160, 90, 111]",0.71,0.0,0.15,0.0,0.11,0.02,0.01,"[114, 251, 62, 78]",0.77,0.0,0.03,0.02,0.15,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,
9,"[924, 175, 83, 98]",0.15,0.0,0.03,0.0,0.05,0.0,0.76,"[105, 248, 63, 78]",0.39,0.0,0.14,0.02,0.41,0.0,0.05,"[451, 195, 87, 110]",0.19,0.0,0.09,0.0,0.69,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,
10,"[916, 174, 90, 101]",0.39,0.0,0.1,0.0,0.05,0.01,0.45,"[184, 264, 47, 57]",0.17,0.0,0.25,0.04,0.41,0.0,0.11,"[451, 165, 89, 116]",0.83,0.0,0.05,0.0,0.04,0.02,0.06,"[53, 256, 57, 71]",0.23,0.06,0.06,0.02,0.61,0.01,0.01,,,,,,,,,,,,,,,,
11,"[452, 165, 92, 117]",0.83,0.0,0.05,0.01,0.07,0.01,0.03,"[68, 252, 58, 71]",0.38,0.0,0.04,0.03,0.53,0.0,0.02,"[912, 179, 79, 98]",0.54,0.0,0.06,0.0,0.09,0.0,0.3,"[226, 259, 48, 55]",0.46,0.0,0.12,0.1,0.25,0.0,0.06,,,,,,,,,,,,,,,,
12,"[444, 174, 92, 116]",0.57,0.0,0.22,0.0,0.13,0.06,0.02,"[916, 175, 88, 104]",0.14,0.0,0.03,0.0,0.06,0.0,0.77,"[75, 254, 58, 70]",0.15,0.0,0.05,0.03,0.75,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,
13,"[450, 168, 87, 116]",0.79,0.0,0.07,0.02,0.07,0.01,0.04,"[911, 176, 85, 100]",0.52,0.0,0.11,0.0,0.12,0.0,0.25,"[0, 262, 41, 65]",0.13,0.0,0.05,0.59,0.16,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,
14,"[449, 174, 89, 115]",0.54,0.0,0.09,0.0,0.33,0.01,0.03,"[17, 256, 56, 70]",0.32,0.02,0.08,0.01,0.55,0.01,0.01,"[908, 176, 83, 102]",0.49,0.0,0.17,0.0,0.14,0.01,0.2,,,,,,,,,,,,,,,,,,,,,,,,
15,"[22, 257, 55, 67]",0.23,0.01,0.04,0.06,0.64,0.0,0.01,"[469, 185, 93, 116]",0.33,0.0,0.09,0.06,0.2,0.01,0.32,"[888, 151, 114, 138]",0.17,0.0,0.15,0.01,0.25,0.02,0.4,,,,,,,,,,,,,,,,,,,,,,,,
16,"[924, 177, 88, 102]",0.21,0.0,0.04,0.0,0.06,0.0,0.69,"[442, 175, 87, 110]",0.51,0.0,0.16,0.0,0.21,0.0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"[452, 174, 92, 122]",0.42,0.0,0.2,0.01,0.21,0.12,0.03,"[911, 161, 96, 114]",0.15,0.0,0.04,0.01,0.05,0.0,0.75,"[207, 261, 45, 53]",0.24,0.0,0.11,0.11,0.49,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,
18,"[916, 176, 87, 100]",0.12,0.0,0.04,0.01,0.09,0.0,0.74,"[221, 268, 49, 56]",0.12,0.0,0.17,0.05,0.62,0.0,0.03,"[435, 171, 92, 114]",0.36,0.0,0.21,0.03,0.08,0.0,0.31,"[29, 285, 34, 40]",0.22,0.0,0.23,0.03,0.47,0.0,0.04,"[740, 599, 28, 36]",0.16,0.0,0.07,0.15,0.58,0.01,0.03,"[385, 269, 38, 44]",0.71,0.0,0.01,0.03,0.23,0.0,0.01
19,"[922, 173, 86, 102]",0.28,0.0,0.03,0.0,0.07,0.0,0.61,"[459, 174, 87, 111]",0.46,0.0,0.19,0.0,0.21,0.01,0.13,"[134, 258, 51, 59]",0.25,0.0,0.17,0.08,0.47,0.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,
