,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8,box9,angry9,disgust9,fear9,happy9,sad9,surprise9,neutral9
93,"[764, 366, 22, 28]",0.11,0.0,0.02,0.17,0.1,0.09,0.51,"[163, 362, 22, 30]",0.33,0.0,0.14,0.03,0.39,0.01,0.11,"[1160, 374, 21, 28]",0.21,0.0,0.08,0.09,0.26,0.09,0.28,"[523, 374, 20, 28]",0.81,0.0,0.03,0.06,0.08,0.0,0.01,"[404, 379, 25, 31]",0.03,0.0,0.08,0.16,0.45,0.0,0.28,"[261, 374, 27, 33]",0.17,0.0,0.25,0.03,0.51,0.02,0.01,"[1002, 363, 25, 31]",0.2,0.0,0.06,0.04,0.48,0.01,0.22,,,,,,,,,,,,,,,,,,,,,,,,
94,"[163, 364, 21, 28]",0.44,0.0,0.09,0.1,0.13,0.0,0.24,"[772, 375, 20, 25]",0.31,0.0,0.12,0.0,0.5,0.0,0.06,"[1163, 374, 20, 27]",0.12,0.0,0.05,0.06,0.22,0.06,0.48,"[523, 374, 21, 28]",0.74,0.0,0.04,0.09,0.1,0.0,0.02,"[404, 378, 25, 32]",0.04,0.0,0.05,0.12,0.5,0.0,0.29,"[266, 376, 26, 34]",0.16,0.03,0.11,0.15,0.44,0.01,0.1,"[1004, 364, 24, 30]",0.34,0.0,0.08,0.07,0.39,0.01,0.11,,,,,,,,,,,,,,,,,,,,,,,,
95,"[617, 153, 158, 204]",0.3,0.0,0.1,0.0,0.06,0.01,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"[690, 144, 149, 210]",0.17,0.0,0.11,0.01,0.09,0.02,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"[678, 129, 153, 212]",0.15,0.0,0.29,0.06,0.04,0.01,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"[635, 148, 152, 200]",0.16,0.0,0.13,0.02,0.1,0.04,0.56,"[245, 574, 24, 30]",0.09,0.0,0.01,0.02,0.73,0.01,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"[725, 129, 140, 204]",0.11,0.0,0.07,0.08,0.05,0.01,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"[685, 147, 148, 211]",0.25,0.0,0.15,0.06,0.12,0.01,0.41,"[244, 575, 25, 29]",0.06,0.0,0.01,0.03,0.76,0.02,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"[614, 143, 155, 198]",0.21,0.0,0.15,0.0,0.14,0.03,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"[601, 128, 146, 194]",0.1,0.0,0.07,0.02,0.11,0.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
