,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4
34,"[624, 166, 127, 156]",0.01,0.0,0.01,0.76,0.04,0.0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"[484, 175, 168, 222]",0.07,0.0,0.03,0.82,0.05,0.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"[444, 152, 175, 238]",0.31,0.01,0.06,0.24,0.29,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"[332, 179, 177, 230]",0.12,0.0,0.02,0.58,0.16,0.0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"[540, 189, 165, 215]",0.04,0.0,0.02,0.84,0.04,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"[507, 158, 188, 257]",0.31,0.03,0.11,0.23,0.24,0.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"[625, 130, 120, 159]",0.21,0.0,0.11,0.08,0.08,0.09,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"[616, 129, 126, 167]",0.26,0.0,0.18,0.27,0.02,0.12,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"[620, 129, 122, 155]",0.33,0.0,0.09,0.13,0.09,0.08,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"[640, 153, 118, 149]",0.15,0.0,0.0,0.72,0.01,0.0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"[611, 142, 124, 159]",0.19,0.0,0.05,0.45,0.06,0.24,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"[598, 153, 116, 150]",0.02,0.0,0.01,0.89,0.01,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"[1156, 234, 40, 49]",0.24,0.01,0.51,0.0,0.13,0.07,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"[124, 338, 21, 31]",0.24,0.01,0.14,0.41,0.16,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"[462, 124, 188, 239]",0.41,0.01,0.01,0.2,0.23,0.0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"[503, 140, 177, 244]",0.33,0.02,0.02,0.46,0.08,0.0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"[139, 366, 18, 24]",0.14,0.0,0.14,0.23,0.24,0.16,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"[1205, 212, 43, 51]",0.48,0.02,0.01,0.18,0.28,0.0,0.03,"[899, 267, 30, 38]",0.33,0.0,0.14,0.15,0.06,0.02,0.3,,,,,,,,,,,,,,,,,,,,,,,,
52,"[889, 267, 34, 40]",0.18,0.0,0.19,0.05,0.04,0.04,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"[646, 168, 117, 149]",0.25,0.01,0.1,0.28,0.17,0.07,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"[620, 159, 122, 153]",0.1,0.0,0.01,0.67,0.08,0.0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"[673, 161, 120, 154]",0.2,0.01,0.01,0.58,0.1,0.01,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"[683, 161, 121, 160]",0.05,0.0,0.01,0.68,0.09,0.0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"[665, 135, 126, 163]",0.66,0.01,0.1,0.04,0.1,0.07,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"[658, 148, 121, 154]",0.08,0.0,0.01,0.77,0.05,0.01,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"[668, 137, 121, 152]",0.13,0.0,0.04,0.08,0.04,0.01,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"[661, 161, 117, 149]",0.08,0.0,0.01,0.66,0.11,0.0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"[656, 167, 116, 146]",0.03,0.0,0.01,0.77,0.02,0.0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"[506, 147, 179, 249]",0.38,0.04,0.06,0.09,0.27,0.0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"[496, 162, 181, 242]",0.47,0.0,0.28,0.07,0.13,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"[509, 139, 186, 260]",0.48,0.0,0.02,0.1,0.08,0.0,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"[516, 173, 177, 231]",0.13,0.0,0.08,0.52,0.15,0.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"[502, 163, 182, 247]",0.29,0.01,0.16,0.08,0.28,0.0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"[493, 149, 184, 255]",0.25,0.0,0.08,0.25,0.16,0.0,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"[497, 134, 186, 268]",0.29,0.0,0.02,0.39,0.04,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"[518, 170, 175, 246]",0.23,0.0,0.09,0.25,0.25,0.0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"[500, 142, 185, 261]",0.37,0.02,0.07,0.21,0.16,0.01,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"[483, 136, 198, 270]",0.29,0.0,0.02,0.13,0.21,0.0,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"[504, 150, 178, 249]",0.5,0.01,0.09,0.22,0.1,0.01,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"[465, 146, 184, 252]",0.19,0.01,0.05,0.48,0.16,0.0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"[390, 149, 182, 250]",0.5,0.0,0.01,0.05,0.04,0.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"[435, 167, 176, 243]",0.24,0.0,0.08,0.35,0.22,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"[577, 174, 183, 247]",0.13,0.01,0.11,0.47,0.13,0.0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"[586, 183, 187, 241]",0.04,0.01,0.08,0.72,0.05,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"[574, 184, 162, 212]",0.03,0.0,0.06,0.75,0.08,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"[620, 160, 117, 151]",0.36,0.0,0.04,0.15,0.14,0.0,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"[617, 160, 119, 151]",0.2,0.0,0.06,0.13,0.14,0.01,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"[558, 151, 125, 160]",0.06,0.0,0.03,0.53,0.12,0.0,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"[603, 162, 117, 151]",0.17,0.0,0.09,0.29,0.12,0.02,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"[627, 161, 123, 163]",0.42,0.02,0.19,0.09,0.11,0.05,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"[620, 153, 124, 162]",0.03,0.0,0.01,0.7,0.01,0.01,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"[619, 155, 126, 158]",0.05,0.0,0.02,0.59,0.06,0.0,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"[616, 151, 127, 161]",0.01,0.0,0.0,0.73,0.01,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"[606, 150, 129, 161]",0.08,0.0,0.03,0.24,0.07,0.0,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"[617, 127, 130, 164]",0.37,0.0,0.07,0.09,0.05,0.38,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"[610, 150, 121, 158]",0.16,0.0,0.1,0.49,0.09,0.02,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"[604, 147, 129, 161]",0.12,0.0,0.06,0.4,0.05,0.0,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"[607, 148, 129, 159]",0.02,0.0,0.02,0.64,0.04,0.0,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"[464, 181, 167, 220]",0.03,0.0,0.01,0.8,0.07,0.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"[423, 170, 175, 228]",0.12,0.0,0.02,0.65,0.14,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"[474, 168, 170, 224]",0.08,0.0,0.04,0.74,0.09,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"[497, 175, 176, 228]",0.13,0.0,0.03,0.37,0.17,0.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"[501, 186, 166, 222]",0.14,0.0,0.07,0.58,0.14,0.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"[495, 171, 167, 224]",0.08,0.0,0.08,0.57,0.17,0.01,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"[494, 137, 179, 248]",0.83,0.02,0.02,0.04,0.06,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"[494, 176, 166, 219]",0.08,0.0,0.06,0.68,0.12,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"[492, 155, 176, 236]",0.09,0.0,0.03,0.77,0.07,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"[474, 156, 179, 233]",0.22,0.02,0.03,0.21,0.44,0.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"[490, 160, 170, 219]",0.03,0.0,0.05,0.77,0.09,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"[503, 184, 164, 214]",0.07,0.0,0.04,0.73,0.12,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,"[495, 171, 171, 224]",0.02,0.0,0.01,0.85,0.05,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,"[496, 177, 167, 218]",0.07,0.0,0.04,0.7,0.12,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,"[474, 112, 200, 288]",0.69,0.0,0.01,0.02,0.08,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,"[498, 141, 177, 241]",0.74,0.02,0.02,0.08,0.07,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,"[503, 182, 164, 213]",0.01,0.0,0.0,0.96,0.02,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,"[597, 186, 118, 149]",0.01,0.0,0.02,0.85,0.06,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,"[573, 202, 103, 128]",0.06,0.0,0.01,0.75,0.03,0.0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,"[629, 204, 112, 137]",0.01,0.0,0.01,0.79,0.08,0.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,"[647, 157, 120, 155]",0.01,0.0,0.01,0.92,0.01,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,"[635, 159, 123, 158]",0.05,0.0,0.02,0.36,0.15,0.0,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,"[630, 169, 131, 161]",0.03,0.0,0.05,0.53,0.09,0.0,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,"[581, 165, 120, 153]",0.06,0.0,0.02,0.07,0.11,0.01,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,"[556, 129, 127, 166]",0.56,0.02,0.03,0.05,0.24,0.02,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,"[583, 149, 127, 162]",0.13,0.0,0.04,0.27,0.14,0.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,"[615, 147, 126, 161]",0.05,0.0,0.01,0.63,0.04,0.0,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,"[613, 152, 128, 157]",0.01,0.0,0.01,0.77,0.02,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"[1148, 476, 89, 109]",0.17,0.0,0.09,0.12,0.38,0.0,0.23,"[628, 184, 100, 132]",0.12,0.01,0.06,0.61,0.13,0.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,
121,"[1146, 477, 84, 104]",0.35,0.0,0.1,0.03,0.31,0.0,0.22,"[645, 201, 95, 124]",0.01,0.0,0.01,0.94,0.02,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,
122,"[1147, 476, 82, 103]",0.35,0.03,0.21,0.01,0.25,0.01,0.14,"[631, 197, 96, 125]",0.03,0.0,0.02,0.87,0.03,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,
123,"[1143, 475, 81, 100]",0.18,0.0,0.15,0.18,0.09,0.07,0.32,"[622, 186, 100, 133]",0.19,0.0,0.06,0.46,0.1,0.0,0.18,,,,,,,,,,,,,,,,,,,,,,,,
124,"[1136, 469, 86, 111]",0.18,0.0,0.08,0.08,0.34,0.0,0.31,"[624, 188, 99, 131]",0.2,0.0,0.08,0.26,0.21,0.0,0.24,,,,,,,,,,,,,,,,,,,,,,,,
125,"[1134, 474, 84, 102]",0.48,0.03,0.1,0.0,0.2,0.01,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,"[1142, 476, 80, 97]",0.29,0.0,0.11,0.03,0.09,0.06,0.43,"[581, 157, 103, 146]",0.53,0.01,0.01,0.02,0.07,0.02,0.34,,,,,,,,,,,,,,,,,,,,,,,,
127,"[1134, 469, 82, 104]",0.15,0.0,0.04,0.02,0.04,0.01,0.74,"[558, 179, 105, 148]",0.42,0.0,0.01,0.38,0.05,0.0,0.14,,,,,,,,,,,,,,,,,,,,,,,,
128,"[1132, 470, 82, 105]",0.19,0.0,0.07,0.02,0.04,0.09,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,"[1129, 474, 80, 98]",0.39,0.0,0.11,0.02,0.05,0.12,0.31,"[599, 187, 103, 138]",0.5,0.0,0.01,0.05,0.15,0.0,0.28,,,,,,,,,,,,,,,,,,,,,,,,
130,"[1129, 475, 81, 99]",0.19,0.0,0.15,0.01,0.12,0.09,0.43,"[610, 192, 91, 124]",0.16,0.0,0.09,0.57,0.07,0.01,0.1,,,,,,,,,,,,,,,,,,,,,,,,
131,"[1129, 473, 78, 98]",0.34,0.0,0.06,0.03,0.11,0.07,0.39,"[611, 187, 89, 120]",0.1,0.0,0.04,0.55,0.09,0.0,0.22,,,,,,,,,,,,,,,,,,,,,,,,
132,"[1129, 475, 79, 97]",0.33,0.0,0.11,0.03,0.11,0.03,0.39,"[583, 150, 106, 154]",0.74,0.0,0.03,0.03,0.07,0.01,0.11,,,,,,,,,,,,,,,,,,,,,,,,
133,"[1125, 471, 82, 106]",0.16,0.0,0.12,0.01,0.21,0.0,0.5,"[585, 151, 107, 151]",0.65,0.01,0.02,0.03,0.07,0.01,0.22,,,,,,,,,,,,,,,,,,,,,,,,
134,"[1125, 470, 85, 109]",0.22,0.0,0.03,0.01,0.08,0.0,0.66,"[613, 200, 88, 113]",0.04,0.0,0.09,0.76,0.05,0.01,0.04,,,,,,,,,,,,,,,,,,,,,,,,
135,"[1126, 471, 84, 107]",0.23,0.0,0.05,0.01,0.08,0.0,0.63,"[598, 179, 101, 142]",0.4,0.02,0.01,0.46,0.08,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,
136,"[1126, 473, 81, 103]",0.29,0.0,0.08,0.01,0.19,0.01,0.42,"[611, 184, 101, 139]",0.4,0.01,0.04,0.35,0.09,0.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,
137,"[1125, 468, 84, 109]",0.19,0.0,0.03,0.03,0.05,0.0,0.69,"[582, 154, 105, 151]",0.52,0.01,0.01,0.03,0.06,0.0,0.38,,,,,,,,,,,,,,,,,,,,,,,,
138,"[1123, 474, 83, 102]",0.51,0.01,0.1,0.0,0.26,0.0,0.12,"[562, 185, 99, 134]",0.3,0.0,0.04,0.29,0.2,0.0,0.17,,,,,,,,,,,,,,,,,,,,,,,,
