,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2
0,"[508, 227, 117, 144]",0.05,0.01,0.01,0.17,0.34,0.0,0.42,,,,,,,,,,,,,,,,
1,"[502, 236, 107, 141]",0.23,0.03,0.01,0.12,0.14,0.01,0.47,"[610, 399, 35, 43]",0.03,0.0,0.55,0.02,0.3,0.01,0.09,,,,,,,,
2,"[502, 237, 108, 141]",0.14,0.0,0.05,0.2,0.28,0.01,0.32,,,,,,,,,,,,,,,,
3,"[479, 203, 114, 145]",0.39,0.0,0.04,0.08,0.07,0.01,0.41,"[613, 405, 32, 40]",0.11,0.0,0.53,0.02,0.22,0.05,0.07,,,,,,,,
4,"[480, 224, 118, 148]",0.04,0.04,0.0,0.68,0.05,0.0,0.18,"[613, 404, 34, 42]",0.17,0.0,0.32,0.1,0.27,0.01,0.13,,,,,,,,
5,"[451, 197, 115, 143]",0.19,0.0,0.05,0.03,0.03,0.11,0.6,"[612, 402, 38, 46]",0.06,0.0,0.29,0.04,0.43,0.01,0.17,,,,,,,,
6,"[480, 235, 103, 140]",0.25,0.0,0.07,0.05,0.2,0.05,0.37,,,,,,,,,,,,,,,,
7,"[384, 172, 117, 154]",0.16,0.0,0.17,0.0,0.3,0.0,0.36,,,,,,,,,,,,,,,,
8,"[428, 214, 109, 143]",0.16,0.0,0.04,0.48,0.21,0.0,0.1,,,,,,,,,,,,,,,,
9,"[397, 185, 120, 147]",0.0,0.0,0.0,0.97,0.0,0.0,0.03,,,,,,,,,,,,,,,,
10,"[479, 178, 120, 145]",0.2,0.0,0.02,0.26,0.03,0.07,0.42,,,,,,,,,,,,,,,,
11,"[453, 179, 122, 156]",0.72,0.0,0.09,0.05,0.11,0.01,0.03,,,,,,,,,,,,,,,,
12,"[431, 201, 113, 144]",0.16,0.0,0.02,0.06,0.22,0.0,0.55,,,,,,,,,,,,,,,,
13,"[387, 217, 111, 150]",0.04,0.0,0.01,0.32,0.06,0.0,0.56,,,,,,,,,,,,,,,,
14,"[379, 203, 115, 144]",0.06,0.0,0.01,0.07,0.06,0.0,0.8,,,,,,,,,,,,,,,,
15,"[393, 218, 113, 148]",0.09,0.0,0.02,0.38,0.27,0.0,0.23,,,,,,,,,,,,,,,,
16,"[515, 223, 113, 149]",0.72,0.01,0.11,0.08,0.07,0.0,0.01,,,,,,,,,,,,,,,,
17,"[471, 186, 117, 146]",0.55,0.0,0.17,0.0,0.06,0.05,0.17,,,,,,,,,,,,,,,,
18,"[483, 215, 109, 145]",0.03,0.0,0.0,0.73,0.15,0.0,0.08,,,,,,,,,,,,,,,,
19,"[472, 191, 112, 146]",0.3,0.0,0.34,0.0,0.09,0.03,0.23,,,,,,,,,,,,,,,,
20,"[451, 215, 115, 146]",0.05,0.0,0.0,0.64,0.04,0.0,0.26,,,,,,,,,,,,,,,,
21,"[462, 219, 109, 144]",0.03,0.0,0.0,0.71,0.08,0.0,0.18,,,,,,,,,,,,,,,,
