,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0
0,"[336, 74, 98, 122]",0.39,0.0,0.04,0.01,0.17,0.01,0.39
1,"[317, 89, 90, 117]",0.1,0.0,0.38,0.01,0.43,0.02,0.07
2,"[313, 81, 101, 128]",0.2,0.0,0.07,0.0,0.61,0.0,0.12
3,"[302, 57, 112, 144]",0.4,0.0,0.09,0.0,0.38,0.0,0.13
4,"[270, 67, 132, 161]",0.24,0.0,0.27,0.01,0.38,0.0,0.09
5,"[287, 64, 107, 137]",0.26,0.0,0.24,0.0,0.33,0.0,0.17
6,"[297, 63, 116, 141]",0.15,0.0,0.03,0.01,0.18,0.0,0.64
7,"[306, 78, 118, 134]",0.01,0.0,0.01,0.07,0.14,0.0,0.77
8,"[314, 57, 111, 141]",0.3,0.0,0.1,0.07,0.32,0.01,0.21
9,"[310, 65, 111, 137]",0.22,0.0,0.02,0.27,0.06,0.01,0.43
10,"[287, 68, 113, 142]",0.26,0.0,0.09,0.1,0.18,0.0,0.37
11,"[306, 69, 116, 139]",0.04,0.0,0.02,0.02,0.09,0.0,0.83
12,"[301, 71, 115, 140]",0.07,0.0,0.19,0.02,0.47,0.0,0.25
13,"[304, 59, 109, 143]",0.15,0.0,0.02,0.31,0.06,0.0,0.47
14,"[294, 67, 116, 144]",0.22,0.0,0.02,0.03,0.07,0.0,0.65
15,"[302, 71, 108, 140]",0.45,0.0,0.07,0.06,0.24,0.01,0.17
16,"[312, 58, 109, 140]",0.27,0.0,0.05,0.0,0.37,0.0,0.31
17,"[301, 69, 116, 141]",0.27,0.0,0.05,0.0,0.37,0.0,0.3
18,"[285, 66, 110, 143]",0.32,0.0,0.12,0.02,0.4,0.0,0.12
19,"[296, 77, 97, 119]",0.13,0.01,0.15,0.0,0.67,0.02,0.02
20,"[304, 65, 113, 144]",0.19,0.0,0.06,0.02,0.25,0.01,0.48
21,"[312, 53, 122, 154]",0.14,0.0,0.03,0.03,0.2,0.0,0.59
22,"[296, 56, 109, 143]",0.11,0.0,0.01,0.29,0.06,0.0,0.52
23,"[301, 63, 111, 144]",0.66,0.0,0.05,0.0,0.08,0.0,0.2
24,"[311, 63, 111, 140]",0.11,0.0,0.05,0.06,0.11,0.0,0.68
25,"[314, 57, 110, 137]",0.09,0.0,0.02,0.14,0.09,0.0,0.66
26,"[297, 86, 112, 133]",0.05,0.0,0.16,0.08,0.54,0.0,0.16
27,"[290, 79, 113, 137]",0.14,0.0,0.11,0.0,0.33,0.0,0.41
28,"[326, 42, 108, 140]",0.31,0.0,0.12,0.0,0.29,0.0,0.27
29,"[317, 61, 112, 141]",0.15,0.0,0.06,0.04,0.26,0.0,0.48
30,"[315, 62, 109, 142]",0.51,0.0,0.05,0.01,0.08,0.01,0.35
31,"[300, 57, 110, 140]",0.45,0.0,0.11,0.02,0.2,0.0,0.23
32,"[300, 63, 113, 139]",0.25,0.0,0.07,0.03,0.16,0.0,0.5
33,"[319, 60, 111, 146]",0.44,0.0,0.08,0.03,0.28,0.04,0.13
34,"[304, 54, 118, 144]",0.2,0.0,0.08,0.0,0.64,0.0,0.08
35,"[296, 66, 109, 141]",0.36,0.0,0.12,0.01,0.18,0.0,0.34
36,"[303, 66, 115, 141]",0.48,0.0,0.05,0.06,0.31,0.02,0.08
37,"[303, 64, 108, 138]",0.15,0.0,0.02,0.66,0.07,0.03,0.07
38,"[302, 55, 120, 152]",0.22,0.0,0.03,0.29,0.04,0.01,0.42
39,"[294, 81, 104, 134]",0.08,0.0,0.02,0.71,0.08,0.01,0.1
40,"[308, 64, 109, 139]",0.49,0.0,0.13,0.0,0.22,0.0,0.16
41,"[311, 64, 111, 141]",0.57,0.0,0.11,0.0,0.18,0.01,0.12
42,"[295, 67, 107, 136]",0.46,0.0,0.09,0.0,0.22,0.0,0.23
43,"[301, 66, 113, 141]",0.11,0.0,0.02,0.05,0.09,0.01,0.73
44,"[303, 62, 115, 142]",0.15,0.0,0.07,0.12,0.21,0.01,0.44
45,"[302, 60, 114, 143]",0.08,0.0,0.01,0.55,0.23,0.01,0.12
46,"[326, 43, 116, 154]",0.26,0.0,0.08,0.02,0.24,0.01,0.4
47,"[301, 64, 110, 139]",0.1,0.0,0.01,0.06,0.03,0.0,0.8
48,"[310, 50, 115, 145]",0.38,0.0,0.17,0.0,0.38,0.01,0.06
49,"[314, 57, 102, 130]",0.19,0.0,0.03,0.06,0.14,0.0,0.58
50,"[297, 65, 108, 133]",0.54,0.0,0.05,0.01,0.25,0.0,0.15
51,"[311, 60, 116, 141]",0.06,0.0,0.03,0.05,0.43,0.03,0.4
52,"[311, 73, 108, 136]",0.35,0.0,0.04,0.01,0.15,0.01,0.44
53,"[277, 65, 106, 139]",0.24,0.0,0.12,0.03,0.28,0.01,0.31
54,"[319, 53, 110, 135]",0.15,0.0,0.11,0.0,0.32,0.04,0.38
55,"[317, 55, 114, 143]",0.09,0.0,0.01,0.05,0.48,0.09,0.29
56,"[295, 62, 110, 145]",0.44,0.0,0.1,0.0,0.19,0.0,0.26
57,"[316, 63, 108, 132]",0.31,0.0,0.02,0.09,0.17,0.0,0.4
58,"[303, 61, 119, 143]",0.06,0.0,0.01,0.22,0.32,0.03,0.34
59,"[300, 67, 106, 140]",0.46,0.0,0.15,0.0,0.26,0.01,0.11
60,"[313, 60, 109, 139]",0.64,0.0,0.07,0.0,0.15,0.0,0.13
61,"[286, 67, 109, 139]",0.01,0.0,0.0,0.27,0.04,0.0,0.67
62,"[307, 70, 113, 139]",0.24,0.0,0.08,0.0,0.59,0.0,0.08
63,"[312, 66, 111, 134]",0.23,0.0,0.01,0.02,0.31,0.01,0.42
64,"[310, 66, 113, 140]",0.17,0.0,0.03,0.02,0.15,0.0,0.62
65,"[302, 73, 111, 132]",0.32,0.0,0.11,0.0,0.42,0.0,0.14
66,"[296, 67, 112, 140]",0.1,0.0,0.01,0.08,0.1,0.0,0.72
67,"[306, 55, 103, 137]",0.18,0.0,0.03,0.14,0.03,0.0,0.63
68,"[306, 62, 100, 122]",0.45,0.0,0.09,0.07,0.19,0.01,0.19
69,"[303, 62, 116, 141]",0.54,0.0,0.01,0.01,0.07,0.0,0.37
70,"[307, 67, 109, 139]",0.56,0.0,0.1,0.0,0.22,0.0,0.12
71,"[291, 68, 109, 143]",0.23,0.0,0.1,0.29,0.05,0.07,0.27
72,"[288, 82, 111, 135]",0.22,0.0,0.11,0.01,0.43,0.01,0.22
73,"[301, 62, 113, 145]",0.58,0.0,0.07,0.0,0.18,0.0,0.16
74,"[330, 49, 110, 145]",0.49,0.0,0.09,0.01,0.3,0.01,0.11
75,"[306, 77, 110, 132]",0.36,0.0,0.07,0.03,0.13,0.0,0.41
76,"[300, 47, 117, 143]",0.61,0.0,0.14,0.0,0.16,0.0,0.09
77,"[301, 64, 112, 138]",0.16,0.0,0.03,0.21,0.3,0.01,0.3
78,"[310, 41, 108, 142]",0.48,0.0,0.06,0.01,0.13,0.0,0.32
79,"[303, 54, 110, 140]",0.52,0.0,0.02,0.04,0.17,0.0,0.24
80,"[291, 93, 108, 141]",0.17,0.0,0.02,0.42,0.06,0.01,0.32
81,"[303, 77, 108, 133]",0.44,0.0,0.06,0.08,0.11,0.03,0.27
82,"[253, 113, 111, 126]",0.07,0.0,0.23,0.04,0.61,0.01,0.04
83,"[295, 63, 120, 147]",0.19,0.0,0.09,0.07,0.31,0.01,0.33
84,"[305, 62, 116, 142]",0.31,0.0,0.05,0.01,0.29,0.0,0.35
85,"[314, 51, 108, 141]",0.48,0.0,0.03,0.15,0.07,0.01,0.26
86,"[294, 65, 111, 142]",0.25,0.0,0.07,0.0,0.21,0.0,0.47
87,"[314, 59, 106, 140]",0.53,0.0,0.03,0.05,0.18,0.01,0.21
88,"[305, 63, 109, 138]",0.52,0.0,0.07,0.0,0.32,0.0,0.08
89,"[300, 64, 114, 143]",0.35,0.0,0.06,0.0,0.27,0.0,0.32
90,"[292, 63, 106, 141]",0.51,0.0,0.04,0.26,0.11,0.01,0.07
91,"[300, 58, 115, 143]",0.27,0.0,0.07,0.0,0.25,0.0,0.41
92,"[308, 56, 106, 138]",0.41,0.0,0.04,0.04,0.18,0.0,0.32
93,"[312, 57, 107, 142]",0.31,0.0,0.02,0.06,0.11,0.0,0.49
94,"[297, 64, 108, 136]",0.05,0.0,0.01,0.04,0.07,0.0,0.83
95,"[327, 67, 109, 134]",0.15,0.0,0.01,0.0,0.3,0.0,0.54
96,"[312, 65, 114, 143]",0.17,0.0,0.06,0.05,0.25,0.01,0.46
97,"[315, 64, 112, 137]",0.14,0.0,0.01,0.07,0.38,0.02,0.38
98,"[288, 64, 109, 143]",0.63,0.0,0.11,0.03,0.12,0.01,0.11
99,"[308, 52, 121, 154]",0.1,0.0,0.01,0.01,0.04,0.0,0.85
100,"[301, 63, 111, 142]",0.39,0.0,0.06,0.01,0.08,0.01,0.46
101,"[303, 64, 108, 137]",0.39,0.0,0.11,0.0,0.39,0.0,0.1
102,"[305, 64, 116, 140]",0.08,0.0,0.05,0.0,0.71,0.0,0.15
103,"[301, 71, 119, 139]",0.04,0.0,0.02,0.03,0.37,0.0,0.54
104,"[308, 52, 108, 145]",0.61,0.0,0.07,0.04,0.1,0.0,0.18
105,"[304, 56, 120, 144]",0.08,0.0,0.05,0.0,0.65,0.01,0.21
106,"[316, 61, 107, 140]",0.42,0.0,0.06,0.0,0.08,0.01,0.43
107,"[286, 54, 103, 139]",0.35,0.0,0.09,0.04,0.18,0.0,0.33
108,"[294, 62, 113, 145]",0.27,0.0,0.05,0.0,0.19,0.0,0.49
109,"[300, 64, 111, 142]",0.42,0.0,0.13,0.0,0.24,0.0,0.2
110,"[297, 58, 106, 142]",0.52,0.0,0.14,0.02,0.06,0.0,0.27
111,"[308, 54, 115, 142]",0.23,0.0,0.15,0.0,0.55,0.01,0.06
112,"[293, 77, 109, 144]",0.08,0.0,0.06,0.76,0.02,0.02,0.06
113,"[297, 59, 109, 140]",0.2,0.0,0.02,0.1,0.04,0.0,0.64
114,"[306, 64, 110, 142]",0.31,0.0,0.04,0.05,0.1,0.01,0.5
115,"[304, 62, 105, 138]",0.75,0.0,0.09,0.0,0.12,0.0,0.04
116,"[279, 96, 108, 126]",0.11,0.01,0.46,0.02,0.37,0.0,0.04
117,"[285, 71, 112, 142]",0.35,0.0,0.2,0.03,0.34,0.0,0.07
118,"[305, 47, 109, 142]",0.34,0.0,0.03,0.02,0.14,0.0,0.48
119,"[293, 68, 111, 142]",0.28,0.0,0.09,0.0,0.27,0.0,0.35
120,"[306, 66, 111, 140]",0.44,0.0,0.05,0.0,0.25,0.0,0.26
