,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2
0,"[603, 96, 89, 113]",0.23,0.0,0.03,0.01,0.25,0.0,0.48,"[1108, 488, 36, 44]",0.31,0.0,0.05,0.0,0.03,0.1,0.51,,,,,,,,
1,"[582, 83, 92, 120]",0.02,0.0,0.02,0.01,0.07,0.0,0.88,"[1109, 488, 35, 49]",0.18,0.0,0.16,0.03,0.02,0.58,0.03,,,,,,,,
2,"[593, 102, 108, 140]",0.2,0.0,0.09,0.0,0.15,0.0,0.56,"[1113, 489, 35, 44]",0.18,0.0,0.05,0.31,0.08,0.07,0.31,,,,,,,,
3,"[561, 104, 124, 158]",0.07,0.0,0.11,0.0,0.22,0.0,0.59,"[1127, 492, 35, 45]",0.25,0.0,0.12,0.12,0.16,0.16,0.19,,,,,,,,
4,"[567, 109, 120, 156]",0.15,0.0,0.05,0.0,0.08,0.0,0.71,"[1111, 491, 35, 44]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,
5,"[578, 115, 123, 161]",0.06,0.0,0.02,0.0,0.14,0.0,0.77,"[1113, 490, 35, 46]",0.1,0.0,0.25,0.01,0.07,0.47,0.11,,,,,,,,
6,"[580, 96, 118, 155]",0.15,0.0,0.14,0.0,0.18,0.0,0.53,"[1119, 489, 35, 46]",0.03,0.0,0.05,0.64,0.09,0.02,0.17,,,,,,,,
7,"[576, 97, 121, 155]",0.49,0.0,0.04,0.0,0.14,0.0,0.32,"[1117, 487, 35, 44]",0.06,0.0,0.02,0.53,0.1,0.01,0.27,,,,,,,,
8,"[1114, 487, 36, 46]",0.09,0.0,0.25,0.25,0.08,0.22,0.12,,,,,,,,,,,,,,,,
9,"[1109, 483, 32, 42]",0.03,0.0,0.12,0.2,0.23,0.01,0.41,,,,,,,,,,,,,,,,
10,"[558, 103, 120, 158]",0.12,0.0,0.08,0.0,0.1,0.0,0.7,"[1128, 487, 35, 42]",0.27,0.0,0.05,0.41,0.03,0.02,0.21,,,,,,,,
11,"[609, 95, 118, 151]",0.13,0.0,0.12,0.0,0.21,0.0,0.54,"[1105, 488, 35, 45]",0.03,0.0,0.15,0.39,0.03,0.15,0.27,,,,,,,,
12,"[563, 85, 119, 157]",0.05,0.0,0.05,0.0,0.13,0.0,0.76,"[1112, 486, 34, 43]",0.19,0.0,0.21,0.16,0.19,0.03,0.23,,,,,,,,
13,"[572, 88, 120, 154]",0.12,0.0,0.12,0.0,0.28,0.0,0.47,"[1108, 488, 37, 49]",0.45,0.0,0.03,0.46,0.0,0.05,0.01,,,,,,,,
14,"[559, 92, 119, 159]",0.07,0.0,0.07,0.0,0.22,0.0,0.64,"[1111, 487, 37, 51]",0.09,0.0,0.34,0.07,0.02,0.47,0.02,,,,,,,,
15,"[569, 100, 121, 161]",0.08,0.0,0.03,0.0,0.13,0.0,0.76,"[1110, 490, 35, 46]",0.17,0.0,0.37,0.03,0.08,0.28,0.07,,,,,,,,
16,"[1117, 490, 34, 45]",0.05,0.0,0.06,0.04,0.15,0.04,0.67,,,,,,,,,,,,,,,,
17,"[576, 92, 119, 155]",0.04,0.0,0.17,0.0,0.31,0.0,0.48,"[1100, 488, 35, 45]",0.08,0.0,0.05,0.16,0.12,0.02,0.58,,,,,,,,
18,"[580, 90, 120, 154]",0.09,0.0,0.05,0.01,0.51,0.0,0.35,"[1120, 488, 33, 45]",0.06,0.0,0.15,0.13,0.09,0.09,0.49,,,,,,,,
19,"[564, 99, 119, 151]",0.06,0.0,0.02,0.0,0.05,0.0,0.87,"[1126, 489, 37, 46]",0.29,0.0,0.13,0.06,0.05,0.16,0.3,,,,,,,,
20,"[577, 93, 115, 148]",0.07,0.0,0.02,0.0,0.16,0.0,0.75,"[1119, 489, 37, 47]",0.05,0.0,0.09,0.0,0.01,0.84,0.01,,,,,,,,
21,"[594, 97, 121, 159]",0.05,0.0,0.08,0.01,0.53,0.0,0.33,"[1110, 489, 33, 42]",0.03,0.0,0.02,0.9,0.01,0.01,0.02,,,,,,,,
22,"[567, 104, 119, 153]",0.03,0.0,0.05,0.0,0.26,0.0,0.66,"[1109, 487, 37, 47]",0.03,0.0,0.19,0.14,0.08,0.39,0.16,,,,,,,,
23,"[584, 100, 120, 162]",0.02,0.0,0.01,0.22,0.06,0.0,0.68,"[1110, 487, 34, 44]",0.07,0.0,0.11,0.0,0.05,0.65,0.11,,,,,,,,
24,"[574, 98, 120, 156]",0.12,0.0,0.1,0.01,0.21,0.0,0.57,"[1111, 489, 37, 46]",0.06,0.0,0.05,0.11,0.21,0.05,0.52,,,,,,,,
25,"[1108, 487, 34, 49]",0.19,0.0,0.1,0.19,0.08,0.22,0.22,,,,,,,,,,,,,,,,
26,"[595, 102, 120, 156]",0.33,0.0,0.06,0.0,0.38,0.0,0.23,"[1113, 490, 35, 44]",0.26,0.0,0.03,0.01,0.34,0.0,0.36,,,,,,,,
27,"[579, 85, 119, 153]",0.09,0.0,0.16,0.01,0.4,0.0,0.34,"[1113, 489, 34, 47]",0.23,0.0,0.13,0.51,0.02,0.08,0.03,,,,,,,,
28,"[580, 115, 120, 149]",0.31,0.0,0.01,0.11,0.11,0.0,0.45,"[1109, 486, 39, 51]",0.14,0.0,0.14,0.01,0.0,0.7,0.0,,,,,,,,
29,"[598, 102, 122, 158]",0.09,0.0,0.31,0.0,0.49,0.01,0.1,"[1107, 491, 34, 44]",0.14,0.0,0.01,0.02,0.09,0.01,0.73,,,,,,,,
30,"[581, 102, 119, 157]",0.06,0.0,0.06,0.01,0.08,0.0,0.8,"[1117, 488, 37, 48]",0.07,0.0,0.38,0.03,0.11,0.34,0.07,,,,,,,,
31,"[577, 96, 118, 157]",0.15,0.0,0.08,0.01,0.11,0.0,0.63,"[1114, 488, 35, 46]",0.17,0.0,0.23,0.02,0.13,0.35,0.1,,,,,,,,
32,"[574, 88, 119, 156]",0.23,0.0,0.24,0.02,0.28,0.01,0.23,"[1118, 489, 35, 46]",0.04,0.0,0.15,0.07,0.13,0.04,0.57,,,,,,,,
33,"[590, 98, 118, 155]",0.16,0.0,0.11,0.0,0.52,0.0,0.21,"[1115, 488, 35, 46]",0.2,0.0,0.04,0.65,0.02,0.03,0.06,,,,,,,,
34,"[585, 94, 119, 157]",0.11,0.0,0.22,0.0,0.36,0.0,0.31,"[1108, 490, 36, 48]",0.12,0.0,0.14,0.46,0.13,0.06,0.09,,,,,,,,
35,"[583, 94, 116, 153]",0.11,0.0,0.11,0.0,0.11,0.01,0.66,"[1107, 490, 37, 50]",0.26,0.0,0.23,0.12,0.01,0.38,0.0,,,,,,,,
36,"[572, 92, 120, 154]",0.09,0.0,0.13,0.01,0.23,0.01,0.53,"[1115, 488, 33, 45]",0.05,0.0,0.06,0.19,0.14,0.02,0.54,,,,,,,,
37,"[591, 101, 121, 156]",0.19,0.0,0.04,0.0,0.32,0.0,0.45,"[1111, 489, 34, 44]",0.14,0.0,0.01,0.21,0.07,0.0,0.57,,,,,,,,
38,"[588, 95, 120, 155]",0.04,0.0,0.13,0.0,0.14,0.0,0.67,"[1110, 488, 37, 49]",0.02,0.0,0.06,0.01,0.0,0.92,0.0,,,,,,,,
39,"[583, 92, 119, 157]",0.18,0.0,0.14,0.0,0.33,0.0,0.34,"[1113, 491, 35, 45]",0.03,0.0,0.04,0.71,0.04,0.0,0.18,,,,,,,,
40,"[575, 98, 123, 158]",0.16,0.0,0.22,0.0,0.12,0.01,0.49,"[1107, 486, 37, 51]",0.05,0.0,0.27,0.02,0.1,0.53,0.03,,,,,,,,
41,"[574, 97, 121, 156]",0.05,0.0,0.27,0.0,0.31,0.01,0.36,"[1110, 487, 35, 45]",0.14,0.0,0.14,0.1,0.29,0.04,0.28,,,,,,,,
42,"[594, 97, 110, 143]",0.11,0.0,0.1,0.0,0.34,0.0,0.44,"[1111, 488, 36, 49]",0.02,0.0,0.08,0.57,0.0,0.33,0.0,,,,,,,,
43,"[578, 94, 119, 153]",0.28,0.0,0.27,0.0,0.22,0.05,0.18,"[1117, 490, 35, 44]",0.27,0.0,0.03,0.01,0.31,0.01,0.38,,,,,,,,
44,"[577, 98, 119, 154]",0.03,0.0,0.02,0.02,0.06,0.0,0.87,"[1117, 486, 37, 50]",0.23,0.0,0.03,0.65,0.0,0.09,0.0,,,,,,,,
45,"[581, 91, 121, 158]",0.05,0.0,0.06,0.01,0.11,0.0,0.76,"[1112, 487, 35, 48]",0.19,0.0,0.26,0.26,0.03,0.24,0.02,,,,,,,,
46,"[586, 100, 120, 156]",0.11,0.0,0.09,0.0,0.41,0.0,0.4,"[1129, 489, 35, 45]",0.46,0.0,0.21,0.0,0.06,0.22,0.05,,,,,,,,
