,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4
0,"[506, 148, 22, 28]",0.04,0.0,0.01,0.86,0.03,0.0,0.06,"[235, 64, 114, 135]",0.12,0.0,0.53,0.01,0.01,0.17,0.15,,,,,,,,,,,,,,,,,,,,,,,,
1,"[258, 79, 100, 127]",0.63,0.0,0.12,0.02,0.06,0.01,0.16,"[506, 148, 22, 28]",0.01,0.0,0.0,0.96,0.0,0.0,0.03,"[560, 224, 20, 24]",0.01,0.0,0.03,0.2,0.14,0.01,0.6,,,,,,,,,,,,,,,,
2,"[264, 86, 95, 126]",0.77,0.01,0.03,0.01,0.07,0.0,0.1,"[506, 148, 22, 28]",0.01,0.0,0.0,0.95,0.0,0.0,0.04,"[560, 224, 20, 24]",0.02,0.0,0.05,0.13,0.18,0.01,0.61,"[528, 327, 28, 35]",0.04,0.0,0.21,0.1,0.23,0.01,0.4,,,,,,,,
3,"[265, 90, 99, 125]",0.43,0.0,0.02,0.33,0.02,0.0,0.21,"[507, 148, 21, 28]",0.01,0.0,0.0,0.97,0.0,0.0,0.02,"[560, 224, 20, 24]",0.02,0.0,0.05,0.13,0.18,0.01,0.61,"[528, 327, 28, 35]",0.04,0.0,0.21,0.12,0.22,0.01,0.4,,,,,,,,
4,"[507, 148, 21, 28]",0.0,0.0,0.0,0.97,0.0,0.0,0.03,"[263, 76, 100, 128]",0.21,0.0,0.58,0.0,0.0,0.17,0.03,"[560, 224, 19, 24]",0.02,0.0,0.05,0.15,0.16,0.01,0.61,"[528, 327, 28, 35]",0.04,0.0,0.19,0.11,0.24,0.01,0.41,,,,,,,,
5,"[256, 91, 96, 123]",0.4,0.0,0.25,0.18,0.03,0.04,0.09,"[506, 147, 22, 29]",0.0,0.0,0.0,0.98,0.0,0.0,0.02,"[560, 224, 19, 24]",0.02,0.0,0.05,0.14,0.18,0.01,0.6,"[528, 327, 28, 35]",0.05,0.0,0.19,0.12,0.24,0.01,0.4,,,,,,,,
6,"[507, 149, 21, 28]",0.01,0.0,0.0,0.97,0.0,0.0,0.02,"[273, 74, 98, 128]",0.12,0.0,0.78,0.01,0.0,0.08,0.01,"[560, 224, 20, 25]",0.02,0.0,0.04,0.13,0.19,0.01,0.62,,,,,,,,,,,,,,,,
7,"[257, 82, 97, 123]",0.18,0.0,0.32,0.01,0.07,0.12,0.3,"[503, 149, 22, 28]",0.02,0.0,0.0,0.95,0.01,0.0,0.02,"[557, 226, 19, 22]",0.06,0.0,0.1,0.27,0.45,0.01,0.11,"[524, 327, 28, 36]",0.03,0.0,0.17,0.12,0.32,0.02,0.34,,,,,,,,
8,"[265, 89, 97, 122]",0.8,0.0,0.02,0.07,0.01,0.0,0.09,"[504, 150, 22, 29]",0.01,0.0,0.0,0.98,0.0,0.0,0.01,"[559, 225, 19, 25]",0.02,0.0,0.04,0.06,0.27,0.0,0.61,"[527, 328, 27, 35]",0.04,0.0,0.2,0.06,0.27,0.0,0.44,,,,,,,,
9,"[504, 150, 22, 29]",0.01,0.0,0.0,0.96,0.0,0.0,0.03,"[252, 84, 103, 128]",0.19,0.0,0.05,0.02,0.08,0.0,0.65,"[559, 226, 19, 24]",0.02,0.0,0.05,0.07,0.21,0.0,0.65,"[526, 328, 27, 35]",0.06,0.0,0.17,0.07,0.27,0.0,0.44,,,,,,,,
