,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5
0,"[571, 84, 248, 333]",0.18,0.0,0.35,0.02,0.07,0.09,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[554, 83, 249, 327]",0.08,0.0,0.58,0.08,0.04,0.11,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[572, 106, 249, 336]",0.06,0.0,0.05,0.0,0.03,0.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[571, 131, 250, 336]",0.14,0.0,0.73,0.01,0.1,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[563, 92, 251, 337]",0.09,0.0,0.21,0.05,0.1,0.02,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[563, 95, 254, 341]",0.07,0.0,0.7,0.05,0.12,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[571, 112, 245, 328]",0.12,0.0,0.37,0.01,0.08,0.01,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[563, 101, 250, 329]",0.09,0.0,0.35,0.03,0.07,0.06,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[562, 94, 253, 332]",0.07,0.0,0.25,0.03,0.05,0.08,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[563, 105, 249, 327]",0.07,0.0,0.16,0.05,0.1,0.01,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"[570, 87, 249, 344]",0.09,0.0,0.62,0.12,0.02,0.13,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"[528, 102, 234, 318]",0.07,0.0,0.09,0.0,0.04,0.03,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"[534, 100, 235, 327]",0.23,0.0,0.71,0.0,0.05,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"[528, 90, 236, 324]",0.03,0.0,0.04,0.0,0.05,0.01,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"[525, 113, 241, 324]",0.04,0.0,0.02,0.28,0.02,0.0,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"[528, 105, 235, 316]",0.13,0.0,0.04,0.01,0.03,0.02,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"[529, 94, 234, 320]",0.18,0.0,0.53,0.0,0.07,0.06,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"[529, 109, 233, 312]",0.15,0.0,0.34,0.0,0.08,0.02,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
