,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0
0,"[295, 90, 83, 104]",0.19,0.0,0.01,0.07,0.36,0.01,0.35
1,"[281, 86, 81, 104]",0.46,0.0,0.0,0.08,0.3,0.01,0.15
2,"[285, 54, 77, 99]",0.07,0.0,0.01,0.04,0.19,0.0,0.68
3,"[268, 105, 82, 99]",0.28,0.0,0.01,0.31,0.15,0.05,0.2
4,"[252, 80, 86, 103]",0.12,0.01,0.04,0.02,0.38,0.01,0.43
5,"[256, 82, 82, 99]",0.05,0.0,0.05,0.05,0.17,0.02,0.66
6,"[260, 86, 81, 100]",0.08,0.0,0.02,0.04,0.08,0.01,0.77
7,"[257, 85, 83, 101]",0.12,0.01,0.04,0.04,0.29,0.05,0.47
8,"[265, 112, 84, 102]",0.13,0.0,0.02,0.19,0.43,0.02,0.2
9,"[285, 105, 83, 100]",0.24,0.0,0.0,0.31,0.2,0.0,0.24
10,"[303, 99, 79, 98]",0.12,0.0,0.01,0.14,0.11,0.03,0.6
11,"[286, 81, 80, 98]",0.12,0.0,0.07,0.01,0.26,0.02,0.52
12,"[260, 81, 85, 105]",0.26,0.0,0.06,0.03,0.24,0.03,0.4
13,"[265, 79, 83, 103]",0.05,0.0,0.11,0.01,0.21,0.01,0.61
14,"[299, 75, 80, 104]",0.11,0.0,0.02,0.0,0.51,0.0,0.35
15,"[276, 79, 83, 102]",0.19,0.01,0.17,0.01,0.22,0.12,0.28
16,"[293, 112, 81, 101]",0.17,0.0,0.02,0.31,0.15,0.08,0.27
17,"[306, 109, 77, 99]",0.26,0.0,0.0,0.26,0.09,0.03,0.35
18,"[294, 77, 82, 106]",0.29,0.0,0.06,0.02,0.12,0.13,0.37
19,"[295, 112, 84, 109]",0.29,0.0,0.01,0.28,0.08,0.01,0.33
20,"[286, 103, 86, 106]",0.49,0.0,0.01,0.1,0.08,0.17,0.16
21,"[273, 82, 86, 104]",0.16,0.0,0.05,0.02,0.22,0.01,0.53
22,"[288, 71, 79, 104]",0.13,0.0,0.15,0.0,0.39,0.07,0.25
23,"[259, 78, 82, 102]",0.43,0.0,0.05,0.0,0.15,0.22,0.14
24,"[278, 78, 82, 105]",0.2,0.0,0.15,0.01,0.19,0.03,0.43
25,"[263, 73, 86, 105]",0.05,0.0,0.51,0.0,0.21,0.14,0.08
26,"[255, 78, 86, 103]",0.1,0.0,0.27,0.01,0.31,0.02,0.29
27,"[259, 69, 85, 104]",0.29,0.0,0.25,0.0,0.2,0.21,0.05
28,"[265, 74, 79, 103]",0.2,0.0,0.2,0.0,0.26,0.18,0.16
29,"[265, 71, 86, 106]",0.25,0.0,0.19,0.0,0.25,0.07,0.24
30,"[288, 107, 87, 108]",0.17,0.0,0.01,0.39,0.13,0.02,0.29
31,"[275, 109, 84, 106]",0.19,0.0,0.01,0.31,0.14,0.05,0.3
32,"[260, 67, 84, 105]",0.28,0.0,0.12,0.0,0.23,0.26,0.11
33,"[254, 74, 86, 102]",0.28,0.0,0.15,0.01,0.16,0.16,0.23
34,"[260, 72, 85, 103]",0.17,0.0,0.13,0.0,0.39,0.06,0.24
35,"[253, 73, 84, 100]",0.18,0.0,0.16,0.01,0.17,0.04,0.44
36,"[257, 71, 85, 100]",0.29,0.0,0.06,0.01,0.22,0.01,0.42
37,"[258, 73, 83, 98]",0.29,0.0,0.13,0.01,0.17,0.01,0.39
38,"[292, 98, 75, 97]",0.37,0.0,0.01,0.03,0.25,0.05,0.3
39,"[291, 97, 75, 97]",0.2,0.0,0.01,0.09,0.13,0.04,0.53
40,"[288, 100, 74, 95]",0.09,0.0,0.01,0.15,0.07,0.02,0.67
41,"[287, 96, 78, 98]",0.14,0.0,0.01,0.04,0.15,0.01,0.66
42,"[261, 67, 86, 104]",0.1,0.0,0.16,0.0,0.17,0.48,0.09
43,"[246, 76, 87, 105]",0.16,0.0,0.43,0.0,0.15,0.16,0.09
44,"[252, 74, 86, 103]",0.22,0.0,0.25,0.0,0.21,0.05,0.27
45,"[262, 83, 83, 101]",0.21,0.0,0.04,0.01,0.22,0.01,0.5
46,"[267, 83, 83, 104]",0.25,0.0,0.04,0.01,0.35,0.05,0.3
47,"[268, 82, 84, 104]",0.18,0.0,0.03,0.01,0.26,0.03,0.48
48,"[263, 85, 85, 103]",0.14,0.0,0.05,0.02,0.24,0.05,0.5
49,"[265, 86, 85, 103]",0.18,0.0,0.03,0.01,0.25,0.04,0.5
50,"[284, 85, 82, 103]",0.09,0.0,0.01,0.03,0.09,0.03,0.75
51,"[297, 87, 81, 100]",0.13,0.0,0.01,0.08,0.03,0.1,0.64
52,"[295, 86, 79, 101]",0.2,0.0,0.02,0.03,0.07,0.16,0.53
53,"[296, 81, 82, 105]",0.26,0.0,0.05,0.04,0.16,0.06,0.44
54,"[262, 69, 84, 105]",0.09,0.0,0.25,0.0,0.34,0.04,0.29
55,"[260, 85, 83, 102]",0.21,0.0,0.07,0.03,0.17,0.02,0.49
56,"[288, 84, 80, 101]",0.09,0.0,0.03,0.01,0.11,0.02,0.74
57,"[311, 104, 82, 104]",0.07,0.0,0.02,0.72,0.05,0.03,0.11
58,"[270, 86, 82, 100]",0.09,0.0,0.12,0.03,0.07,0.02,0.67
59,"[251, 86, 85, 101]",0.34,0.0,0.11,0.01,0.3,0.05,0.19
60,"[267, 74, 84, 103]",0.08,0.0,0.06,0.0,0.29,0.05,0.51
61,"[302, 75, 79, 103]",0.12,0.0,0.13,0.01,0.28,0.08,0.39
62,"[274, 64, 80, 101]",0.2,0.0,0.18,0.0,0.29,0.11,0.21
63,"[258, 74, 80, 101]",0.19,0.0,0.13,0.01,0.26,0.04,0.37
64,"[259, 104, 81, 98]",0.51,0.0,0.02,0.07,0.19,0.02,0.19
65,"[300, 98, 79, 100]",0.42,0.0,0.02,0.07,0.13,0.28,0.08
66,"[308, 68, 81, 105]",0.24,0.02,0.12,0.0,0.45,0.03,0.14
67,"[314, 96, 74, 97]",0.08,0.0,0.0,0.5,0.02,0.01,0.38
68,"[291, 93, 83, 103]",0.14,0.0,0.0,0.14,0.07,0.02,0.63
69,"[267, 75, 85, 102]",0.18,0.01,0.26,0.0,0.35,0.06,0.15
70,"[254, 72, 85, 103]",0.13,0.0,0.14,0.01,0.28,0.02,0.42
71,"[261, 96, 87, 101]",0.09,0.0,0.01,0.2,0.16,0.0,0.54
72,"[267, 70, 86, 106]",0.05,0.0,0.46,0.0,0.23,0.06,0.21
73,"[311, 73, 81, 101]",0.1,0.0,0.07,0.0,0.18,0.02,0.64
74,"[300, 99, 83, 101]",0.08,0.0,0.0,0.44,0.05,0.03,0.4
75,"[309, 104, 78, 98]",0.12,0.0,0.01,0.58,0.07,0.01,0.2
76,"[292, 67, 82, 106]",0.2,0.0,0.24,0.0,0.17,0.28,0.11
77,"[305, 75, 82, 105]",0.2,0.0,0.05,0.01,0.12,0.01,0.61
78,"[301, 74, 80, 102]",0.22,0.0,0.09,0.0,0.22,0.21,0.27
79,"[311, 98, 77, 98]",0.22,0.0,0.01,0.25,0.1,0.01,0.41
80,"[311, 95, 80, 103]",0.16,0.0,0.0,0.52,0.03,0.02,0.27
81,"[288, 98, 87, 110]",0.24,0.0,0.02,0.45,0.05,0.06,0.19
82,"[255, 72, 86, 105]",0.2,0.0,0.07,0.0,0.23,0.17,0.34
83,"[262, 95, 82, 103]",0.45,0.0,0.02,0.16,0.25,0.02,0.11
84,"[257, 98, 82, 99]",0.39,0.0,0.02,0.15,0.17,0.01,0.25
85,"[257, 103, 81, 95]",0.4,0.01,0.02,0.19,0.24,0.01,0.13
86,"[254, 95, 83, 100]",0.15,0.0,0.01,0.19,0.13,0.01,0.52
87,"[246, 73, 84, 100]",0.25,0.0,0.08,0.0,0.31,0.01,0.35
88,"[303, 101, 80, 101]",0.11,0.0,0.01,0.39,0.08,0.0,0.42
89,"[271, 123, 84, 100]",0.18,0.0,0.03,0.12,0.32,0.01,0.34
90,"[268, 121, 81, 96]",0.28,0.0,0.03,0.12,0.38,0.06,0.12
91,"[261, 111, 81, 99]",0.15,0.0,0.03,0.18,0.34,0.06,0.23
92,"[284, 78, 83, 105]",0.13,0.0,0.51,0.01,0.17,0.02,0.16
93,"[289, 68, 81, 105]",0.1,0.0,0.22,0.0,0.34,0.0,0.33
94,"[304, 84, 79, 102]",0.16,0.0,0.25,0.01,0.2,0.1,0.28
95,"[311, 92, 78, 100]",0.24,0.0,0.01,0.04,0.11,0.01,0.59
96,"[303, 92, 79, 97]",0.18,0.0,0.01,0.02,0.09,0.02,0.68
97,"[294, 78, 77, 103]",0.21,0.0,0.15,0.01,0.28,0.03,0.33
98,"[276, 76, 79, 101]",0.17,0.0,0.16,0.0,0.1,0.35,0.22
99,"[262, 80, 81, 99]",0.05,0.0,0.32,0.01,0.17,0.09,0.36
100,"[260, 107, 86, 103]",0.28,0.0,0.01,0.16,0.19,0.03,0.32
101,"[254, 71, 83, 102]",0.24,0.0,0.11,0.0,0.26,0.1,0.27
102,"[261, 105, 83, 102]",0.51,0.0,0.0,0.05,0.17,0.01,0.26
103,"[265, 110, 76, 94]",0.29,0.01,0.02,0.15,0.25,0.03,0.24
104,"[293, 102, 80, 103]",0.22,0.0,0.01,0.48,0.05,0.03,0.21
105,"[272, 105, 82, 102]",0.13,0.0,0.01,0.39,0.14,0.03,0.3
106,"[279, 106, 78, 97]",0.13,0.0,0.01,0.43,0.1,0.02,0.31
107,"[293, 103, 81, 102]",0.09,0.0,0.0,0.41,0.05,0.01,0.44
108,"[257, 75, 84, 99]",0.08,0.0,0.2,0.0,0.31,0.03,0.38
109,"[260, 88, 84, 104]",0.23,0.0,0.06,0.03,0.28,0.06,0.34
110,"[310, 80, 83, 107]",0.12,0.0,0.16,0.01,0.31,0.01,0.4
111,"[255, 67, 83, 102]",0.35,0.0,0.09,0.0,0.28,0.02,0.25
112,"[261, 73, 83, 102]",0.15,0.0,0.09,0.01,0.32,0.02,0.4
113,"[277, 83, 82, 102]",0.11,0.0,0.01,0.02,0.16,0.0,0.7
114,"[273, 82, 81, 103]",0.19,0.0,0.01,0.12,0.16,0.0,0.52
115,"[271, 83, 82, 104]",0.21,0.0,0.01,0.18,0.12,0.0,0.48
116,"[262, 80, 86, 106]",0.17,0.0,0.02,0.05,0.24,0.02,0.49
117,"[273, 75, 84, 107]",0.16,0.0,0.09,0.0,0.21,0.03,0.52
118,"[276, 87, 82, 99]",0.06,0.0,0.01,0.51,0.06,0.03,0.33
119,"[282, 80, 81, 104]",0.35,0.0,0.07,0.01,0.26,0.02,0.28
120,"[279, 70, 84, 107]",0.25,0.0,0.03,0.03,0.09,0.11,0.5
121,"[277, 73, 89, 108]",0.17,0.0,0.0,0.27,0.03,0.0,0.53
122,"[281, 68, 83, 106]",0.3,0.0,0.02,0.07,0.04,0.28,0.29
123,"[283, 67, 82, 106]",0.17,0.0,0.11,0.02,0.13,0.09,0.48
124,"[278, 60, 80, 104]",0.17,0.0,0.2,0.0,0.17,0.06,0.41
125,"[280, 70, 81, 102]",0.62,0.01,0.04,0.02,0.12,0.03,0.15
126,"[269, 65, 90, 111]",0.14,0.0,0.03,0.01,0.25,0.01,0.57
127,"[281, 67, 81, 104]",0.15,0.0,0.13,0.01,0.19,0.01,0.51
128,"[280, 65, 85, 105]",0.14,0.0,0.05,0.02,0.1,0.16,0.53
129,"[278, 66, 83, 104]",0.17,0.0,0.03,0.0,0.12,0.13,0.54
130,"[271, 67, 81, 104]",0.11,0.0,0.06,0.0,0.15,0.16,0.52
131,"[301, 81, 79, 103]",0.11,0.0,0.01,0.05,0.17,0.02,0.64
132,"[270, 62, 82, 102]",0.06,0.0,0.16,0.0,0.22,0.02,0.53
133,"[269, 67, 81, 103]",0.17,0.0,0.09,0.0,0.23,0.08,0.43
134,"[284, 66, 88, 108]",0.14,0.0,0.05,0.0,0.34,0.01,0.46
135,"[300, 65, 86, 106]",0.08,0.0,0.01,0.01,0.14,0.0,0.77
136,"[271, 60, 85, 104]",0.29,0.0,0.07,0.0,0.29,0.08,0.25
137,"[289, 66, 81, 103]",0.36,0.0,0.17,0.0,0.1,0.24,0.13
138,"[266, 70, 84, 105]",0.27,0.0,0.08,0.01,0.16,0.04,0.43
139,"[292, 61, 85, 107]",0.19,0.0,0.08,0.01,0.22,0.01,0.5
140,"[280, 62, 82, 108]",0.21,0.0,0.11,0.0,0.15,0.2,0.32
141,"[270, 68, 84, 101]",0.2,0.0,0.08,0.01,0.13,0.07,0.51
142,"[293, 58, 81, 107]",0.22,0.0,0.05,0.0,0.14,0.08,0.51
143,"[298, 98, 78, 92]",0.18,0.0,0.04,0.16,0.14,0.01,0.47
144,"[282, 71, 84, 103]",0.11,0.0,0.02,0.02,0.08,0.04,0.72
145,"[269, 67, 82, 102]",0.08,0.0,0.08,0.0,0.24,0.15,0.45
146,"[281, 73, 79, 100]",0.18,0.0,0.13,0.0,0.2,0.04,0.46
147,"[291, 64, 85, 108]",0.34,0.0,0.02,0.02,0.04,0.05,0.53
148,"[306, 68, 82, 103]",0.17,0.0,0.05,0.01,0.24,0.08,0.45
149,"[263, 66, 85, 102]",0.07,0.0,0.11,0.0,0.08,0.06,0.69
150,"[268, 67, 82, 103]",0.08,0.0,0.03,0.0,0.08,0.02,0.79
151,"[265, 71, 83, 101]",0.08,0.0,0.16,0.0,0.07,0.06,0.63
152,"[279, 61, 89, 110]",0.18,0.0,0.03,0.01,0.17,0.04,0.57
153,"[277, 65, 81, 101]",0.06,0.0,0.03,0.0,0.07,0.01,0.82
154,"[268, 59, 84, 103]",0.07,0.0,0.11,0.01,0.29,0.0,0.51
155,"[278, 62, 84, 105]",0.13,0.0,0.05,0.0,0.34,0.01,0.46
156,"[275, 59, 81, 105]",0.15,0.0,0.12,0.0,0.34,0.06,0.33
157,"[262, 59, 83, 102]",0.17,0.0,0.16,0.02,0.19,0.03,0.42
158,"[267, 64, 81, 103]",0.26,0.0,0.08,0.0,0.22,0.02,0.42
159,"[274, 65, 84, 103]",0.22,0.0,0.06,0.01,0.32,0.01,0.38
160,"[266, 67, 86, 105]",0.12,0.0,0.05,0.01,0.12,0.01,0.69
161,"[276, 66, 83, 103]",0.37,0.01,0.16,0.0,0.21,0.11,0.15
162,"[282, 70, 82, 102]",0.37,0.0,0.05,0.01,0.2,0.03,0.34
