,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8,box9,angry9,disgust9,fear9,happy9,sad9,surprise9,neutral9,box10,angry10,disgust10,fear10,happy10,sad10,surprise10,neutral10,box11,angry11,disgust11,fear11,happy11,sad11,surprise11,neutral11,box12,angry12,disgust12,fear12,happy12,sad12,surprise12,neutral12,box13,angry13,disgust13,fear13,happy13,sad13,surprise13,neutral13,box14,angry14,disgust14,fear14,happy14,sad14,surprise14,neutral14
0,"[105, 74, 84, 113]",0.11,0.0,0.03,0.01,0.72,0.0,0.12,"[337, 86, 67, 88]",0.11,0.0,0.02,0.57,0.17,0.0,0.13,"[420, 203, 75, 95]",0.01,0.0,0.02,0.74,0.13,0.0,0.09,"[159, 195, 95, 121]",0.08,0.0,0.19,0.12,0.26,0.03,0.32,"[1007, 119, 90, 111]",0.29,0.0,0.09,0.04,0.37,0.0,0.21,"[900, 145, 76, 106]",0.25,0.0,0.02,0.23,0.14,0.0,0.36,"[636, 51, 67, 92]",0.13,0.0,0.04,0.5,0.19,0.02,0.12,"[582, 189, 68, 90]",0.02,0.0,0.01,0.9,0.03,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[95, 79, 86, 107]",0.35,0.0,0.04,0.01,0.44,0.0,0.15,"[157, 189, 98, 127]",0.07,0.0,0.1,0.07,0.35,0.0,0.41,"[433, 198, 69, 96]",0.02,0.0,0.04,0.46,0.34,0.01,0.14,"[472, 86, 80, 100]",0.06,0.0,0.01,0.56,0.12,0.0,0.25,"[903, 148, 74, 102]",0.25,0.0,0.02,0.15,0.11,0.0,0.46,"[984, 114, 91, 109]",0.11,0.0,0.1,0.06,0.62,0.0,0.1,"[581, 183, 71, 97]",0.01,0.0,0.0,0.93,0.02,0.0,0.03,"[336, 82, 66, 91]",0.21,0.0,0.03,0.32,0.38,0.0,0.07,"[635, 47, 68, 93]",0.1,0.0,0.03,0.21,0.49,0.02,0.14,"[793, 249, 77, 92]",0.51,0.0,0.07,0.05,0.33,0.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[157, 190, 95, 123]",0.07,0.0,0.15,0.09,0.23,0.0,0.45,"[107, 77, 86, 111]",0.18,0.0,0.08,0.03,0.56,0.01,0.15,"[328, 81, 69, 96]",0.04,0.0,0.01,0.57,0.24,0.0,0.14,"[477, 93, 74, 92]",0.26,0.0,0.09,0.35,0.18,0.0,0.11,"[979, 116, 88, 105]",0.13,0.0,0.08,0.04,0.62,0.0,0.13,"[636, 45, 67, 91]",0.09,0.0,0.03,0.16,0.62,0.01,0.09,"[910, 150, 68, 94]",0.18,0.0,0.02,0.33,0.12,0.0,0.34,"[580, 180, 72, 99]",0.01,0.0,0.0,0.92,0.02,0.01,0.04,"[447, 190, 73, 105]",0.06,0.0,0.03,0.64,0.2,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[166, 185, 94, 124]",0.15,0.0,0.19,0.01,0.38,0.0,0.28,"[115, 76, 85, 108]",0.24,0.0,0.02,0.05,0.49,0.0,0.19,"[592, 185, 75, 100]",0.01,0.0,0.0,0.94,0.01,0.0,0.03,"[327, 80, 72, 93]",0.02,0.0,0.0,0.8,0.13,0.01,0.05,"[910, 148, 70, 97]",0.25,0.0,0.01,0.19,0.15,0.0,0.4,"[485, 84, 73, 92]",0.2,0.0,0.02,0.09,0.32,0.0,0.37,"[635, 43, 67, 94]",0.08,0.0,0.04,0.22,0.57,0.01,0.08,"[981, 116, 88, 105]",0.1,0.0,0.08,0.04,0.65,0.0,0.12,"[779, 310, 75, 87]",0.07,0.0,0.17,0.02,0.51,0.01,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[180, 179, 97, 131]",0.21,0.0,0.09,0.0,0.6,0.0,0.09,"[609, 186, 74, 97]",0.0,0.0,0.0,0.96,0.01,0.0,0.02,"[122, 76, 83, 109]",0.11,0.0,0.04,0.03,0.75,0.0,0.07,"[900, 143, 73, 98]",0.11,0.0,0.01,0.38,0.1,0.0,0.39,"[498, 81, 71, 94]",0.05,0.0,0.02,0.27,0.6,0.0,0.07,"[636, 42, 67, 94]",0.06,0.0,0.05,0.12,0.7,0.01,0.06,"[320, 82, 65, 87]",0.04,0.0,0.01,0.75,0.15,0.0,0.05,"[982, 116, 87, 103]",0.09,0.0,0.09,0.04,0.64,0.0,0.13,"[433, 202, 74, 98]",0.04,0.0,0.13,0.11,0.55,0.0,0.16,"[748, 185, 69, 89]",0.06,0.0,0.06,0.04,0.41,0.02,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[192, 183, 91, 128]",0.12,0.0,0.09,0.0,0.47,0.0,0.31,"[599, 181, 74, 95]",0.01,0.0,0.0,0.97,0.0,0.0,0.01,"[507, 84, 73, 97]",0.13,0.0,0.02,0.11,0.58,0.01,0.16,"[110, 64, 85, 117]",0.12,0.0,0.03,0.0,0.77,0.0,0.07,"[896, 144, 74, 101]",0.21,0.0,0.02,0.26,0.13,0.0,0.37,"[317, 82, 69, 91]",0.04,0.0,0.01,0.8,0.1,0.0,0.05,"[638, 43, 66, 94]",0.11,0.0,0.05,0.19,0.58,0.01,0.05,"[979, 112, 92, 107]",0.08,0.0,0.11,0.03,0.68,0.0,0.1,"[745, 270, 72, 96]",0.28,0.01,0.19,0.08,0.21,0.03,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[198, 190, 90, 121]",0.05,0.0,0.07,0.0,0.75,0.0,0.12,"[598, 176, 73, 99]",0.02,0.0,0.0,0.89,0.02,0.0,0.06,"[109, 63, 85, 119]",0.14,0.0,0.03,0.01,0.75,0.0,0.07,"[511, 88, 73, 96]",0.14,0.0,0.02,0.06,0.49,0.0,0.3,"[994, 117, 86, 105]",0.29,0.0,0.07,0.05,0.55,0.0,0.04,"[636, 43, 67, 95]",0.09,0.0,0.05,0.38,0.39,0.01,0.08,"[879, 149, 74, 102]",0.1,0.0,0.04,0.61,0.08,0.03,0.15,"[317, 79, 71, 95]",0.06,0.0,0.01,0.55,0.29,0.01,0.08,"[849, 307, 61, 77]",0.19,0.0,0.07,0.03,0.63,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[198, 189, 91, 122]",0.05,0.0,0.08,0.0,0.76,0.0,0.11,"[107, 62, 87, 120]",0.18,0.0,0.02,0.01,0.72,0.0,0.07,"[566, 171, 77, 94]",0.04,0.0,0.03,0.52,0.22,0.01,0.19,"[886, 146, 74, 101]",0.22,0.01,0.02,0.36,0.15,0.01,0.23,"[637, 42, 67, 95]",0.1,0.0,0.06,0.25,0.5,0.01,0.07,"[318, 77, 72, 97]",0.07,0.0,0.01,0.51,0.35,0.0,0.06,"[433, 217, 71, 91]",0.38,0.0,0.15,0.09,0.25,0.0,0.12,"[1040, 128, 71, 98]",0.41,0.01,0.12,0.16,0.16,0.02,0.13,"[746, 182, 71, 91]",0.19,0.0,0.08,0.14,0.3,0.03,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[196, 188, 91, 119]",0.05,0.0,0.06,0.0,0.82,0.0,0.06,"[108, 62, 86, 121]",0.14,0.0,0.03,0.01,0.77,0.0,0.05,"[889, 144, 73, 100]",0.19,0.0,0.03,0.36,0.12,0.01,0.3,"[553, 180, 78, 92]",0.18,0.01,0.13,0.07,0.43,0.02,0.16,"[638, 42, 65, 94]",0.15,0.0,0.05,0.28,0.43,0.02,0.06,"[318, 77, 74, 100]",0.03,0.0,0.01,0.66,0.2,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[116, 71, 82, 107]",0.15,0.0,0.01,0.01,0.77,0.0,0.05,"[188, 181, 97, 127]",0.07,0.0,0.05,0.0,0.67,0.0,0.21,"[329, 78, 70, 92]",0.04,0.0,0.01,0.67,0.21,0.0,0.07,"[638, 41, 68, 91]",0.13,0.0,0.05,0.2,0.54,0.02,0.07,"[884, 143, 76, 104]",0.23,0.0,0.03,0.26,0.15,0.01,0.33,"[553, 181, 78, 95]",0.25,0.01,0.09,0.2,0.34,0.01,0.1,"[1036, 124, 73, 104]",0.32,0.0,0.13,0.24,0.22,0.01,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"[194, 185, 91, 121]",0.05,0.0,0.07,0.0,0.78,0.0,0.09,"[116, 68, 81, 110]",0.12,0.0,0.02,0.0,0.82,0.0,0.03,"[327, 79, 69, 93]",0.03,0.0,0.02,0.57,0.3,0.0,0.07,"[635, 40, 68, 94]",0.07,0.0,0.05,0.38,0.38,0.01,0.11,"[889, 144, 72, 99]",0.24,0.0,0.03,0.38,0.12,0.01,0.21,"[431, 217, 68, 85]",0.06,0.0,0.04,0.6,0.19,0.02,0.1,"[1023, 118, 82, 114]",0.22,0.0,0.1,0.21,0.37,0.01,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"[191, 182, 90, 125]",0.1,0.0,0.07,0.0,0.72,0.0,0.11,"[326, 78, 70, 95]",0.07,0.0,0.02,0.43,0.41,0.0,0.07,"[110, 63, 86, 119]",0.22,0.0,0.03,0.01,0.67,0.0,0.07,"[636, 41, 67, 93]",0.09,0.0,0.05,0.35,0.4,0.02,0.09,"[568, 188, 72, 86]",0.25,0.0,0.05,0.07,0.34,0.02,0.26,"[889, 144, 73, 100]",0.23,0.0,0.03,0.31,0.15,0.01,0.26,"[421, 211, 68, 91]",0.07,0.0,0.06,0.17,0.09,0.01,0.61,"[1033, 123, 73, 102]",0.38,0.0,0.2,0.16,0.18,0.01,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"[193, 185, 93, 125]",0.09,0.0,0.1,0.0,0.72,0.0,0.09,"[108, 64, 87, 120]",0.12,0.0,0.03,0.01,0.73,0.0,0.1,"[890, 144, 73, 100]",0.2,0.0,0.03,0.4,0.12,0.01,0.24,"[564, 184, 75, 94]",0.3,0.0,0.05,0.05,0.36,0.02,0.23,"[322, 78, 73, 99]",0.2,0.0,0.04,0.11,0.53,0.01,0.11,"[637, 48, 66, 89]",0.24,0.0,0.07,0.24,0.37,0.03,0.06,"[1034, 123, 72, 102]",0.39,0.0,0.15,0.23,0.16,0.01,0.06,"[738, 168, 82, 111]",0.14,0.0,0.02,0.04,0.44,0.0,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"[193, 186, 93, 124]",0.09,0.0,0.12,0.0,0.69,0.0,0.09,"[121, 71, 80, 108]",0.17,0.0,0.02,0.01,0.73,0.0,0.06,"[323, 79, 69, 98]",0.16,0.0,0.03,0.27,0.43,0.0,0.11,"[883, 139, 80, 111]",0.12,0.0,0.01,0.5,0.06,0.0,0.31,"[632, 43, 71, 97]",0.1,0.0,0.04,0.28,0.42,0.02,0.15,"[1035, 124, 71, 99]",0.4,0.0,0.16,0.2,0.14,0.01,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"[597, 407, 20, 24]",0.86,0.0,0.01,0.01,0.04,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"[585, 408, 17, 24]",0.27,0.0,0.04,0.22,0.24,0.0,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"[584, 409, 17, 22]",0.13,0.0,0.03,0.59,0.13,0.0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"[584, 409, 17, 23]",0.28,0.0,0.08,0.22,0.27,0.01,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"[582, 410, 16, 22]",0.21,0.0,0.02,0.48,0.21,0.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"[583, 410, 16, 21]",0.27,0.0,0.02,0.44,0.2,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"[588, 407, 17, 22]",0.48,0.0,0.03,0.19,0.18,0.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"[590, 408, 16, 21]",0.34,0.0,0.03,0.29,0.19,0.0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"[596, 410, 18, 23]",0.16,0.0,0.02,0.0,0.77,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"[598, 410, 18, 22]",0.66,0.0,0.02,0.01,0.22,0.0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"[597, 405, 20, 23]",0.56,0.0,0.09,0.28,0.05,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"[599, 406, 17, 23]",0.56,0.0,0.05,0.17,0.15,0.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"[599, 407, 17, 23]",0.45,0.0,0.04,0.2,0.14,0.0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
