,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4
0,"[774, 239, 15, 19]",0.03,0.0,0.07,0.09,0.41,0.22,0.18,"[168, 192, 16, 21]",0.27,0.0,0.3,0.02,0.37,0.02,0.02,"[601, 250, 15, 20]",0.24,0.03,0.48,0.03,0.2,0.01,0.01,,,,,,,,,,,,,,,,
1,"[166, 193, 17, 21]",0.21,0.01,0.21,0.03,0.5,0.02,0.02,"[611, 242, 14, 20]",0.25,0.0,0.49,0.06,0.09,0.06,0.05,"[365, 250, 13, 18]",0.32,0.0,0.22,0.03,0.41,0.01,0.01,"[486, 238, 15, 21]",0.17,0.0,0.07,0.09,0.59,0.01,0.08,"[773, 243, 14, 18]",0.16,0.0,0.18,0.02,0.61,0.02,0.01
2,"[564, 187, 125, 150]",0.07,0.0,0.0,0.0,0.03,0.0,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[567, 190, 124, 152]",0.12,0.0,0.01,0.01,0.05,0.0,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[569, 191, 124, 149]",0.19,0.0,0.02,0.0,0.06,0.0,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[594, 193, 119, 149]",0.04,0.0,0.03,0.04,0.04,0.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[589, 200, 118, 147]",0.02,0.0,0.01,0.03,0.05,0.0,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[581, 194, 122, 150]",0.05,0.0,0.01,0.01,0.02,0.0,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[591, 203, 119, 146]",0.06,0.0,0.03,0.01,0.07,0.0,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[601, 185, 120, 149]",0.1,0.0,0.09,0.0,0.15,0.0,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"[595, 185, 120, 146]",0.08,0.0,0.09,0.02,0.13,0.0,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"[607, 181, 121, 155]",0.23,0.0,0.13,0.01,0.09,0.01,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"[602, 186, 119, 146]",0.17,0.0,0.09,0.0,0.07,0.01,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"[576, 178, 124, 153]",0.04,0.0,0.01,0.03,0.01,0.0,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"[573, 198, 119, 147]",0.05,0.0,0.01,0.01,0.03,0.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"[590, 202, 119, 147]",0.07,0.0,0.04,0.03,0.06,0.01,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"[593, 200, 117, 149]",0.15,0.0,0.11,0.01,0.09,0.05,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"[594, 194, 121, 148]",0.08,0.0,0.09,0.04,0.08,0.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"[595, 204, 120, 149]",0.19,0.0,0.04,0.0,0.17,0.01,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"[590, 200, 117, 150]",0.04,0.0,0.02,0.02,0.07,0.0,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"[559, 182, 123, 150]",0.4,0.0,0.03,0.01,0.08,0.0,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"[574, 194, 118, 147]",0.05,0.0,0.04,0.0,0.04,0.01,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"[577, 192, 119, 146]",0.09,0.0,0.02,0.01,0.06,0.0,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"[591, 191, 119, 147]",0.05,0.0,0.05,0.03,0.09,0.0,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"[600, 196, 117, 144]",0.05,0.0,0.01,0.01,0.06,0.0,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
