,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1
0,"[467, 144, 339, 378]",0.02,0.0,0.37,0.17,0.32,0.03,0.08,,,,,,,,
1,"[400, 150, 219, 298]",0.08,0.0,0.04,0.02,0.2,0.0,0.66,,,,,,,,
2,"[398, 124, 225, 297]",0.04,0.0,0.01,0.02,0.02,0.0,0.91,,,,,,,,
3,"[398, 129, 221, 296]",0.02,0.0,0.01,0.32,0.02,0.02,0.61,,,,,,,,
4,"[396, 152, 224, 301]",0.12,0.0,0.07,0.05,0.6,0.0,0.15,,,,,,,,
5,"[411, 142, 209, 282]",0.1,0.0,0.06,0.02,0.22,0.0,0.59,,,,,,,,
6,"[406, 142, 222, 301]",0.26,0.0,0.1,0.01,0.4,0.01,0.22,,,,,,,,
7,"[420, 132, 213, 288]",0.12,0.0,0.1,0.0,0.76,0.0,0.01,,,,,,,,
8,"[405, 145, 217, 288]",0.35,0.0,0.2,0.01,0.29,0.0,0.14,"[529, 518, 20, 25]",0.38,0.0,0.04,0.18,0.15,0.0,0.26
9,"[409, 150, 217, 293]",0.23,0.0,0.11,0.03,0.22,0.0,0.41,,,,,,,,
10,"[408, 120, 224, 309]",0.42,0.0,0.38,0.01,0.18,0.0,0.01,,,,,,,,
11,"[402, 135, 225, 305]",0.47,0.0,0.28,0.01,0.24,0.0,0.0,,,,,,,,
12,"[413, 124, 215, 300]",0.31,0.0,0.15,0.01,0.31,0.0,0.22,,,,,,,,
13,"[405, 117, 224, 315]",0.29,0.0,0.45,0.02,0.22,0.0,0.01,,,,,,,,
14,"[406, 129, 220, 303]",0.22,0.0,0.1,0.01,0.47,0.0,0.19,,,,,,,,
15,"[412, 131, 220, 296]",0.22,0.0,0.14,0.0,0.33,0.0,0.31,,,,,,,,
16,"[406, 167, 221, 306]",0.35,0.0,0.05,0.01,0.36,0.0,0.23,,,,,,,,
17,"[405, 132, 220, 303]",0.14,0.0,0.13,0.0,0.32,0.0,0.4,,,,,,,,
18,"[416, 156, 224, 306]",0.38,0.01,0.16,0.0,0.26,0.0,0.19,,,,,,,,
19,"[412, 148, 219, 296]",0.1,0.0,0.05,0.02,0.09,0.0,0.75,,,,,,,,
20,"[405, 124, 227, 308]",0.27,0.0,0.31,0.0,0.39,0.0,0.03,,,,,,,,
21,"[403, 160, 210, 278]",0.12,0.0,0.08,0.01,0.17,0.0,0.62,,,,,,,,
22,"[402, 140, 221, 296]",0.09,0.0,0.04,0.01,0.08,0.0,0.78,,,,,,,,
23,"[390, 154, 222, 295]",0.03,0.0,0.01,0.0,0.04,0.0,0.92,,,,,,,,
24,"[397, 140, 222, 291]",0.06,0.0,0.01,0.01,0.06,0.0,0.85,,,,,,,,
25,"[408, 152, 220, 291]",0.23,0.0,0.25,0.01,0.36,0.0,0.14,,,,,,,,
26,"[403, 144, 219, 300]",0.26,0.01,0.19,0.0,0.51,0.0,0.02,,,,,,,,
27,"[407, 129, 222, 319]",0.12,0.0,0.14,0.01,0.67,0.0,0.06,,,,,,,,
28,"[406, 143, 217, 287]",0.3,0.0,0.18,0.0,0.33,0.0,0.19,,,,,,,,
29,"[406, 129, 223, 300]",0.42,0.0,0.23,0.0,0.31,0.0,0.04,,,,,,,,
30,"[402, 140, 220, 293]",0.4,0.02,0.26,0.01,0.23,0.01,0.07,,,,,,,,
31,"[414, 139, 213, 286]",0.36,0.02,0.2,0.0,0.27,0.0,0.14,,,,,,,,
32,"[406, 147, 218, 287]",0.23,0.0,0.12,0.02,0.31,0.0,0.33,,,,,,,,
33,"[416, 148, 211, 288]",0.26,0.0,0.17,0.0,0.44,0.0,0.12,,,,,,,,
34,"[408, 147, 216, 284]",0.33,0.0,0.14,0.05,0.43,0.0,0.05,,,,,,,,
35,"[400, 140, 219, 297]",0.01,0.0,0.01,0.85,0.03,0.0,0.09,,,,,,,,
36,"[405, 129, 216, 299]",0.04,0.0,0.01,0.18,0.15,0.0,0.61,,,,,,,,
37,"[415, 134, 213, 280]",0.38,0.0,0.06,0.06,0.3,0.0,0.19,,,,,,,,
38,"[413, 152, 216, 294]",0.18,0.0,0.06,0.02,0.1,0.0,0.64,,,,,,,,
39,"[402, 133, 216, 300]",0.37,0.0,0.31,0.0,0.28,0.0,0.04,,,,,,,,
40,"[407, 158, 216, 291]",0.18,0.0,0.04,0.01,0.21,0.0,0.57,,,,,,,,
41,"[417, 144, 216, 292]",0.2,0.0,0.16,0.01,0.25,0.0,0.38,,,,,,,,
42,"[413, 127, 214, 290]",0.09,0.0,0.04,0.01,0.07,0.0,0.79,,,,,,,,
43,"[416, 140, 216, 289]",0.14,0.0,0.17,0.0,0.27,0.0,0.42,,,,,,,,
44,"[412, 169, 219, 299]",0.3,0.0,0.16,0.0,0.26,0.0,0.28,,,,,,,,
45,"[412, 152, 214, 289]",0.2,0.0,0.14,0.0,0.29,0.0,0.37,,,,,,,,
46,"[411, 146, 215, 295]",0.21,0.0,0.11,0.0,0.36,0.0,0.32,,,,,,,,
47,"[398, 122, 225, 310]",0.39,0.0,0.15,0.01,0.16,0.01,0.29,,,,,,,,
48,"[414, 142, 215, 285]",0.2,0.0,0.15,0.0,0.24,0.0,0.42,,,,,,,,
49,"[417, 144, 217, 288]",0.17,0.0,0.11,0.0,0.29,0.0,0.44,,,,,,,,
50,"[414, 147, 211, 285]",0.33,0.0,0.09,0.0,0.19,0.0,0.38,,,,,,,,
51,"[416, 140, 219, 298]",0.43,0.0,0.19,0.01,0.21,0.03,0.14,,,,,,,,
52,"[415, 166, 217, 298]",0.38,0.0,0.11,0.04,0.23,0.01,0.24,,,,,,,,
53,"[406, 149, 218, 291]",0.1,0.0,0.07,0.01,0.32,0.0,0.5,,,,,,,,
54,"[416, 168, 214, 295]",0.21,0.0,0.06,0.11,0.18,0.01,0.43,,,,,,,,
55,"[410, 151, 207, 275]",0.39,0.0,0.15,0.0,0.26,0.0,0.18,,,,,,,,
56,"[416, 139, 220, 296]",0.3,0.0,0.35,0.01,0.24,0.01,0.1,,,,,,,,
