,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2
0,"[674, 121, 74, 104]",0.26,0.0,0.04,0.06,0.46,0.0,0.18,,,,,,,,,,,,,,,,
1,"[679, 125, 74, 102]",0.09,0.0,0.07,0.0,0.69,0.0,0.15,,,,,,,,,,,,,,,,
2,"[707, 118, 80, 106]",0.24,0.0,0.28,0.0,0.41,0.01,0.05,"[459, 127, 134, 164]",0.03,0.0,0.02,0.32,0.38,0.0,0.25,,,,,,,,
3,"[684, 116, 76, 103]",0.19,0.0,0.09,0.01,0.41,0.0,0.29,,,,,,,,,,,,,,,,
4,"[691, 118, 78, 105]",0.13,0.0,0.07,0.01,0.46,0.01,0.32,"[459, 126, 135, 163]",0.04,0.0,0.03,0.33,0.44,0.0,0.17,,,,,,,,
5,"[680, 117, 78, 104]",0.1,0.0,0.16,0.01,0.53,0.01,0.2,"[462, 128, 134, 164]",0.02,0.0,0.02,0.27,0.43,0.0,0.26,,,,,,,,
6,"[697, 118, 82, 105]",0.07,0.0,0.17,0.02,0.47,0.01,0.27,,,,,,,,,,,,,,,,
7,"[680, 130, 79, 106]",0.29,0.0,0.09,0.02,0.46,0.01,0.13,"[461, 129, 134, 164]",0.02,0.0,0.02,0.25,0.51,0.0,0.2,,,,,,,,
8,"[708, 132, 75, 97]",0.25,0.0,0.15,0.02,0.45,0.01,0.12,,,,,,,,,,,,,,,,
9,"[705, 150, 78, 96]",0.03,0.0,0.02,0.0,0.93,0.0,0.02,,,,,,,,,,,,,,,,
10,"[679, 132, 79, 109]",0.17,0.0,0.31,0.06,0.36,0.03,0.08,"[458, 129, 135, 171]",0.03,0.0,0.04,0.27,0.51,0.0,0.15,,,,,,,,
11,"[709, 151, 81, 101]",0.02,0.0,0.02,0.0,0.92,0.0,0.03,"[463, 129, 133, 160]",0.04,0.0,0.03,0.17,0.6,0.0,0.17,,,,,,,,
12,"[683, 141, 82, 103]",0.15,0.0,0.02,0.03,0.39,0.01,0.4,,,,,,,,,,,,,,,,
13,"[696, 135, 80, 107]",0.35,0.0,0.1,0.45,0.04,0.06,0.01,"[460, 128, 135, 164]",0.04,0.0,0.03,0.14,0.48,0.0,0.31,,,,,,,,
14,"[690, 137, 81, 108]",0.79,0.01,0.04,0.07,0.06,0.01,0.01,"[458, 129, 135, 170]",0.03,0.0,0.02,0.48,0.33,0.0,0.14,,,,,,,,
15,"[682, 129, 83, 109]",0.3,0.01,0.07,0.01,0.5,0.01,0.1,"[459, 129, 136, 167]",0.03,0.0,0.02,0.3,0.4,0.0,0.25,,,,,,,,
16,"[689, 122, 80, 103]",0.13,0.0,0.14,0.01,0.23,0.01,0.48,"[460, 127, 135, 165]",0.03,0.0,0.03,0.26,0.41,0.0,0.28,,,,,,,,
17,"[695, 132, 81, 106]",0.33,0.0,0.37,0.01,0.23,0.02,0.04,"[460, 128, 135, 164]",0.04,0.0,0.03,0.21,0.44,0.0,0.28,,,,,,,,
18,"[682, 126, 82, 106]",0.23,0.0,0.02,0.1,0.48,0.01,0.17,"[461, 130, 136, 166]",0.04,0.0,0.01,0.26,0.37,0.0,0.32,,,,,,,,
19,"[694, 127, 80, 102]",0.15,0.0,0.01,0.01,0.44,0.0,0.39,"[461, 128, 136, 162]",0.03,0.0,0.03,0.36,0.44,0.0,0.14,,,,,,,,
20,"[679, 133, 77, 106]",0.46,0.0,0.02,0.34,0.09,0.0,0.09,,,,,,,,,,,,,,,,
21,"[715, 143, 79, 103]",0.19,0.02,0.11,0.24,0.34,0.04,0.06,,,,,,,,,,,,,,,,
22,"[699, 139, 83, 105]",0.07,0.0,0.03,0.77,0.05,0.02,0.05,,,,,,,,,,,,,,,,
23,"[686, 142, 79, 103]",0.44,0.01,0.01,0.06,0.35,0.0,0.12,,,,,,,,,,,,,,,,
24,"[688, 134, 81, 101]",0.19,0.0,0.05,0.03,0.09,0.01,0.63,"[460, 128, 134, 163]",0.03,0.0,0.04,0.22,0.54,0.0,0.17,,,,,,,,
25,"[701, 123, 82, 109]",0.3,0.0,0.15,0.04,0.21,0.1,0.19,,,,,,,,,,,,,,,,
26,"[678, 128, 78, 109]",0.54,0.0,0.11,0.08,0.23,0.01,0.03,"[461, 129, 136, 164]",0.03,0.0,0.02,0.2,0.46,0.0,0.29,,,,,,,,
27,"[682, 125, 76, 104]",0.11,0.0,0.08,0.01,0.64,0.02,0.13,"[460, 128, 136, 165]",0.03,0.0,0.02,0.26,0.46,0.0,0.23,,,,,,,,
28,"[677, 135, 75, 102]",0.39,0.0,0.06,0.27,0.19,0.0,0.09,,,,,,,,,,,,,,,,
29,"[697, 124, 82, 109]",0.01,0.0,0.01,0.67,0.07,0.01,0.23,"[459, 125, 137, 164]",0.02,0.0,0.01,0.74,0.17,0.0,0.06,,,,,,,,
30,"[705, 139, 85, 112]",0.24,0.01,0.22,0.12,0.26,0.02,0.13,,,,,,,,,,,,,,,,
