,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0
0,"[232, 65, 105, 132]",0.01,0.0,0.0,0.84,0.01,0.0,0.14
1,"[232, 54, 106, 135]",0.06,0.0,0.01,0.46,0.39,0.01,0.07
2,"[223, 58, 105, 137]",0.19,0.0,0.01,0.22,0.45,0.0,0.12
3,"[221, 71, 107, 141]",0.24,0.0,0.03,0.19,0.49,0.0,0.04
4,"[226, 62, 104, 138]",0.07,0.0,0.01,0.62,0.19,0.01,0.1
5,"[223, 65, 108, 139]",0.3,0.01,0.02,0.2,0.41,0.0,0.05
6,"[229, 62, 107, 143]",0.06,0.0,0.02,0.72,0.1,0.05,0.06
7,"[233, 65, 103, 134]",0.36,0.0,0.03,0.15,0.35,0.01,0.1
8,"[229, 77, 103, 131]",0.01,0.0,0.01,0.82,0.01,0.01,0.15
9,"[223, 67, 106, 139]",0.07,0.0,0.03,0.43,0.25,0.01,0.21
10,"[228, 65, 101, 133]",0.19,0.01,0.03,0.26,0.36,0.0,0.15
11,"[227, 66, 101, 134]",0.22,0.01,0.03,0.14,0.44,0.01,0.17
12,"[226, 73, 101, 132]",0.19,0.0,0.05,0.17,0.46,0.01,0.11
13,"[223, 67, 105, 137]",0.26,0.0,0.03,0.04,0.62,0.0,0.04
14,"[216, 70, 107, 138]",0.23,0.01,0.09,0.01,0.58,0.01,0.08
15,"[213, 71, 111, 137]",0.17,0.0,0.03,0.1,0.38,0.0,0.32
16,"[216, 70, 106, 138]",0.39,0.0,0.04,0.03,0.46,0.01,0.07
17,"[216, 69, 109, 138]",0.23,0.0,0.08,0.06,0.44,0.0,0.18
18,"[217, 72, 106, 138]",0.17,0.0,0.04,0.04,0.68,0.0,0.07
19,"[218, 75, 105, 135]",0.19,0.0,0.03,0.07,0.2,0.0,0.5
20,"[228, 75, 104, 141]",0.32,0.0,0.05,0.36,0.23,0.03,0.01
21,"[225, 77, 102, 127]",0.11,0.0,0.01,0.07,0.77,0.0,0.04
22,"[224, 72, 99, 133]",0.24,0.0,0.11,0.22,0.1,0.12,0.2
23,"[215, 70, 109, 133]",0.55,0.0,0.03,0.12,0.28,0.0,0.02
24,"[212, 76, 105, 131]",0.38,0.0,0.04,0.01,0.4,0.0,0.17
25,"[212, 76, 101, 134]",0.23,0.0,0.07,0.11,0.33,0.0,0.26
26,"[216, 72, 106, 142]",0.18,0.0,0.09,0.05,0.58,0.01,0.09
27,"[217, 68, 107, 140]",0.27,0.0,0.01,0.05,0.67,0.0,0.0
28,"[223, 67, 104, 131]",0.09,0.0,0.04,0.31,0.43,0.01,0.12
29,"[217, 66, 106, 139]",0.1,0.0,0.04,0.32,0.51,0.0,0.03
30,"[216, 64, 104, 130]",0.26,0.0,0.07,0.09,0.18,0.01,0.39
31,"[213, 66, 106, 140]",0.08,0.0,0.06,0.02,0.8,0.0,0.04
