,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2
0,"[587, 128, 140, 172]",0.11,0.0,0.01,0.0,0.31,0.0,0.56,"[1152, 490, 28, 38]",0.15,0.0,0.39,0.02,0.18,0.07,0.19,,,,,,,,
1,"[583, 125, 139, 174]",0.09,0.0,0.01,0.01,0.18,0.0,0.71,"[1151, 484, 30, 38]",0.08,0.0,0.21,0.16,0.17,0.04,0.34,,,,,,,,
2,"[580, 123, 140, 175]",0.07,0.0,0.05,0.0,0.63,0.0,0.25,"[1149, 485, 28, 34]",0.18,0.0,0.38,0.03,0.14,0.08,0.19,,,,,,,,
3,"[603, 144, 136, 172]",0.5,0.0,0.04,0.12,0.09,0.01,0.24,"[1144, 488, 30, 39]",0.03,0.0,0.08,0.32,0.1,0.02,0.45,,,,,,,,
4,"[547, 127, 135, 166]",0.31,0.0,0.1,0.12,0.17,0.01,0.29,"[1149, 485, 29, 39]",0.04,0.0,0.19,0.01,0.05,0.68,0.02,,,,,,,,
5,"[582, 140, 138, 173]",0.12,0.0,0.11,0.18,0.5,0.01,0.09,"[1145, 486, 30, 37]",0.03,0.0,0.23,0.18,0.33,0.0,0.23,,,,,,,,
6,"[1164, 490, 29, 37]",0.1,0.0,0.07,0.71,0.01,0.1,0.01,,,,,,,,,,,,,,,,
7,"[589, 123, 142, 178]",0.02,0.0,0.0,0.01,0.03,0.0,0.93,"[1159, 486, 29, 39]",0.08,0.0,0.17,0.18,0.2,0.13,0.24,,,,,,,,
8,"[587, 123, 139, 175]",0.06,0.0,0.04,0.02,0.84,0.01,0.03,"[1151, 484, 29, 36]",0.04,0.0,0.24,0.13,0.41,0.04,0.13,,,,,,,,
9,"[570, 128, 138, 170]",0.18,0.0,0.1,0.06,0.4,0.0,0.26,"[1149, 487, 29, 36]",0.04,0.0,0.05,0.72,0.08,0.01,0.1,,,,,,,,
10,"[1151, 485, 30, 39]",0.16,0.0,0.13,0.1,0.2,0.08,0.33,,,,,,,,,,,,,,,,
11,"[586, 124, 138, 171]",0.12,0.0,0.02,0.01,0.34,0.0,0.51,"[1157, 488, 28, 37]",0.22,0.0,0.16,0.0,0.37,0.01,0.23,,,,,,,,
12,"[585, 122, 141, 179]",0.18,0.0,0.12,0.01,0.51,0.0,0.17,"[1153, 490, 29, 38]",0.14,0.0,0.06,0.01,0.38,0.04,0.38,,,,,,,,
13,"[600, 113, 136, 170]",0.06,0.0,0.02,0.63,0.11,0.0,0.18,"[1151, 482, 29, 36]",0.16,0.0,0.48,0.04,0.07,0.1,0.15,,,,,,,,
14,"[581, 140, 137, 169]",0.23,0.0,0.16,0.03,0.23,0.02,0.33,"[1152, 484, 28, 35]",0.01,0.0,0.03,0.85,0.03,0.0,0.07,,,,,,,,
15,"[560, 131, 142, 173]",0.39,0.0,0.18,0.02,0.3,0.05,0.06,"[1146, 484, 28, 34]",0.07,0.0,0.21,0.13,0.28,0.03,0.27,,,,,,,,
16,"[1151, 486, 28, 38]",0.1,0.0,0.16,0.07,0.34,0.07,0.26,,,,,,,,,,,,,,,,
17,"[582, 125, 140, 174]",0.06,0.0,0.04,0.03,0.6,0.0,0.28,"[1157, 489, 27, 37]",0.13,0.0,0.15,0.01,0.5,0.01,0.19,,,,,,,,
18,"[589, 130, 136, 173]",0.11,0.0,0.05,0.0,0.64,0.0,0.19,"[1155, 489, 30, 40]",0.01,0.0,0.05,0.03,0.01,0.9,0.0,,,,,,,,
19,"[1152, 486, 29, 38]",0.05,0.0,0.23,0.0,0.03,0.66,0.03,,,,,,,,,,,,,,,,
20,"[590, 120, 140, 178]",0.06,0.0,0.01,0.09,0.56,0.0,0.29,"[1150, 484, 30, 39]",0.04,0.0,0.12,0.42,0.11,0.23,0.07,,,,,,,,
21,"[563, 138, 134, 166]",0.06,0.0,0.03,0.87,0.02,0.0,0.02,"[1154, 487, 29, 37]",0.1,0.0,0.15,0.03,0.29,0.03,0.4,,,,,,,,
22,"[600, 126, 142, 173]",0.14,0.0,0.05,0.02,0.26,0.0,0.54,"[1152, 488, 30, 38]",0.13,0.0,0.17,0.11,0.29,0.02,0.27,,,,,,,,
23,"[590, 110, 143, 176]",0.08,0.0,0.07,0.04,0.46,0.0,0.34,"[1154, 485, 29, 39]",0.15,0.0,0.27,0.09,0.15,0.11,0.23,,,,,,,,
24,"[594, 129, 134, 164]",0.11,0.0,0.06,0.01,0.66,0.0,0.16,"[1155, 485, 26, 32]",0.22,0.0,0.06,0.53,0.06,0.01,0.11,,,,,,,,
25,"[589, 106, 140, 174]",0.03,0.0,0.01,0.84,0.05,0.0,0.08,"[1149, 488, 29, 37]",0.24,0.0,0.28,0.04,0.21,0.07,0.17,,,,,,,,
26,"[596, 123, 136, 168]",0.1,0.0,0.03,0.07,0.4,0.0,0.4,"[1153, 487, 28, 39]",0.04,0.0,0.14,0.03,0.25,0.04,0.5,,,,,,,,
27,"[1148, 491, 27, 37]",0.08,0.0,0.24,0.29,0.1,0.01,0.27,,,,,,,,,,,,,,,,
28,"[1152, 488, 28, 36]",0.05,0.0,0.07,0.64,0.11,0.01,0.12,,,,,,,,,,,,,,,,
29,"[597, 124, 136, 171]",0.05,0.0,0.01,0.01,0.17,0.0,0.75,"[1151, 491, 29, 37]",0.06,0.0,0.22,0.15,0.06,0.45,0.07,,,,,,,,
30,"[1156, 488, 28, 37]",0.13,0.0,0.19,0.03,0.46,0.03,0.17,,,,,,,,,,,,,,,,
31,"[601, 121, 140, 173]",0.1,0.0,0.03,0.0,0.24,0.0,0.63,"[1150, 488, 28, 37]",0.18,0.0,0.28,0.07,0.14,0.08,0.23,,,,,,,,
32,"[1156, 487, 29, 40]",0.11,0.0,0.3,0.09,0.18,0.25,0.07,,,,,,,,,,,,,,,,
33,"[572, 119, 142, 176]",0.1,0.0,0.01,0.52,0.12,0.0,0.24,"[1154, 491, 30, 37]",0.2,0.0,0.17,0.08,0.31,0.09,0.15,,,,,,,,
34,"[1151, 484, 28, 37]",0.18,0.0,0.2,0.02,0.32,0.03,0.25,,,,,,,,,,,,,,,,
35,"[565, 105, 139, 168]",0.07,0.0,0.02,0.02,0.13,0.0,0.77,"[1156, 488, 28, 39]",0.21,0.0,0.18,0.02,0.22,0.2,0.17,,,,,,,,
36,"[566, 147, 134, 162]",0.02,0.0,0.03,0.88,0.03,0.02,0.02,"[1152, 483, 30, 40]",0.04,0.0,0.11,0.02,0.01,0.82,0.01,,,,,,,,
37,"[1152, 489, 31, 39]",0.09,0.0,0.11,0.01,0.52,0.08,0.18,,,,,,,,,,,,,,,,
38,"[591, 125, 136, 168]",0.04,0.0,0.0,0.05,0.05,0.0,0.85,"[1154, 486, 28, 35]",0.1,0.0,0.4,0.01,0.33,0.04,0.14,,,,,,,,
39,"[583, 121, 138, 171]",0.1,0.0,0.04,0.12,0.17,0.01,0.57,"[1154, 486, 28, 36]",0.16,0.0,0.14,0.4,0.14,0.01,0.15,,,,,,,,
