,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8
0,"[446, 146, 335, 417]",0.04,0.0,0.07,0.83,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[478, 147, 314, 392]",0.08,0.0,0.13,0.19,0.08,0.02,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[471, 156, 325, 416]",0.16,0.0,0.24,0.14,0.18,0.03,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[513, 193, 320, 406]",0.16,0.01,0.05,0.14,0.15,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[530, 134, 314, 397]",0.06,0.0,0.21,0.05,0.35,0.02,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[589, 143, 131, 165]",0.45,0.0,0.13,0.06,0.13,0.03,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[493, 143, 317, 400]",0.21,0.0,0.26,0.04,0.34,0.02,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[469, 155, 332, 412]",0.16,0.0,0.38,0.08,0.07,0.08,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[485, 156, 321, 411]",0.16,0.0,0.17,0.08,0.24,0.01,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[489, 156, 321, 404]",0.19,0.0,0.51,0.03,0.06,0.2,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"[453, 185, 319, 394]",0.11,0.0,0.02,0.04,0.12,0.0,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"[499, 182, 316, 393]",0.13,0.01,0.38,0.07,0.22,0.04,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"[503, 167, 328, 419]",0.17,0.0,0.05,0.08,0.16,0.0,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"[525, 141, 323, 406]",0.18,0.0,0.3,0.07,0.14,0.03,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"[506, 178, 309, 383]",0.23,0.0,0.33,0.07,0.11,0.01,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"[921, 331, 67, 79]",0.36,0.01,0.15,0.21,0.23,0.03,0.01,"[234, 238, 66, 81]",0.0,0.0,0.0,0.99,0.0,0.0,0.01,"[518, 249, 64, 80]",0.0,0.0,0.0,0.98,0.0,0.0,0.02,"[375, 240, 57, 69]",0.01,0.0,0.47,0.0,0.18,0.07,0.26,"[721, 370, 68, 90]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,"[926, 478, 73, 91]",0.0,0.0,0.0,0.99,0.0,0.01,0.0,"[578, 336, 68, 85]",0.0,0.0,0.0,0.99,0.0,0.0,0.0,,,,,,,,,,,,,,,,
16,"[821, 192, 83, 99]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,"[601, 155, 87, 108]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,"[495, 225, 65, 81]",0.08,0.0,0.05,0.03,0.61,0.0,0.23,"[374, 201, 94, 109]",0.0,0.0,0.0,0.95,0.0,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"[608, 88, 111, 134]",0.0,0.0,0.0,0.98,0.0,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"[483, 130, 277, 347]",0.4,0.0,0.03,0.01,0.18,0.0,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"[481, 143, 267, 334]",0.24,0.0,0.45,0.0,0.24,0.03,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"[465, 157, 268, 334]",0.48,0.0,0.16,0.01,0.16,0.01,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"[504, 133, 264, 333]",0.3,0.0,0.51,0.0,0.05,0.11,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"[463, 129, 284, 367]",0.23,0.0,0.31,0.17,0.09,0.12,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"[497, 137, 268, 347]",0.64,0.01,0.11,0.01,0.15,0.05,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"[646, 123, 169, 209]",0.01,0.0,0.01,0.94,0.01,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"[459, 144, 314, 402]",0.38,0.0,0.27,0.08,0.11,0.03,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"[482, 136, 321, 408]",0.39,0.0,0.27,0.07,0.14,0.0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
