,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2
0,"[576, 110, 126, 155]",0.06,0.0,0.12,0.0,0.37,0.0,0.44,"[1157, 488, 33, 43]",0.04,0.0,0.53,0.03,0.05,0.28,0.06,"[414, 575, 35, 39]",0.31,0.0,0.03,0.45,0.04,0.03,0.14
1,"[578, 103, 128, 156]",0.02,0.0,0.02,0.01,0.31,0.0,0.65,"[415, 575, 37, 41]",0.05,0.0,0.03,0.12,0.41,0.01,0.38,"[1154, 491, 31, 39]",0.22,0.0,0.1,0.6,0.03,0.02,0.04
2,"[562, 110, 131, 160]",0.16,0.0,0.08,0.0,0.32,0.0,0.43,"[1160, 488, 30, 39]",0.49,0.0,0.04,0.06,0.11,0.01,0.29,,,,,,,,
3,"[566, 104, 130, 169]",0.3,0.0,0.28,0.13,0.15,0.09,0.06,"[1148, 492, 34, 46]",0.07,0.0,0.19,0.03,0.0,0.7,0.0,,,,,,,,
4,"[570, 113, 129, 156]",0.02,0.0,0.01,0.0,0.14,0.0,0.83,"[1156, 487, 32, 40]",0.27,0.0,0.2,0.02,0.29,0.13,0.09,,,,,,,,
5,"[597, 105, 129, 166]",0.23,0.0,0.58,0.04,0.09,0.06,0.01,"[1153, 490, 31, 39]",0.11,0.0,0.04,0.1,0.21,0.0,0.54,,,,,,,,
6,"[532, 99, 130, 160]",0.09,0.0,0.2,0.08,0.55,0.01,0.07,"[1140, 491, 33, 42]",0.2,0.0,0.38,0.04,0.03,0.17,0.18,,,,,,,,
7,"[577, 106, 133, 169]",0.31,0.0,0.3,0.05,0.33,0.01,0.0,"[1150, 493, 32, 40]",0.17,0.0,0.18,0.17,0.19,0.08,0.2,,,,,,,,
8,"[577, 105, 132, 165]",0.06,0.0,0.05,0.0,0.78,0.0,0.11,"[1150, 488, 31, 39]",0.01,0.0,0.0,0.99,0.0,0.0,0.0,,,,,,,,
9,"[1159, 490, 31, 39]",0.07,0.0,0.02,0.83,0.01,0.05,0.01,,,,,,,,,,,,,,,,
10,"[556, 99, 129, 152]",0.08,0.0,0.03,0.0,0.56,0.0,0.32,"[1152, 494, 31, 40]",0.16,0.0,0.32,0.02,0.11,0.21,0.18,,,,,,,,
11,"[633, 106, 129, 160]",0.2,0.0,0.49,0.01,0.24,0.04,0.02,"[1153, 490, 32, 41]",0.12,0.0,0.18,0.05,0.22,0.18,0.25,,,,,,,,
12,"[541, 102, 129, 161]",0.07,0.0,0.15,0.01,0.47,0.01,0.29,"[1153, 491, 32, 40]",0.33,0.0,0.25,0.05,0.22,0.08,0.08,,,,,,,,
13,"[561, 114, 129, 166]",0.13,0.0,0.05,0.0,0.13,0.0,0.68,"[1150, 490, 30, 38]",0.15,0.0,0.25,0.01,0.2,0.0,0.39,,,,,,,,
14,"[608, 107, 130, 165]",0.1,0.0,0.17,0.0,0.58,0.0,0.14,"[1148, 492, 32, 42]",0.4,0.0,0.26,0.06,0.05,0.09,0.14,,,,,,,,
15,"[632, 105, 130, 158]",0.04,0.0,0.01,0.01,0.06,0.0,0.88,"[1157, 490, 29, 39]",0.13,0.0,0.11,0.67,0.03,0.02,0.05,,,,,,,,
16,"[566, 116, 132, 160]",0.03,0.0,0.01,0.04,0.09,0.0,0.83,"[1155, 496, 31, 41]",0.03,0.0,0.06,0.78,0.01,0.1,0.01,,,,,,,,
17,"[600, 113, 130, 158]",0.07,0.0,0.08,0.0,0.5,0.0,0.34,"[1148, 494, 33, 44]",0.04,0.0,0.06,0.63,0.04,0.1,0.13,,,,,,,,
18,"[593, 107, 126, 153]",0.09,0.0,0.08,0.01,0.23,0.0,0.6,"[1150, 490, 32, 39]",0.31,0.0,0.06,0.04,0.11,0.01,0.47,,,,,,,,
19,"[1147, 496, 30, 37]",0.2,0.0,0.06,0.32,0.17,0.01,0.25,,,,,,,,,,,,,,,,
20,"[595, 107, 131, 161]",0.06,0.0,0.02,0.01,0.21,0.0,0.69,"[1139, 493, 32, 42]",0.04,0.0,0.5,0.03,0.06,0.31,0.06,,,,,,,,
21,"[593, 114, 130, 166]",0.12,0.0,0.05,0.0,0.71,0.0,0.12,"[1143, 499, 29, 38]",0.38,0.0,0.07,0.1,0.16,0.01,0.27,,,,,,,,
22,"[1143, 492, 31, 40]",0.3,0.0,0.34,0.01,0.05,0.29,0.02,,,,,,,,,,,,,,,,
23,"[1145, 492, 30, 39]",0.25,0.0,0.03,0.06,0.21,0.02,0.44,,,,,,,,,,,,,,,,
24,"[1153, 490, 29, 36]",0.09,0.0,0.05,0.46,0.04,0.01,0.35,,,,,,,,,,,,,,,,
25,"[1148, 488, 33, 42]",0.01,0.0,0.34,0.13,0.04,0.41,0.08,,,,,,,,,,,,,,,,
26,"[1140, 495, 33, 40]",0.06,0.0,0.06,0.21,0.12,0.02,0.53,,,,,,,,,,,,,,,,
27,"[1156, 491, 32, 41]",0.38,0.0,0.11,0.04,0.29,0.05,0.13,,,,,,,,,,,,,,,,
28,"[671, 106, 130, 157]",0.04,0.0,0.01,0.01,0.1,0.0,0.84,"[1153, 497, 29, 37]",0.19,0.0,0.03,0.08,0.08,0.0,0.62,,,,,,,,
29,"[602, 104, 127, 151]",0.05,0.0,0.04,0.74,0.14,0.01,0.02,"[1164, 489, 29, 40]",0.27,0.0,0.11,0.12,0.18,0.13,0.17,,,,,,,,
30,"[590, 97, 131, 157]",0.17,0.0,0.03,0.05,0.18,0.0,0.56,"[1155, 493, 29, 37]",0.11,0.0,0.03,0.15,0.08,0.0,0.63,,,,,,,,
31,"[600, 102, 127, 155]",0.06,0.0,0.03,0.0,0.33,0.0,0.57,"[1164, 491, 31, 38]",0.2,0.0,0.08,0.01,0.15,0.05,0.5,,,,,,,,
32,"[586, 104, 131, 157]",0.04,0.0,0.07,0.15,0.14,0.03,0.56,"[1155, 492, 30, 39]",0.01,0.0,0.0,0.97,0.0,0.0,0.01,,,,,,,,
33,"[570, 97, 132, 167]",0.16,0.0,0.26,0.06,0.41,0.02,0.09,"[1142, 488, 34, 43]",0.07,0.0,0.15,0.06,0.08,0.59,0.06,,,,,,,,
34,"[570, 116, 126, 162]",0.06,0.0,0.01,0.0,0.15,0.0,0.78,"[1153, 490, 33, 43]",0.15,0.0,0.22,0.02,0.01,0.57,0.02,,,,,,,,
35,"[539, 107, 134, 167]",0.45,0.0,0.21,0.0,0.24,0.01,0.08,"[1151, 486, 30, 37]",0.02,0.0,0.02,0.91,0.02,0.0,0.03,,,,,,,,
36,"[566, 90, 131, 161]",0.04,0.0,0.08,0.41,0.4,0.0,0.07,"[1152, 491, 33, 44]",0.25,0.0,0.17,0.03,0.0,0.54,0.0,,,,,,,,
37,"[610, 108, 131, 167]",0.17,0.0,0.04,0.01,0.17,0.0,0.6,"[1150, 493, 31, 39]",0.25,0.0,0.06,0.3,0.08,0.01,0.3,,,,,,,,
38,"[588, 103, 134, 164]",0.01,0.0,0.0,0.93,0.01,0.0,0.05,"[357, 487, 104, 140]",0.1,0.0,0.12,0.29,0.03,0.01,0.46,"[1149, 493, 32, 41]",0.06,0.0,0.22,0.44,0.02,0.25,0.02
39,"[573, 100, 127, 157]",0.01,0.0,0.01,0.81,0.04,0.0,0.12,"[1156, 493, 31, 41]",0.01,0.0,0.0,0.98,0.0,0.0,0.0,,,,,,,,
40,"[568, 109, 128, 161]",0.08,0.0,0.12,0.03,0.68,0.01,0.09,"[1153, 490, 31, 41]",0.01,0.0,0.02,0.88,0.0,0.03,0.05,,,,,,,,
41,"[588, 100, 134, 166]",0.12,0.0,0.05,0.01,0.7,0.01,0.12,"[1154, 492, 29, 37]",0.49,0.0,0.06,0.07,0.17,0.01,0.19,,,,,,,,
42,"[598, 95, 130, 152]",0.04,0.0,0.01,0.01,0.27,0.0,0.67,"[1154, 491, 32, 43]",0.03,0.0,0.16,0.12,0.06,0.61,0.02,,,,,,,,
43,"[595, 124, 130, 161]",0.23,0.0,0.05,0.0,0.09,0.0,0.63,"[1155, 494, 33, 42]",0.17,0.0,0.15,0.31,0.03,0.3,0.04,,,,,,,,
44,"[547, 100, 126, 150]",0.01,0.0,0.0,0.0,0.03,0.0,0.95,"[1137, 494, 32, 38]",0.13,0.0,0.02,0.43,0.2,0.0,0.22,,,,,,,,
45,"[576, 98, 130, 161]",0.01,0.0,0.01,0.0,0.06,0.0,0.91,"[1152, 491, 30, 41]",0.15,0.0,0.23,0.11,0.02,0.45,0.03,,,,,,,,
46,"[581, 112, 134, 169]",0.12,0.0,0.06,0.58,0.17,0.01,0.06,"[1154, 494, 31, 40]",0.1,0.0,0.64,0.0,0.11,0.06,0.09,,,,,,,,
47,"[573, 106, 133, 161]",0.02,0.0,0.01,0.01,0.05,0.0,0.91,"[1142, 492, 32, 40]",0.29,0.0,0.21,0.1,0.15,0.09,0.16,,,,,,,,
48,"[572, 104, 131, 165]",0.15,0.0,0.12,0.06,0.41,0.01,0.27,"[1146, 494, 34, 45]",0.03,0.0,0.16,0.12,0.01,0.68,0.01,,,,,,,,
49,"[548, 104, 127, 162]",0.08,0.0,0.12,0.08,0.2,0.03,0.49,"[1153, 490, 31, 41]",0.08,0.0,0.32,0.02,0.03,0.49,0.06,,,,,,,,
50,"[640, 103, 133, 163]",0.04,0.0,0.03,0.35,0.13,0.01,0.45,"[1145, 488, 33, 45]",0.01,0.0,0.31,0.01,0.01,0.66,0.01,,,,,,,,
51,"[585, 103, 127, 153]",0.06,0.0,0.08,0.0,0.43,0.0,0.41,,,,,,,,,,,,,,,,
52,"[572, 101, 131, 154]",0.08,0.0,0.06,0.0,0.25,0.0,0.61,"[1150, 489, 34, 42]",0.01,0.0,0.03,0.63,0.06,0.18,0.1,,,,,,,,
53,"[551, 117, 133, 164]",0.31,0.0,0.1,0.01,0.09,0.03,0.47,"[1148, 493, 33, 43]",0.02,0.0,0.36,0.04,0.04,0.45,0.08,,,,,,,,
54,"[584, 110, 130, 152]",0.07,0.0,0.11,0.01,0.19,0.0,0.62,"[1145, 492, 32, 39]",0.29,0.0,0.12,0.05,0.23,0.06,0.25,,,,,,,,
55,"[578, 113, 124, 152]",0.23,0.0,0.04,0.01,0.49,0.0,0.23,"[1155, 491, 33, 45]",0.12,0.0,0.23,0.46,0.04,0.15,0.01,,,,,,,,
56,"[580, 109, 138, 175]",0.42,0.0,0.06,0.35,0.09,0.01,0.07,"[1147, 489, 34, 43]",0.02,0.0,0.45,0.17,0.09,0.2,0.08,,,,,,,,
57,"[555, 104, 134, 160]",0.04,0.0,0.02,0.02,0.25,0.0,0.67,"[1142, 494, 32, 39]",0.09,0.0,0.05,0.57,0.09,0.03,0.18,,,,,,,,
58,"[597, 112, 127, 153]",0.04,0.0,0.02,0.01,0.1,0.0,0.82,"[1142, 490, 34, 44]",0.08,0.0,0.57,0.0,0.02,0.32,0.01,,,,,,,,
59,"[577, 106, 125, 152]",0.05,0.0,0.06,0.0,0.23,0.0,0.66,"[1154, 494, 30, 37]",0.04,0.0,0.01,0.81,0.02,0.0,0.12,,,,,,,,
60,"[604, 109, 125, 152]",0.07,0.0,0.05,0.0,0.41,0.0,0.47,"[1155, 490, 31, 41]",0.02,0.0,0.1,0.48,0.04,0.23,0.13,,,,,,,,
61,"[600, 110, 129, 158]",0.14,0.0,0.08,0.26,0.39,0.0,0.12,"[1153, 492, 33, 45]",0.11,0.0,0.11,0.41,0.04,0.3,0.03,,,,,,,,
62,"[1150, 487, 32, 39]",0.02,0.0,0.23,0.16,0.18,0.13,0.29,,,,,,,,,,,,,,,,
63,"[566, 116, 122, 155]",0.17,0.0,0.17,0.0,0.55,0.0,0.09,"[1157, 491, 30, 38]",0.39,0.0,0.12,0.04,0.16,0.09,0.2,,,,,,,,
64,"[555, 115, 133, 164]",0.26,0.0,0.09,0.0,0.47,0.0,0.16,"[1152, 492, 31, 42]",0.03,0.0,0.18,0.0,0.0,0.78,0.01,,,,,,,,
65,"[569, 106, 128, 165]",0.02,0.0,0.0,0.01,0.02,0.0,0.95,"[1151, 489, 30, 38]",0.15,0.0,0.24,0.02,0.21,0.05,0.34,,,,,,,,
66,"[642, 100, 130, 158]",0.04,0.0,0.09,0.53,0.28,0.01,0.05,"[1148, 487, 33, 41]",0.2,0.0,0.27,0.01,0.32,0.05,0.15,,,,,,,,
67,"[599, 97, 132, 160]",0.09,0.0,0.3,0.01,0.49,0.09,0.01,"[1150, 496, 32, 41]",0.01,0.0,0.05,0.63,0.03,0.01,0.27,,,,,,,,
68,"[603, 106, 124, 150]",0.04,0.0,0.04,0.0,0.46,0.0,0.45,"[1152, 489, 33, 41]",0.07,0.0,0.51,0.17,0.11,0.08,0.07,,,,,,,,
69,"[607, 107, 129, 157]",0.05,0.0,0.04,0.02,0.36,0.0,0.54,"[418, 580, 36, 39]",0.02,0.0,0.02,0.2,0.14,0.01,0.6,"[1154, 491, 31, 38]",0.04,0.0,0.06,0.75,0.03,0.04,0.09
70,"[590, 111, 128, 160]",0.08,0.0,0.06,0.0,0.27,0.01,0.58,"[1152, 492, 32, 41]",0.04,0.0,0.41,0.0,0.07,0.44,0.04,,,,,,,,
71,"[552, 121, 133, 161]",0.03,0.0,0.01,0.01,0.02,0.0,0.93,"[1149, 494, 31, 40]",0.27,0.0,0.16,0.04,0.1,0.02,0.4,,,,,,,,
72,"[582, 102, 130, 159]",0.06,0.0,0.12,0.01,0.36,0.0,0.45,"[1157, 494, 32, 42]",0.27,0.0,0.19,0.0,0.2,0.09,0.24,,,,,,,,
73,"[648, 106, 129, 157]",0.02,0.0,0.01,0.0,0.08,0.0,0.89,"[809, 555, 108, 119]",0.04,0.0,0.08,0.05,0.52,0.26,0.05,"[1150, 490, 31, 42]",0.21,0.0,0.29,0.03,0.05,0.3,0.11
74,"[531, 106, 130, 156]",0.15,0.0,0.05,0.0,0.45,0.0,0.35,"[1153, 492, 31, 40]",0.09,0.0,0.11,0.09,0.15,0.1,0.47,,,,,,,,
75,"[539, 98, 129, 159]",0.04,0.0,0.14,0.02,0.28,0.03,0.48,"[1154, 491, 31, 38]",0.13,0.0,0.58,0.01,0.09,0.02,0.17,,,,,,,,
