,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2
0,"[599, 88, 170, 217]",0.11,0.0,0.26,0.01,0.08,0.02,0.52,,,,,,,,,,,,,,,,
1,"[608, 108, 167, 220]",0.18,0.0,0.41,0.0,0.15,0.06,0.19,,,,,,,,,,,,,,,,
2,"[616, 119, 167, 208]",0.1,0.0,0.13,0.0,0.09,0.04,0.64,,,,,,,,,,,,,,,,
3,"[532, 97, 172, 230]",0.05,0.0,0.26,0.11,0.05,0.48,0.06,,,,,,,,,,,,,,,,
4,"[565, 143, 165, 217]",0.03,0.0,0.07,0.0,0.05,0.01,0.84,,,,,,,,,,,,,,,,
5,"[542, 133, 171, 217]",0.04,0.0,0.06,0.0,0.02,0.02,0.86,,,,,,,,,,,,,,,,
6,"[556, 122, 166, 221]",0.19,0.0,0.31,0.02,0.23,0.01,0.25,,,,,,,,,,,,,,,,
7,"[598, 131, 165, 220]",0.24,0.0,0.24,0.0,0.31,0.07,0.14,,,,,,,,,,,,,,,,
8,"[548, 120, 166, 211]",0.15,0.0,0.46,0.0,0.1,0.24,0.06,,,,,,,,,,,,,,,,
9,"[556, 122, 164, 211]",0.11,0.0,0.53,0.01,0.1,0.07,0.18,,,,,,,,,,,,,,,,
10,"[561, 122, 169, 227]",0.19,0.0,0.21,0.01,0.17,0.03,0.39,,,,,,,,,,,,,,,,
11,"[568, 112, 164, 209]",0.08,0.0,0.11,0.01,0.05,0.03,0.73,,,,,,,,,,,,,,,,
12,"[557, 115, 172, 223]",0.03,0.0,0.04,0.0,0.05,0.01,0.87,,,,,,,,,,,,,,,,
13,"[547, 114, 165, 219]",0.19,0.0,0.45,0.0,0.11,0.05,0.2,,,,,,,,,,,,,,,,
14,"[561, 85, 165, 217]",0.11,0.0,0.38,0.0,0.43,0.0,0.06,,,,,,,,,,,,,,,,
15,"[556, 95, 166, 228]",0.16,0.0,0.49,0.01,0.13,0.01,0.21,,,,,,,,,,,,,,,,
16,"[568, 102, 164, 222]",0.16,0.0,0.58,0.01,0.13,0.0,0.11,,,,,,,,,,,,,,,,
17,"[572, 106, 165, 215]",0.1,0.0,0.39,0.0,0.16,0.1,0.25,,,,,,,,,,,,,,,,
18,"[556, 133, 166, 212]",0.06,0.0,0.09,0.0,0.05,0.02,0.77,,,,,,,,,,,,,,,,
19,"[537, 107, 168, 223]",0.2,0.0,0.15,0.0,0.12,0.03,0.5,"[622, 570, 26, 31]",0.73,0.0,0.14,0.01,0.11,0.0,0.01,,,,,,,,
20,"[551, 121, 168, 217]",0.15,0.0,0.19,0.03,0.08,0.03,0.53,"[622, 571, 26, 32]",0.74,0.0,0.15,0.01,0.08,0.0,0.02,,,,,,,,
21,"[532, 110, 168, 218]",0.13,0.0,0.07,0.0,0.09,0.01,0.71,,,,,,,,,,,,,,,,
22,"[548, 132, 162, 209]",0.06,0.0,0.05,0.0,0.1,0.0,0.78,,,,,,,,,,,,,,,,
23,"[542, 86, 168, 221]",0.1,0.0,0.87,0.0,0.01,0.01,0.02,,,,,,,,,,,,,,,,
24,"[546, 119, 161, 209]",0.25,0.0,0.16,0.0,0.17,0.01,0.41,,,,,,,,,,,,,,,,
25,"[568, 126, 168, 215]",0.21,0.01,0.11,0.02,0.35,0.01,0.29,,,,,,,,,,,,,,,,
26,"[557, 127, 169, 226]",0.27,0.0,0.32,0.01,0.2,0.01,0.19,,,,,,,,,,,,,,,,
27,"[551, 112, 167, 221]",0.09,0.0,0.19,0.0,0.13,0.01,0.57,,,,,,,,,,,,,,,,
28,"[524, 129, 169, 213]",0.09,0.0,0.1,0.01,0.07,0.04,0.69,,,,,,,,,,,,,,,,
29,"[511, 114, 170, 227]",0.28,0.0,0.65,0.0,0.03,0.02,0.02,,,,,,,,,,,,,,,,
30,"[553, 119, 166, 224]",0.36,0.0,0.46,0.01,0.12,0.02,0.04,,,,,,,,,,,,,,,,
31,"[563, 83, 169, 217]",0.05,0.0,0.07,0.0,0.12,0.01,0.75,,,,,,,,,,,,,,,,
32,"[548, 105, 161, 216]",0.0,0.0,0.0,0.98,0.0,0.0,0.01,,,,,,,,,,,,,,,,
33,"[544, 121, 164, 224]",0.2,0.0,0.37,0.0,0.2,0.06,0.15,,,,,,,,,,,,,,,,
34,"[511, 118, 168, 228]",0.13,0.0,0.36,0.0,0.28,0.03,0.2,,,,,,,,,,,,,,,,
35,"[601, 110, 165, 223]",0.16,0.0,0.27,0.0,0.11,0.07,0.39,,,,,,,,,,,,,,,,
36,"[615, 134, 166, 212]",0.06,0.0,0.06,0.01,0.13,0.0,0.74,,,,,,,,,,,,,,,,
37,"[595, 124, 168, 210]",0.07,0.0,0.08,0.0,0.06,0.01,0.79,,,,,,,,,,,,,,,,
38,"[555, 119, 168, 225]",0.2,0.0,0.56,0.0,0.11,0.06,0.08,,,,,,,,,,,,,,,,
39,"[531, 119, 164, 213]",0.09,0.0,0.14,0.0,0.1,0.01,0.65,,,,,,,,,,,,,,,,
40,"[530, 132, 169, 219]",0.14,0.0,0.68,0.01,0.08,0.07,0.02,,,,,,,,,,,,,,,,
41,"[534, 104, 184, 237]",0.33,0.0,0.27,0.02,0.07,0.01,0.3,,,,,,,,,,,,,,,,
42,"[546, 131, 170, 224]",0.38,0.0,0.27,0.01,0.17,0.01,0.16,,,,,,,,,,,,,,,,
43,"[599, 89, 168, 222]",0.13,0.0,0.36,0.0,0.12,0.03,0.36,,,,,,,,,,,,,,,,
44,"[599, 155, 163, 210]",0.23,0.0,0.45,0.0,0.15,0.03,0.13,,,,,,,,,,,,,,,,
45,"[533, 84, 167, 220]",0.22,0.0,0.65,0.0,0.06,0.01,0.05,,,,,,,,,,,,,,,,
46,"[525, 96, 189, 240]",0.49,0.0,0.28,0.0,0.13,0.03,0.07,,,,,,,,,,,,,,,,
47,"[556, 125, 165, 219]",0.25,0.0,0.29,0.0,0.16,0.02,0.27,,,,,,,,,,,,,,,,
48,"[559, 116, 157, 219]",0.1,0.0,0.56,0.0,0.22,0.02,0.1,,,,,,,,,,,,,,,,
49,"[560, 122, 162, 221]",0.15,0.0,0.23,0.0,0.17,0.01,0.42,,,,,,,,,,,,,,,,
50,"[648, 83, 165, 217]",0.26,0.0,0.3,0.01,0.25,0.02,0.17,,,,,,,,,,,,,,,,
51,"[614, 93, 163, 210]",0.44,0.0,0.34,0.0,0.11,0.08,0.03,,,,,,,,,,,,,,,,
52,"[564, 117, 164, 218]",0.11,0.0,0.29,0.0,0.12,0.04,0.43,,,,,,,,,,,,,,,,
53,"[535, 121, 169, 227]",0.19,0.0,0.49,0.03,0.16,0.02,0.1,,,,,,,,,,,,,,,,
54,"[562, 112, 171, 232]",0.21,0.0,0.58,0.01,0.09,0.02,0.08,,,,,,,,,,,,,,,,
55,"[555, 123, 163, 218]",0.08,0.0,0.66,0.01,0.21,0.01,0.03,,,,,,,,,,,,,,,,
56,"[597, 84, 168, 226]",0.16,0.0,0.25,0.0,0.07,0.03,0.49,,,,,,,,,,,,,,,,
57,"[615, 103, 159, 216]",0.19,0.0,0.33,0.0,0.28,0.01,0.19,"[623, 574, 26, 35]",0.76,0.0,0.13,0.01,0.05,0.01,0.04,,,,,,,,
58,"[581, 107, 168, 218]",0.24,0.0,0.5,0.01,0.07,0.05,0.12,"[621, 574, 27, 34]",0.59,0.0,0.26,0.01,0.09,0.01,0.03,,,,,,,,
59,"[517, 108, 170, 234]",0.22,0.0,0.42,0.01,0.24,0.01,0.09,,,,,,,,,,,,,,,,
60,"[533, 110, 169, 231]",0.16,0.0,0.42,0.01,0.24,0.01,0.15,,,,,,,,,,,,,,,,
61,"[526, 118, 160, 212]",0.11,0.0,0.32,0.0,0.14,0.08,0.34,,,,,,,,,,,,,,,,
62,"[518, 127, 166, 216]",0.14,0.0,0.14,0.01,0.06,0.01,0.64,,,,,,,,,,,,,,,,
63,"[533, 126, 159, 207]",0.06,0.0,0.68,0.0,0.09,0.07,0.1,,,,,,,,,,,,,,,,
64,"[522, 96, 163, 225]",0.21,0.0,0.4,0.01,0.18,0.01,0.2,,,,,,,,,,,,,,,,
65,"[529, 128, 172, 228]",0.06,0.0,0.2,0.0,0.05,0.05,0.65,,,,,,,,,,,,,,,,
66,"[635, 103, 155, 231]",0.07,0.0,0.15,0.0,0.11,0.02,0.64,,,,,,,,,,,,,,,,
67,"[603, 112, 160, 229]",0.1,0.0,0.33,0.01,0.19,0.03,0.34,,,,,,,,,,,,,,,,
68,"[586, 101, 169, 226]",0.19,0.0,0.42,0.0,0.08,0.24,0.07,,,,,,,,,,,,,,,,
69,"[521, 98, 168, 212]",0.14,0.0,0.73,0.0,0.03,0.07,0.02,,,,,,,,,,,,,,,,
70,"[545, 125, 169, 223]",0.16,0.0,0.21,0.02,0.1,0.01,0.49,,,,,,,,,,,,,,,,
71,"[517, 118, 170, 232]",0.25,0.0,0.46,0.0,0.11,0.02,0.16,,,,,,,,,,,,,,,,
72,"[544, 122, 171, 230]",0.28,0.0,0.33,0.0,0.16,0.02,0.22,,,,,,,,,,,,,,,,
73,"[597, 84, 169, 223]",0.06,0.0,0.26,0.0,0.15,0.02,0.51,,,,,,,,,,,,,,,,
74,"[585, 97, 171, 220]",0.08,0.0,0.31,0.01,0.09,0.02,0.5,,,,,,,,,,,,,,,,
75,"[545, 84, 173, 230]",0.23,0.0,0.59,0.01,0.05,0.02,0.11,,,,,,,,,,,,,,,,
76,"[488, 107, 171, 214]",0.11,0.0,0.53,0.0,0.11,0.03,0.21,"[624, 576, 26, 32]",0.71,0.0,0.18,0.02,0.07,0.02,0.01,,,,,,,,
77,"[548, 129, 178, 234]",0.29,0.0,0.15,0.0,0.14,0.02,0.39,,,,,,,,,,,,,,,,
78,"[635, 85, 158, 220]",0.13,0.0,0.52,0.0,0.16,0.07,0.11,"[622, 574, 26, 34]",0.77,0.0,0.13,0.01,0.03,0.02,0.03,,,,,,,,
79,"[606, 91, 167, 223]",0.19,0.0,0.34,0.0,0.18,0.02,0.27,,,,,,,,,,,,,,,,
80,"[566, 111, 168, 223]",0.13,0.0,0.26,0.0,0.19,0.02,0.4,,,,,,,,,,,,,,,,
81,"[515, 127, 168, 217]",0.1,0.0,0.16,0.0,0.09,0.01,0.63,,,,,,,,,,,,,,,,
82,"[533, 121, 169, 227]",0.18,0.0,0.54,0.0,0.12,0.06,0.1,,,,,,,,,,,,,,,,
