,angry,disgust,fear,happy,sad,surprise,neutral,negative,populism
0,0.22556390977443608,0.0,0.03007518796992481,0.03759398496240601,0.12030075187969924,0.022556390977443608,0.5639097744360906,0.5338345864661656,4.00
1,0.017673048600883652,0.0,0.0824742268041237,0.02650957290132549,0.01914580265095729,0.05596465390279828,0.7982326951399091,0.14432989690721626,4.00
2,0.1482889733840305,0.0,0.03802281368821293,0.06083650190114067,0.07604562737642585,0.019011406844106463,0.6577946768060837,0.39923954372623505,4.00
3,0.21843687374749515,0.0,0.13627254509018044,0.28456913827655334,0.03406813627254508,0.04609218436873748,0.2805611222444892,0.4388777555110224,4.00
4,0.16541353383458646,0.0,0.06015037593984962,0.007518796992481203,0.17293233082706766,0.007518796992481203,0.5864661654135344,0.5789473684210531,4.00
5,0.029585798816568046,0.0,0.005917159763313609,0.0,0.41420118343195206,0.023668639053254437,0.5266272189349104,0.3550295857988162,2.00
6,0.018518518518518517,0.0,0.0,0.0,0.037037037037037035,0.0,0.9444444444444434,0.16666666666666666,2.00
7,0.2222222222222222,0.0,0.07407407407407407,0.0,0.05555555555555555,0.018518518518518517,0.6296296296296291,0.5740740740740736,2.00
8,0.22697368421052652,0.0,0.04934210526315788,0.009868421052631578,0.03618421052631579,0.009868421052631578,0.667763157894735,0.4374999999999993,2.00
9,0.07777777777777778,0.0,0.3333333333333333,0.011111111111111112,0.022222222222222223,0.022222222222222223,0.5333333333333334,0.6888888888888884,2.00
10,0.31136363636363534,0.0,0.38863636363636217,0.0022727272727272726,0.07272727272727274,0.07727272727272728,0.14772727272727262,0.897727272727278,2.00
11,0.3130699088145891,0.00303951367781155,0.24924012158054712,0.0729483282674772,0.1398176291793313,0.0243161094224924,0.19756838905775076,0.759878419452883,2.00
12,0.08888888888888886,0.0,0.37777777777777743,0.011111111111111112,0.016666666666666666,0.03333333333333333,0.47222222222222154,0.5611111111111101,2.00
13,0.04862579281183935,0.0,0.5116279069767469,0.008456659619450317,0.02748414376321353,0.004228329809725159,0.3995771670190289,0.7124735729386942,2.00
14,0.10215053763440855,0.0,0.7822580645161284,0.002688172043010753,0.005376344086021506,0.013440860215053765,0.0940860215053763,0.9193548387096767,2.00
15,0.3945945945945946,0.0,0.021621621621621623,0.04864864864864865,0.043243243243243246,0.04864864864864865,0.44324324324324327,0.6054054054054043,3.00
16,0.4552238805970158,0.0,0.07835820895522384,0.014925373134328358,0.07089552238805967,0.0,0.3805970149253738,0.7201492537313416,3.00
17,0.8987854251012175,0.0,0.0,0.03643724696356275,0.016194331983805668,0.0,0.04858299595141699,0.9352226720647806,3.00
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.2581967213114756,0.0,0.0778688524590164,0.02868852459016394,0.02868852459016394,0.06557377049180327,0.540983606557377,0.5737704918032782,3.00
20,0.07462686567164183,0.0,0.0,0.0,0.4154228855721381,0.0,0.5099502487562174,0.7114427860696538,2.00
21,0.03474903474903475,0.0,0.0,0.007722007722007722,0.019305019305019305,0.003861003861003861,0.9343629343629328,0.16602316602316602,2.00
22,0.10526315789473678,0.0,0.046439628482972145,0.009287925696594427,0.26315789473684226,0.009287925696594427,0.5665634674922595,0.6749226006191957,2.00
23,0.18749999999999994,0.0,0.08035714285714284,0.04464285714285714,0.16071428571428567,0.008928571428571428,0.5178571428571433,0.6696428571428571,2.00
24,0.2790697674418604,0.0,0.0,0.0,0.4069767441860467,0.0,0.313953488372093,0.8372093023255823,2.00
25,0.09210526315789473,0.0,0.05263157894736842,0.039473684210526314,0.07894736842105263,0.0,0.7368421052631582,0.3421052631578945,4.00
26,0.01694915254237288,0.0,0.01694915254237288,0.05084745762711865,0.0847457627118644,0.0,0.8305084745762705,0.13559322033898305,4.00
27,0.0,0.0,0.0,0.0,0.06626506024096385,0.0,0.9337349397590342,0.13253012048192775,4.00
28,0.016304347826086956,0.0,0.05434782608695651,0.0,0.27173913043478254,0.005434782608695652,0.6521739130434798,0.47826086956521824,4.00
29,0.009345794392523364,0.0,0.06542056074766354,0.0,0.1588785046728972,0.0,0.7663551401869159,0.3644859813084112,4.00
30,0.0,0.0,0.037037037037037035,0.0,0.07407407407407407,0.0,0.8888888888888884,0.18518518518518517,4.00
31,0.29411764705882343,0.0,0.09803921568627451,0.0,0.4705882352941174,0.0,0.13725490196078433,0.9803921568627458,4.00
32,0.1257995735607675,0.0,0.1577825159914711,0.023454157782515986,0.3027718550106608,0.008528784648187633,0.3816631130063963,0.733475479744142,4.00
33,0.14254385964912314,0.0010964912280701754,0.1491228070175442,0.020833333333333332,0.28179824561403505,0.003289473684210526,0.4013157894736815,0.7521929824561426,4.00
34,0.2763819095477392,0.0,0.015075376884422112,0.052763819095477366,0.35427135678392047,0.0,0.30150753768844285,0.7713567839195946,4.00
35,0.27807486631016093,0.0,0.0160427807486631,0.05614973262032082,0.3556149732620329,0.0,0.2941176470588241,0.7780748663101629,1.00
36,0.23173277661795452,0.0,0.018789144050104387,0.04384133611691022,0.37578288100208723,0.0,0.32985386221294355,0.7578288100208733,1.00
37,0.2758620689655173,0.0,0.20689655172413796,0.0,0.0,0.06896551724137931,0.44827586206896564,0.7241379310344827,1.00
