,anger,disgust,fear,happy,sad,surprise,neutral,negative
count,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0
mean,0.227,0.003,0.127,0.077,0.206,0.031,0.328,0.563
std,0.134,0.008,0.091,0.083,0.11,0.037,0.169,0.185
min,0.034,0.0,0.014,0.0,0.023,0.0,0.02,0.156
25%,0.142,0.0,0.058,0.02,0.119,0.007,0.202,0.436
50%,0.2,0.001,0.099,0.051,0.181,0.02,0.3,0.57
75%,0.277,0.003,0.165,0.095,0.275,0.036,0.424,0.698
max,0.726,0.066,0.548,0.414,0.568,0.273,0.807,0.964
