id,populism,values,populism_values,psize,psize_seat,anger,disgust,fear,happy,sad,surprise,neutral,negative,populism_2,lr_2
0,4,4,4,3,3,0.216315789473684,0.00894736842105263,0.116165413533835,0.0538345864661654,0.172481203007519,0.0301503759398496,0.400075187969925,0.51390977443609,1,1
1,4,4,4,3,3,0.0721060382916053,0.000206185567010309,0.113637702503682,0.0520765832106038,0.0928276877761414,0.087319587628866,0.581516936671576,0.278777614138439,1,1
2,4,4,4,3,3,0.195019011406844,0.000532319391634981,0.0798479087452472,0.0634600760456274,0.173079847908745,0.0579467680608365,0.428973384030418,0.448479087452472,1,1
3,4,4,4,3,3,0.20248496993988,0.00110220440881764,0.140841683366733,0.230060120240481,0.111583166332665,0.0635270541082164,0.249218436873747,0.456012024048096,1,1
4,4,4,4,3,3,0.195864661654135,0.00661654135338346,0.118721804511278,0.0403759398496241,0.190751879699248,0.025187969924812,0.421353383458647,0.511954887218045,1,1
5,2,1,1,2,2,0.138,0.00358333333333333,0.08725,0.0155833333333333,0.323833333333333,0.0298333333333333,0.4005,0.552666666666667,0,0
6,2,1,1,2,2,0.12037037037037,0.00037037037037037,0.0535185185185185,0.022037037037037,0.0938888888888889,0.00962962962962963,0.699444444444444,0.268148148148148,0,0
7,2,1,1,2,2,0.258148148148148,0.000555555555555556,0.127222222222222,0.00518518518518519,0.132592592592593,0.032962962962963,0.443148148148148,0.518518518518519,0,0
8,2,1,1,2,2,0.25391447368421,0.000822368421052632,0.113585526315789,0.0268092105263158,0.106217105263158,0.0385526315789474,0.459177631578947,0.474539473684211,0,0
9,2,1,1,2,2,0.190777777777778,0.000222222222222222,0.271888888888889,0.0607777777777778,0.095,0.0536666666666667,0.328444444444444,0.557888888888889,0,0
10,2,3,1,2,2,0.260409090909091,0.00161363636363636,0.28775,0.00438636363636364,0.169318181818182,0.115522727272727,0.159318181818182,0.719090909090909,0,1
11,2,3,1,2,2,0.252477064220183,0.00446483180428135,0.234434250764526,0.0670642201834862,0.18822629969419,0.0554128440366973,0.197125382262997,0.67960244648318,0,1
12,2,3,1,2,2,0.149833333333333,5.55555555555556E-05,0.307111111111111,0.0267777777777778,0.0687222222222222,0.0748333333333333,0.371611111111111,0.525722222222222,0,1
13,2,3,1,2,2,0.16107822410148,0.000147991543340381,0.34431289640592,0.015708245243129,0.126279069767442,0.0392600422832981,0.312177589852008,0.631818181818182,0,1
14,2,3,1,2,2,0.199112903225806,8.06451612903226E-05,0.52994623655914,0.0035752688172043,0.0648655913978495,0.0813440860215054,0.120241935483871,0.794005376344086,0,1
15,3,2,4,3,3,0.272702702702703,0.00518918918918919,0.146540540540541,0.0682702702702703,0.122702702702703,0.0797837837837838,0.303783783783784,0.547135135135135,1,0
16,3,2,4,3,3,0.339813432835821,0.00283582089552239,0.122462686567164,0.0322761194029851,0.146007462686567,0.0209701492537313,0.334701492537313,0.611119402985075,1,0
