url,crop,start,end,party
https://www.youtube.com/watch?v=3VvwHS8cgbc&ab_channel=%D0%A1%D1%80%D0%BF%D1%81%D0%BA%D0%B0%D0%BD%D0%B0%D0%BF%D1%80%D0%B5%D0%B4%D0%BD%D0%B0%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%BA%D0%B0,no,,,SRB_ SNS
https://www.youtube.com/watch?v=knhZJcISbWQ,no,,,SRB_ SNS
https://www.youtube.com/watch?v=CSDeAgtpovM&t=104s&ab_channel=%D0%A1%D1%80%D0%BF%D1%81%D0%BA%D0%B0%D0%BD%D0%B0%D0%BF%D1%80%D0%B5%D0%B4%D0%BD%D0%B0%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%BA%D0%B0,no,,,SRB_ SNS
https://www.youtube.com/watch?v=-CPS7PzLnKY&ab_channel=%D0%A1%D1%80%D0%BF%D1%81%D0%BA%D0%B0%D0%BD%D0%B0%D0%BF%D1%80%D0%B5%D0%B4%D0%BD%D0%B0%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%BA%D0%B0,no,,,SRB_ SNS
https://www.youtube.com/watch?v=b8bgphkQuMg&t=120s&ab_channel=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D0%B0%D1%80%D0%92%D1%83%D1%87%D0%B8%D1%9B,no,,,SRB_ SNS
https://www.youtube.com/watch?v=ZQanE_nkQRk,yes,0,350,SRB_ DS
https://www.youtube.com/watch?v=-YfLrV5f53U,yes,120,232,SRB_ DS
https://www.youtube.com/watch?v=MTZqcL7LhkM,no,,,SRB_ DS
https://www.youtube.com/watch?v=4-wKomnmpaE,no,,,SRB_ DS
https://www.youtube.com/watch?v=LktYBrO70X4&t=10s,,,,SRB_ DS
https://www.youtube.com/watch?v=Qlde15vqS4U&ab_channel=DJB-Suverenisti,no,,,SRB_ DJB
https://www.youtube.com/watch?v=DQYkwcKwY-U&ab_channel=DJB-Suverenisti,no,,,SRB_ DJB
https://www.youtube.com/watch?v=MvEjt2BZf-4&ab_channel=DJB-Suverenisti,no,,,SRB_ DJB
https://www.youtube.com/watch?v=jPemTi2d6bk&t=702s&ab_channel=DJB-Suverenisti,no,,,SRB_ DJB
https://www.youtube.com/watch?v=OLD27XFQc4M&ab_channel=DJB-Suverenisti,no,,,SRB_ DJB
https://www.youtube.com/watch?v=GDFYSOqofH0&ab_channel=Hrvatskademokratskazajednica,no,,,HRV_ HDZ
https://www.youtube.com/watch?v=wZVj1fayzhA&t=137s&ab_channel=Hrvatskademokratskazajednica,no,,,HRV_ HDZ
https://www.youtube.com/watch?v=wez4b3AllDI&ab_channel=Hrvatskademokratskazajednica,no,,,HRV_ HDZ
https://www.youtube.com/watch?v=uH-QwSMdJFw&ab_channel=Hrvatskademokratskazajednica,no,,,HRV_ HDZ
https://www.youtube.com/watch?v=dNFepYEA4rU&ab_channel=Hrvatskademokratskazajednica,no,,,HRV_ HDZ
https://www.youtube.com/watch?v=wklsKk4Ndx0&ab_channel=SDPHrvatske,no,,,HRV_ SPH
https://www.youtube.com/watch?v=36RQDEHy7rU&ab_channel=SDPHrvatske,no,,,HRV_ SPH
https://www.youtube.com/watch?v=qGs51zgVBZI&ab_channel=SDPHrvatske,no,,,HRV_ SPH
https://www.youtube.com/watch?v=jv1DtWeBrAE&ab_channel=SDPHrvatske,no,,,HRV_ SPH
https://www.youtube.com/watch?v=hCNkWzE5xUw&ab_channel=SDPHrvatske,no,,,HRV_ SPH
https://www.youtube.com/watch?v=CpNrfbepWts&ab_channel=%C5%BDivizid,no,,,HRV_ OOP
https://www.youtube.com/watch?v=TRqSyDcQLg0&ab_channel=%C5%BDivizid,no,,,HRV_ OOP
https://www.youtube.com/watch?v=ViM4nTJK3so&t=257s&ab_channel=IvanViliborSin%C4%8Di%C4%87,no,,,HRV_ OOP
https://www.youtube.com/watch?v=6POsmjrbjI0&ab_channel=IvanViliborSin%C4%8Di%C4%87,no,,,HRV_ OOP
https://www.youtube.com/watch?v=Mm_cqxcAAnE&ab_channel=IvanViliborSin%C4%8Di%C4%87,no,,,HRV_ OOP
https://www.youtube.com/watch?v=gpvT-nhn20Y&ab_channel=Fidesz,yes,160,323,HUN_ Fidesz
https://www.youtube.com/watch?v=r-HwWRcQUh8&ab_channel=Fidesz,yes,130,244,HUN_ Fidesz
https://www.youtube.com/watch?v=jP-H34-_NxI&ab_channel=Fidesz,yes,0,1200,HUN_ Fidesz
https://www.youtube.com/watch?v=nGwDLAxPUIU&t=652s&ab_channel=Fidesz,no,,,HUN_ Fidesz
https://www.youtube.com/watch?v=cWGUjl-y_sc&t=605s&ab_channel=Fidesz,yes,0,960,HUN_ Fidesz
https://www.youtube.com/watch?v=i2t0ZpO-CZ0&ab_channel=DemokratikusKoal%C3%ADci%C3%B3,yes,0,900,HUN_ DK
https://www.youtube.com/watch?v=Fc9EaPUK1Dk&ab_channel=DemokratikusKoal%C3%ADci%C3%B3,no,,,HUN_ DK
https://www.youtube.com/watch?v=hlNPIpeL9e4&ab_channel=DemokratikusKoal%C3%ADci%C3%B3,no,,,HUN_ DK
https://www.youtube.com/watch?v=LJY5rIfVI8c&ab_channel=DemokratikusKoal%C3%ADci%C3%B3,no,,,HUN_ DK
https://www.youtube.com/watch?v=-zewhZ9QPMg&ab_channel=DemokratikusKoal%C3%ADci%C3%B3,no,,,HUN_ DK
https://www.youtube.com/watch?v=9W5HK14RVcA&ab_channel=JobbikMagyarorsz%C3%A1g%C3%A9rtMozgalom,yes,0,311,HUN_ Jobbik
https://www.youtube.com/watch?v=bU8zEqqvpbA&ab_channel=JobbikMagyarorsz%C3%A1g%C3%A9rtMozgalom,yes,0,203,HUN_ Jobbik
https://www.youtube.com/watch?v=-JhABHUEpCs&ab_channel=JobbikMagyarorsz%C3%A1g%C3%A9rtMozgalom,yes,72,425,HUN_ Jobbik
